"cell_type_formatted","marker","neg_log10_p"
"club cell","PTGS2",27.1203578321676
"club cell","CRTAC1",26.7785430811868
"club cell","TIMP1",26.659033435262
"club cell","MUC1",26.5969749846048
"club cell","RPL36A",26.5670792108081
"club cell","C8orf4",26.3339461083492
"club cell","VAMP5",25.820883729437
"club cell","FXYD5",25.4682910513795
"club cell","LINC01578",24.5978144886714
"club cell","RGS16",24.4356882859623
"club cell","SOCS2",24.0845647603786
"club cell","BST2",23.4436906354116
"club cell","FAM20A",23.3916793710317
"club cell","RPL13AP5",23.3620806828142
"club cell","HLA-DRA",23.2448385556693
"club cell","SEL1L3",22.879766420692
"club cell","FCGR2A",22.8241218887766
"club cell","MGST1",22.7338857587819
"club cell","SFTA3",22.623620828266
"club cell","PON3",21.8438151967826
"club cell","XIST",21.6285600870681
"club cell","FBP1",21.4891751212388
"club cell","MALL",21.3374246290164
"club cell","WWTR1",20.9893108603705
"club cell","PAEP",20.9428458081142
"club cell","RPS10",20.8903320373892
"club cell","SECISBP2L",20.6110725424758
"club cell","CEBPD",20.0994888751069
"club cell","C6orf48",20.0794431941103
"club cell","COMMD6",19.689112175359
"club cell","FNIP2",19.301779733408
"club cell","FLRT3",19.1384290066288
"club cell","PEG10",19.0985314630932
"club cell","C19orf33",18.6620869292453
"club cell","SNHG5",18.425530396615
"club cell","NEDD4L",18.3101582228307
"club cell","FMO2",18.1935441021082
"club cell","SELK",17.9308444811696
"club cell","GLS",17.6148391652523
"club cell","EGR1",17.5046034398506
"club cell","AHR",17.372437044141
"club cell","IL6ST",17.2279158778986
"club cell","MBIP",17.0384956127098
"club cell","TOP1",17.0289623580943
"club cell","IFT57",16.9975640463596
"club cell","RBPMS",16.3278958485712
"club cell","HLA-DPA1",16.055592133653
"club cell","FAM129B",16.0523323420101
"club cell","LGALS3BP",15.7281554155825
"club cell","CLIC6",15.6989188450377
"club cell","NGFRAP1",15.4990655873882
"club cell","NKX2-1",15.3577738620584
"club cell","KLHL24",15.1836118062974
"club cell","H19",14.0422333227717
"club cell","NR4A1",13.9525218365842
"club cell","MYC",13.516717674813
"club cell","PELI1",12.9707198973596
"club cell","SGMS2",11.2557914938696
"club cell","MSLN",6.94444094116708
"club cell","MMP7",3.28606709349041
"ciliated cell","TMEM190",Inf
"ciliated cell","CAPS",Inf
"ciliated cell","C9orf24",Inf
"ciliated cell","C20orf85",Inf
"ciliated cell","TPPP3",Inf
"ciliated cell","FAM183A",Inf
"ciliated cell","C1orf194",Inf
"ciliated cell","RSPH1",Inf
"ciliated cell","SNTN",Inf
"ciliated cell","CETN2",Inf
"ciliated cell","C11orf88",Inf
"ciliated cell","PIFO",Inf
"ciliated cell","ODF3B",Inf
"ciliated cell","C9orf116",Inf
"ciliated cell","C5orf49",Inf
"ciliated cell","C2orf40",Inf
"ciliated cell","LRRIQ1",Inf
"ciliated cell","DYNLRB2",Inf
"ciliated cell","ZMYND10",Inf
"ciliated cell","CAPSL",Inf
"ciliated cell","MORN2",Inf
"ciliated cell","C12orf75",Inf
"ciliated cell","MS4A8",Inf
"ciliated cell","CCDC78",Inf
"ciliated cell","CFAP126",Inf
"ciliated cell","DYNLL1",Inf
"ciliated cell","FAM92B",Inf
"ciliated cell","CCDC146",Inf
"ciliated cell","CCDC170",Inf
"ciliated cell","PSENEN",Inf
"ciliated cell","TUBA1A",Inf
"ciliated cell","TSPAN1",Inf
"ciliated cell","MORN5",Inf
"ciliated cell","ROPN1L",Inf
"ciliated cell","TUBB4B",Inf
"ciliated cell","C9orf135",Inf
"ciliated cell","FABP6",Inf
"ciliated cell","WDR54",Inf
"ciliated cell","FAM229B",Inf
"ciliated cell","DNAH5",Inf
"ciliated cell","CDHR3",Inf
"ciliated cell","TSPAN19",Inf
"ciliated cell","EFHC1",Inf
"ciliated cell","FOXJ1",Inf
"ciliated cell","LRRC23",Inf
"ciliated cell","RSPH9",Inf
"ciliated cell","HSP90AA1",Inf
"ciliated cell","ERICH3",Inf
"ciliated cell","TCTEX1D2",Inf
"ciliated cell","TEKT1",Inf
"ciliated cell","MRPS31",Inf
"ciliated cell","CIB1",Inf
"ciliated cell","FAM216B",Inf
"ciliated cell","CALM1",Inf
"ciliated cell","WDR38",Inf
"ciliated cell","EFCAB1",Inf
"ciliated cell","CFAP53",Inf
"ciliated cell","IK",Inf
"ciliated cell","SPAG6",Inf
"ciliated cell","LRRC46",Inf
"ciliated cell","DNALI1",Inf
"ciliated cell","DNAH12",Inf
"ciliated cell","CCDC17",Inf
"ciliated cell","SMIM22",Inf
"ciliated cell","SLC44A4",Inf
"ciliated cell","FAM81B",Inf
"ciliated cell","CFAP43",Inf
"ciliated cell","PRDX5",Inf
"ciliated cell","C11orf97",Inf
"ciliated cell","CCDC42B",Inf
"ciliated cell","KIF9",Inf
"ciliated cell","LDLRAD1",Inf
"ciliated cell","SPA17",Inf
"ciliated cell","CCDC173",Inf
"ciliated cell","UFC1",Inf
"ciliated cell","WDR86-AS1",Inf
"ciliated cell","TUBA4B",Inf
"ciliated cell","SPAG17",Inf
"ciliated cell","IFT27",Inf
"ciliated cell","SPATA18",Inf
"ciliated cell","NME5",Inf
"ciliated cell","DPCD",Inf
"ciliated cell","CD164L2",Inf
"ciliated cell","C21orf59",Inf
"ciliated cell","ATPIF1",Inf
"ciliated cell","CEP126",Inf
"ciliated cell","DYNC2H1",Inf
"ciliated cell","POLR2I",Inf
"ciliated cell","C11orf70",Inf
"ciliated cell","CCDC153",Inf
"ciliated cell","TEKT2",Inf
"ciliated cell","CATSPERD",Inf
"ciliated cell","MLF1",Inf
"ciliated cell","PPIL6",Inf
"ciliated cell","FAM166B",Inf
"ciliated cell","C6orf118",Inf
"ciliated cell","CCDC74A",Inf
"ciliated cell","NUDC",Inf
"ciliated cell","STK33",Inf
"ciliated cell","MNS1",Inf
"ciliated cell","IQCG",Inf
"ciliated cell","CCDC181",Inf
"ciliated cell","OSCP1",Inf
"ciliated cell","RSPH4A",Inf
"ciliated cell","PRR29",Inf
"ciliated cell","SPEF1",Inf
"ciliated cell","FAM174A",Inf
"ciliated cell","ARMC3",Inf
"ciliated cell","DYDC2",Inf
"ciliated cell","CCDC39",Inf
"ciliated cell","DYNLT1",Inf
"ciliated cell","WDR78",Inf
"ciliated cell","CTXN1",Inf
"ciliated cell","SAXO2",Inf
"ciliated cell","SRI",Inf
"ciliated cell","MAPK15",Inf
"ciliated cell","CCDC113",Inf
"ciliated cell","CFAP52",Inf
"ciliated cell","HSBP1",Inf
"ciliated cell","TMEM231",Inf
"ciliated cell","DNAAF1",Inf
"ciliated cell","RIIAD1",Inf
"ciliated cell","FAM227A",Inf
"ciliated cell","PACRG",Inf
"ciliated cell","CFAP45",Inf
"ciliated cell","ENKUR",Inf
"ciliated cell","DNAH7",Inf
"ciliated cell","LRRC48",Inf
"ciliated cell","CD59",Inf
"ciliated cell","UBXN10",Inf
"ciliated cell","DAW1",Inf
"ciliated cell","C10orf107",Inf
"ciliated cell","DRC1",Inf
"ciliated cell","GPR162",Inf
"ciliated cell","DNAI2",Inf
"ciliated cell","DCDC2B",Inf
"ciliated cell","HYDIN",Inf
"ciliated cell","UBXN11",Inf
"ciliated cell","EFCAB10",Inf
"ciliated cell","CCDC176",Inf
"ciliated cell","ZBBX",Inf
"ciliated cell","DNAH6",Inf
"ciliated cell","ANKRD66",Inf
"ciliated cell","CTSS",Inf
"ciliated cell","SPEF2",Inf
"ciliated cell","CDS1",Inf
"ciliated cell","TAX1BP1",Inf
"ciliated cell","DNAAF3",Inf
"ciliated cell","SPAG8",Inf
"ciliated cell","MAATS1",307.625222892875
"ciliated cell","FAM65B",306.279591177258
"ciliated cell","B9D1",306.272989413124
"ciliated cell","AKAP14",306.263434835765
"ciliated cell","STMND1",306.075438709531
"ciliated cell","CCDC65",305.981753378671
"ciliated cell","SPAG16",305.080082986721
"ciliated cell","STOML3",305.05580357698
"ciliated cell","DNPH1",304.840512825496
"ciliated cell","RGS22",304.112118317124
"ciliated cell","DZIP3",303.781332864593
"ciliated cell","VWA3B",302.936264362803
"ciliated cell","IFT22",302.556130328745
"ciliated cell","C14orf142",302.463348035274
"ciliated cell","TMC5",302.052733971494
"ciliated cell","C6orf165",301.284744621664
"ciliated cell","C6",298.253567054859
"ciliated cell","C22orf15",298.244609568271
"ciliated cell","TNFAIP8L1",297.754232009976
"ciliated cell","VSTM2L",297.481294631591
"ciliated cell","SSBP4",294.896689196251
"ciliated cell","CES1",294.738722385755
"ciliated cell","DNAH11",294.734885488763
"ciliated cell","CCDC74B",294.036452884678
"ciliated cell","TTC25",292.391928094519
"ciliated cell","C21orf58",290.876962150441
"ciliated cell","KCTD12",289.265405896966
"ciliated cell","HSPB11",288.766441010483
"ciliated cell","SCGB2A1",288.246738102
"ciliated cell","MAP1B",287.429980105632
"ciliated cell","LRTOMT",287.122558429296
"ciliated cell","NQO1",286.109470062986
"ciliated cell","C9orf171",285.240957665003
"ciliated cell","DTHD1",284.751019276089
"ciliated cell","C9orf117",284.523499772844
"ciliated cell","FANK1",283.073837568154
"ciliated cell","IGFBP7",282.613601264293
"ciliated cell","WRB",281.625658092948
"ciliated cell","LRRC10B",280.634716490147
"ciliated cell","TCTEX1D1",280.406819381484
"ciliated cell","P4HTM",280.096066170534
"ciliated cell","LRRC6",278.530882256969
"ciliated cell","COPRS",278.271447608683
"ciliated cell","FHAD1",274.965960439479
"ciliated cell","RUVBL2",274.840624998678
"ciliated cell","CCDC114",272.848186393251
"ciliated cell","DNAI1",272.630026085664
"ciliated cell","RABL2B",270.853447402876
"ciliated cell","LOC100506844",270.765148993057
"ciliated cell","C7orf57",270.152192316632
"ciliated cell","TTC29",265.838986846643
"ciliated cell","PIH1D2",265.477138815306
"ciliated cell","CFAP221",265.401155584024
"ciliated cell","C11orf16",265.232479009365
"ciliated cell","ARMC4",264.871613527852
"ciliated cell","C4orf22",264.059825067568
"ciliated cell","TCTEX1D4",263.164475687877
"ciliated cell","RFX3",261.629620419427
"ciliated cell","WDR63",260.862669831279
"ciliated cell","CALML4",260.250800243783
"ciliated cell","C16orf93",260.068557499176
"ciliated cell","RUVBL1",259.694882586273
"ciliated cell","AKAP9",258.174442715183
"ciliated cell","WDR66",257.767769459799
"ciliated cell","CFAP57",256.719747305634
"ciliated cell","CRIP1",256.541802574665
"ciliated cell","C10orf95",254.891193894566
"ciliated cell","CENPM",254.638483315399
"ciliated cell","PIH1D3",254.459951637794
"ciliated cell","LRRC71",254.298535744337
"ciliated cell","CATIP",253.318380420535
"ciliated cell","DNAH9",252.276970278391
"ciliated cell","CCDC108",250.345081489309
"ciliated cell","C17orf97",250.333217176532
"ciliated cell","SPATA17",250.102722868433
"ciliated cell","TMEM107",249.734681252079
"ciliated cell","DNAJB13",249.278388192917
"ciliated cell","SLC22A4",248.811171658833
"ciliated cell","SARAF",247.868002768052
"ciliated cell","DNAL1",247.30418763234
"ciliated cell","AK7",246.488305882043
"ciliated cell","IGFBP5",243.975533890319
"ciliated cell","CH17-340M24.3",243.692292083063
"ciliated cell","CLUAP1",243.570914582425
"ciliated cell","DNAH2",242.573363360935
"ciliated cell","TRAF3IP1",242.380606387114
"ciliated cell","CSPP1",241.920945991354
"ciliated cell","LRRC34",241.786559864693
"ciliated cell","ENDOG",241.459334132829
"ciliated cell","LKAAEAR1",241.07668488651
"ciliated cell","IQCD",240.439935941885
"ciliated cell","CFAP46",240.262627830394
"ciliated cell","TCTN1",240.2521697572
"ciliated cell","IFT43",239.924857157911
"ciliated cell","NEK11",239.856522997959
"ciliated cell","HMGN3",239.665118415343
"ciliated cell","CCDC37",239.176335356695
"ciliated cell","GPX4",238.303981143855
"ciliated cell","ODF2L",237.740963528535
"ciliated cell","ARHGAP18",237.351883821607
"ciliated cell","MAP1A",236.978532808073
"ciliated cell","EFHB",236.960513869601
"ciliated cell","KIF21A",236.881885320002
"ciliated cell","CDHR4",236.715699157145
"ciliated cell","CFAP70",236.183099568215
"ciliated cell","DNAJA4",235.781279703335
"ciliated cell","METRN",235.107220090365
"ciliated cell","MDH1B",233.957285787018
"ciliated cell","HIPK1",233.665721615502
"ciliated cell","C1orf158",233.043257844954
"ciliated cell","C11orf74",232.913120507263
"ciliated cell","AK9",232.510454631293
"ciliated cell","CASC1",232.343993849326
"ciliated cell","CC2D2A",232.260664456708
"ciliated cell","RAB36",231.938547478183
"ciliated cell","PCM1",230.768813191192
"ciliated cell","HSPH1",230.625041369844
"ciliated cell","ALDH3B1",229.443303672015
"ciliated cell","RIBC1",227.949491050371
"ciliated cell","C1orf189",227.806944521375
"ciliated cell","IFT57",227.352534746242
"ciliated cell","LXN",226.674213980088
"ciliated cell","CYSTM1",224.364360923674
"ciliated cell","DENND6B",223.704598649218
"ciliated cell","SPATA33",223.67046220811
"ciliated cell","GSTA1",223.041924597102
"ciliated cell","C1orf87",222.825121172043
"ciliated cell","FBXO15",222.20329208772
"ciliated cell","NPHP1",219.957831048829
"ciliated cell","HAGHL",219.861831047316
"ciliated cell","CFAP44",219.838988012921
"ciliated cell","LOC388780",219.500007091701
"ciliated cell","H2AFJ",216.254606933876
"ciliated cell","DNAH10",213.750848639237
"ciliated cell","GRIN3B",213.214647662668
"ciliated cell","STOX1",212.12059098524
"ciliated cell","IFT88",211.755657963494
"ciliated cell","TMEM232",211.573137779984
"ciliated cell","CFAP54",211.522179854645
"ciliated cell","SPAG1",210.721759396171
"ciliated cell","NELL2",210.264644375254
"ciliated cell","CLDN3",210.103708452949
"ciliated cell","FAM179A",209.099148938827
"ciliated cell","MAP9",208.923507329609
"ciliated cell","SOD1",208.62993272227
"ciliated cell","ADGB",207.901535232279
"ciliated cell","KCNRG",207.738100388431
"ciliated cell","MAP3K19",207.531874664831
"ciliated cell","DPY30",207.388016804714
"ciliated cell","METTL7A",204.836755582471
"ciliated cell","CCDC96",204.57088608096
"ciliated cell","GCC2",204.353435292549
"ciliated cell","DEGS2",204.251616783092
"ciliated cell","HSPBP1",204.021904082275
"ciliated cell","LOC728392",203.720277866194
"ciliated cell","C2orf73",203.289192912793
"ciliated cell","PPP1R42",202.689822327093
"ciliated cell","DLEC1",202.482343233238
"ciliated cell","LOC101927416",201.162498786292
"ciliated cell","DALRD3",200.649565419221
"ciliated cell","RPA3",200.416399407336
"ciliated cell","PDLIM4",200.288114669011
"ciliated cell","TMEM67",199.501979006098
"ciliated cell","NHLRC4",198.820384828352
"ciliated cell","LRWD1",198.759368158694
"ciliated cell","IFT172",198.268901306831
"ciliated cell","CNTRL",196.866164298745
"ciliated cell","LRRC73",195.343963867311
"ciliated cell","FTO",194.799748793815
"ciliated cell","TUSC3",194.431616254072
"ciliated cell","FTO-IT1",194.232173347698
"ciliated cell","C9orf9",194.112901215002
"ciliated cell","FSD1L",193.679957284439
"ciliated cell","PTGES3",193.288902852584
"ciliated cell","RABL2A",193.234339386726
"ciliated cell","KLHDC9",193.021429008438
"ciliated cell","TSTD1",192.732764776224
"ciliated cell","C4orf47",191.607659263164
"ciliated cell","PCSK1N",191.544670859665
"ciliated cell","ECT2L",191.355171404681
"ciliated cell","S100A11",190.983504784749
"ciliated cell","KIAA1407",190.710875349163
"ciliated cell","PLAC8",190.119500572347
"ciliated cell","EZR",189.283800133514
"ciliated cell","RP1",188.531686351809
"ciliated cell","ERGIC3",188.491569068499
"ciliated cell","TSGA10",188.238150987254
"ciliated cell","SPATA6",188.119337539461
"ciliated cell","LOC102724094",187.629997789286
"ciliated cell","CFAP69",186.959379993793
"ciliated cell","CFAP36",186.045669163202
"ciliated cell","KIF19",185.795256719651
"ciliated cell","CCDC151",185.681107812934
"ciliated cell","TNFRSF19",184.644664510102
"ciliated cell","ACYP1",184.405621881772
"ciliated cell","PGM2L1",184.329418717542
"ciliated cell","MOK",184.213246068397
"ciliated cell","PKIG",184.10286091453
"ciliated cell","AGR3",184.008742691317
"ciliated cell","PPP1R32",183.470431107019
"ciliated cell","PFN2",181.924809842923
"ciliated cell","OSBPL6",181.621494036741
"ciliated cell","MAPRE3",181.174410726263
"ciliated cell","CCDC103",181.078595372808
"ciliated cell","ZDHHC1",181.022877491547
"ciliated cell","CRNDE",180.861313016196
"ciliated cell","C20orf96",180.559962913778
"ciliated cell","SQLE",180.405274290934
"ciliated cell","B9D2",179.742391330202
"ciliated cell","C4orf48",179.4982893211
"ciliated cell","FGF14",179.414510907707
"ciliated cell","ARL3",178.617773882776
"ciliated cell","C2orf81",177.901202487068
"ciliated cell","WDR93",177.7778595192
"ciliated cell","MARCH10",177.054618006164
"ciliated cell","LZTFL1",176.79377964023
"ciliated cell","UNC119B",176.59652125745
"ciliated cell","CLMN",176.285601426863
"ciliated cell","IQCK",176.132953835738
"ciliated cell","MUC15",176.037038762088
"ciliated cell","NUCB2",175.9857853711
"ciliated cell","CCP110",175.623688645871
"ciliated cell","IFT46",175.449000489474
"ciliated cell","KIF3A",175.139286218127
"ciliated cell","AZIN1",174.763425413022
"ciliated cell","IFT81",174.369787212034
"ciliated cell","LOC100506990",174.109570870319
"ciliated cell","LCA5",173.334499312775
"ciliated cell","ANKUB1",173.295056177905
"ciliated cell","CLIC6",173.147207945231
"ciliated cell","FUZ",172.058851200015
"ciliated cell","GSTA3",172.036747070847
"ciliated cell","WDR60",171.526294253656
"ciliated cell","DMKN",171.163841656955
"ciliated cell","TEKT4",170.825608849992
"ciliated cell","KTN1",170.627193679913
"ciliated cell","VWA3A",169.885406696082
"ciliated cell","KCNE1",169.685873789385
"ciliated cell","IQCA1",169.490304481132
"ciliated cell","CHST9",169.309873923957
"ciliated cell","TBCA",168.91522591602
"ciliated cell","TTC26",168.849484088065
"ciliated cell","COQ4",168.583591489017
"ciliated cell","TTLL10",168.452257684445
"ciliated cell","IQUB",168.347339008318
"ciliated cell","DCDC5",168.051677047009
"ciliated cell","EFHC2",167.707614657909
"ciliated cell","CFAP74",167.664379575267
"ciliated cell","ANKMY1",167.650665619032
"ciliated cell","CCDC40",167.399536622276
"ciliated cell","DZIP1L",166.853100095178
"ciliated cell","PTPRN2",165.860699871753
"ciliated cell","SPATA4",165.765807750578
"ciliated cell","TMEM212",165.028331342062
"ciliated cell","PROM1",164.842933606446
"ciliated cell","SLFN13",163.59588959347
"ciliated cell","CALM2",163.403300682323
"ciliated cell","WDR34",163.068687205037
"ciliated cell","PTPRT",163.027604703653
"ciliated cell","PZP",162.969345068389
"ciliated cell","OR7E47P",162.860423353939
"ciliated cell","ATP2A2",162.349534006818
"ciliated cell","CAPS2",162.174232795732
"ciliated cell","IGFBP2",162.115761822632
"ciliated cell","NGRN",161.744036871103
"ciliated cell","MORN3",161.68178019125
"ciliated cell","IFI6",161.347833726727
"ciliated cell","ORAI2",160.327303737196
"ciliated cell","CST6",159.487256866415
"ciliated cell","UBAC1",159.337415621276
"ciliated cell","ERICH6-AS1",159.151456488311
"ciliated cell","ELK3",159.041426151431
"ciliated cell","C15orf65",158.637913415134
"ciliated cell","OCEL1",158.395318312598
"ciliated cell","LOC100288798",157.883301227901
"ciliated cell","MPC2",157.515677059967
"ciliated cell","RPGRIP1L",157.319133308295
"ciliated cell","AK8",157.258193252706
"ciliated cell","MAP6",157.24455343648
"ciliated cell","EFCAB2",157.243616591551
"ciliated cell","PITPNM1",156.772550735677
"ciliated cell","TMEM173",156.671798280549
"ciliated cell","CKB",156.544325631909
"ciliated cell","TBC1D8",156.077709132356
"ciliated cell","BAIAP3",154.985207769733
"ciliated cell","GAS8",154.786666695671
"ciliated cell","FTH1",154.519545196094
"ciliated cell","GSTA2",154.370663543165
"ciliated cell","SMPD2",153.929896791705
"ciliated cell","DYNC2LI1",153.637311990452
"ciliated cell","SSB",153.412449061504
"ciliated cell","RIBC2",153.256610245917
"ciliated cell","TMEM45B",153.128264828097
"ciliated cell","DNAH3",153.085151406018
"ciliated cell","FAM104B",152.869943531419
"ciliated cell","NWD1",151.646059580984
"ciliated cell","DUSP18",151.334480150052
"ciliated cell","TSNAXIP1",150.880927109791
"ciliated cell","IQCE",150.801421231483
"ciliated cell","RPGR",150.657470720409
"ciliated cell","RBKS",150.540455583771
"ciliated cell","KNDC1",150.426333012538
"ciliated cell","VNN3",149.592297605966
"ciliated cell","CEP290",148.965908925431
"ciliated cell","CWH43",148.737703881789
"ciliated cell","UCP2",148.70420777049
"ciliated cell","FDXR",148.325724173936
"ciliated cell","RSPH14",147.186787012451
"ciliated cell","WDR49",147.116721392534
"ciliated cell","SHROOM3",147.030173387899
"ciliated cell","GIPR",146.504967626647
"ciliated cell","NEK10",146.130247865255
"ciliated cell","ENKD1",146.093075451339
"ciliated cell","CD24",145.922439654215
"ciliated cell","NME7",145.488494924831
"ciliated cell","C22orf23",145.359944620037
"ciliated cell","CFAP58",145.30247112174
"ciliated cell","MORN1",144.880422168423
"ciliated cell","CCL15",144.817949898413
"ciliated cell","DRC7",144.374699936955
"ciliated cell","NELFE",144.211234053682
"ciliated cell","HN1L",143.587785399324
"ciliated cell","CCDC34",143.453341208869
"ciliated cell","APOBEC4",142.818471795563
"ciliated cell","RBM38",142.596687365129
"ciliated cell","HNRNPF",142.148895266465
"ciliated cell","PIP",141.947239618504
"ciliated cell","LRRC49",141.795319461407
"ciliated cell","TSPAN3",141.743402270729
"ciliated cell","TSPAN6",141.664592569353
"ciliated cell","CCNA1",140.821371518829
"ciliated cell","PPAP2C",140.278531491627
"ciliated cell","SYNE2",140.092914564575
"ciliated cell","HHLA2",139.893725745718
"ciliated cell","UNC93B1",139.762332530786
"ciliated cell","CBY1",139.758501474478
"ciliated cell","MRPL23",139.050424335384
"ciliated cell","KCNN3",138.676347165322
"ciliated cell","TEX9",138.435276182785
"ciliated cell","NRAV",138.098720092912
"ciliated cell","TRIP13",137.66544552933
"ciliated cell","C16orf46",137.600145951567
"ciliated cell","PPP1R16A",137.554596577612
"ciliated cell","IL5RA",137.413930136314
"ciliated cell","DOC2A",136.12647545913
"ciliated cell","ICA1L",136.009192195553
"ciliated cell","DYX1C1",135.629785584423
"ciliated cell","ENAH",135.382865005167
"ciliated cell","CCDC88C",135.246552906476
"ciliated cell","PLEKHB1",135.13845154253
"ciliated cell","ARMC2",135.05340880695
"ciliated cell","MAK",134.966759423082
"ciliated cell","C20orf195",133.589423305559
"ciliated cell","C19orf70",133.416951138004
"ciliated cell","NEK1",132.921521167879
"ciliated cell","PRUNE2",132.656986668758
"ciliated cell","TTC16",132.244909408358
"ciliated cell","CELF1",132.043470414936
"ciliated cell","CLIC1",131.895571957251
"ciliated cell","ANKRD54",131.859071184346
"ciliated cell","FBXO36",131.314294729683
"ciliated cell","ZNHIT2",130.752999294006
"ciliated cell","CYB561",130.714509495183
"ciliated cell","MORF4L2",130.682011993636
