,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
10,10,10,10,10,10,1,Lung,0.25,"KLRF1,GENE47,GNLY,GZMB,GENE20,FCGR3A,NKG7,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,Natural Killer Cells,CL:0000623,Natural Killer Cell,CL:0000623,NK Cell,11. Natural Killer cell,CL:0000623,CL:0000623,natural killer cell,natural killer cell,natural killer cell,natural killer cell,0,0,0,0,1.0000,1.0000,1.0000,1.0000
11,11,11,11,11,11,1,Lung,0.25,"PRDX4,MANF,SSR4,XBP1,POU2AF1,TNFRSF17,GENE93,GENE24,HSP90B1,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,Plasma Cells,CL:0000786,B Cell,CL:0000236,Plasma Cell,12. Plasma cell,CL:0000786,CL:0000786,plasma cell,plasma cell,plasma cell,b cell,0,0,0,4,1.0000,0.6667,1.0000,1.0000
12,12,12,12,12,12,1,Lung,0.25,"SFTPA2,GENE27,SLC34A2,SFTPC,LAMP3,ABCA3,SFTPA1,SFTPD,GENE23,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,Type II Pneumocytes,GO:0060510,Alveolar Type II Cell,CL:0002063,Alveolar Type II Cell,13. Type II pneumocyte,CL:0002063,GO:0060510,pulmonary alveolar type 2 cell,type II pneumocyte differentiation,type II pneumocyte differentiation,pulmonary alveolar type 2 cell,0,-1,-1,0,-1,1.0000,1.0000,-1
13,13,13,13,13,13,1,Lung,0.25,"KIT,VWA5A,CPA3,HPGDS,GRAP2,HDC,GENE69,CD44,MS4A2,TPSAB1,GATA2,GENE59",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",Mast Cells,CL:0000097,Mast Cell,CL:0000097,Mast Cell,14. Mast cell,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,mast cell,-1,-1,-1,-1,-1,-1,-1,-1
14,14,14,14,14,14,1,Lung,0.25,"LILRB2,COTL1,RPS19,GENE70,LST1,AIF1,FCGR3A,GENE77,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,Macrophages,CL:0000235,Monocyte/Macrophage,CL:0000576,Monocyte,15. Macrophage,CL:0000576,CL:0000235,monocyte,macrophage,macrophage,monocyte,2,4,4,2,0.5000,0.6667,0.6667,0.5000
15,15,15,15,15,15,1,Lung,0.25,"GENE82,CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,GENE88,CD81,FCN3,EPAS1,FLNB",Capillary,,,Endothelial Cells,CL:0000115,Endothelial Cell,CL:0000115,Endothelial Cell,16. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,4,4,4,4,-1,-1,-1,-1
16,16,16,16,16,16,1,Lung,0.25,"CD3D,GZMH,GENE78,CD3G,CD8B,GENE44,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,Cytotoxic T Cells,CL:0000910,Cytotoxic T Cell,CL:0000910,Cytotoxic T Cell,17. Cytotoxic T cell,CL:0000910,CL:0000910,cytotoxic t cell,cytotoxic t cell,cytotoxic t cell,cytotoxic t cell,-1,-1,-1,-1,0.6364,0.6364,0.6364,0.6364
17,17,17,17,17,17,1,Lung,0.25,"GENE19,SCGB3A2,GENE8,DSTN,CYB5A,CEACAM6,PIGR,CTSE,SFTPB,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,Club Cells,CL:0000158,Clara Cell,CL:0000158,Club Cell,18. Club cell,CL:0000158,CL:0000158,club cell,club cell,club cell,club cell,0,0,0,0,1.0000,1.0000,1.0000,1.0000
18,18,18,18,18,18,1,Lung,0.25,"CALD1,GENE15,ASPN,COL6A3,POSTN,LTBP1,BGN,COL3A1,COL1A1,COL1A2,GENE85,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,Fibroblasts,CL:0000057,Fibroblast,CL:0000057,Fibroblast,19. Fibroblast,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,-1,-1,-1,-1,0.6000,0.6000,0.6000,0.6000
19,19,19,19,19,19,1,Lung,0.25,"PTPRE,GZMB,IRF7,GENE30,TYROBP,PLD4,NPC2,PPP1R14B,IL3RA,GENE81,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,Dendritic Cells,CL:0000451,Dendritic Cell,CL:0000451,Dendritic Cell,20. Dendritic cell,CL:0000451,CL:0000451,dendritic cell,dendritic cell,dendritic cell,dendritic cell,1,1,1,1,0.8333,0.8333,0.8333,0.8333
20,20,20,20,20,20,1,Lung,0.25,"TPX2,BIRC5,NUSAP1,STMN1,UBE2C,TYMS,GENE34,ANLN,KPNA2,CDK1,GENE42,H2AFZ",Proliferating Macrophage,,,Proliferating cells,CL:4033068,Lung Cancer Cells,CL:1000143,Mitotic Cell,21. Mitotic cells,CL:0000646,CL:0000646,basal cell,basal cell,cycling B cell,lung goblet cell,-1,-1,-1,-1,0.3636,0.2222,0.2500,0.2500
21,21,21,21,21,21,1,Lung,0.25,"BIRC5,GENE97,NUSAP1,KIF2C,SMC4,UBE2C,H2AFV,GENE56,AURKB,CENPF,HMGB2,TOP2A",Proliferating NK/T,,,Proliferating cells,CL:4033068,Lung Cancer Cells,CL:1000143,Mitotic Cell,22. Mitotic cells,CL:0000646,CL:0000646,basal cell,basal cell,cycling B cell,lung goblet cell,-1,-1,-1,-1,0.4167,0.1538,0.1667,0.1667
22,22,22,22,22,22,1,Lung,0.25,"GENE62,GENE36,POSTN,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,Fibroblasts,CL:0000057,"Endothelial Cells, Fibroblasts",CL:4052007,Endothelial Cell,23. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,fibroblast,subepithelial intestinal fibroblast,13,13,10,-1,0.2500,0.2222,0.2857,0.2857
23,23,23,23,23,23,1,Lung,0.25,"GENE57,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,SLPI,LCN2,GENE16,WFDC2,MUC5B",Mucous,,,Club cells,CL:0000158,"Clara Cells, Goblet Cells",CL:0002370,Club Cell,24. Club cell,CL:0000158,CL:0000158,club cell,club cell,club cell,respiratory goblet cell,"{'CL:0000158': 0, 'GO:0060486': 1, 'UBERON:0002051': 1, 'UBERON:0002341': 1, 'CL:0002638': 2, 'UBERON:0001955': 2, 'UBERON:0001958': 2, 'UBERON:8600001': 2, 'CL:1000351': 3, 'CL:0002206': 3, 'CL:1000332': 3, 'CL:1000350': 3, 'CL:0002205': 3, 'CL:1000333': 3, 'CL:1000352': 3}","{'CL:0000158': 0, 'GO:0060486': 1, 'UBERON:0002051': 1, 'UBERON:0002341': 1, 'CL:0002638': 2, 'UBERON:0001955': 2, 'UBERON:0001958': 2, 'UBERON:8600001': 2, 'CL:1000351': 3, 'CL:0002206': 3, 'CL:1000332': 3, 'CL:1000350': 3, 'CL:0002205': 3, 'CL:1000333': 3, 'CL:1000352': 3}","{'CL:0000158': 0, 'GO:0060486': 1, 'UBERON:0002051': 1, 'UBERON:0002341': 1, 'CL:0002638': 2, 'UBERON:0001955': 2, 'UBERON:0001958': 2, 'UBERON:8600001': 2, 'CL:1000351': 3, 'CL:0002206': 3, 'CL:1000332': 3, 'CL:1000350': 3, 'CL:0002205': 3, 'CL:1000333': 3, 'CL:1000352': 3}","{'CL:0002370': 0, 'CL:0002480': 1, 'CL:0019003': 1, 'CL:1000143': 1, 'CL:1000312': 2, 'CL:1000329': 2, 'CL:4033009': 2, 'GO:0060480': 2, 'UBERON:0002341': 2, 'GO:1901249': 3, 'GO:1901250': 3, 'GO:1901251': 3}",-1,-1,-1,-1
24,24,24,24,24,24,1,Lung,0.25,"PTPRB,PRSS23,TGM2,VWF,LIFR,SELP,PLA1A,CPE,GENE46,SRPX,SLCO2A1,GENE41",Vein,,,Endothelial cells,CL:0000115,"Endothelial Cells, Fibroblasts",CL:4052007,Endothelial Cell,25. Endothelial cell,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,subepithelial intestinal fibroblast,4,4,4,-1,-1,-1,-1,-1
25,25,25,25,25,25,1,Lung,0.25,"CHN1,CALD1,COL4A2,GENE36,NID1,COL4A1,LAMB1,COX4I2,GENE84,TACC1,PDGFRB,LAMC3",Pericyte,pericyte,CL:0000669,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Smooth Muscle Cell,26. Smooth muscle cell or Fibroblast,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,fibroblast,fibroblast,-1,-1,10,10,0.6000,0.6000,0.3333,0.3333
26,26,26,26,26,26,1,Lung,0.25,"GENE97,CALD1,TPM2,PLN,DSTN,GENE17,CSRP1,ACTA2,CNN1,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth muscle cells,CL:0000192,Endothelial Cells,CL:0000115,Smooth Muscle Cells,Smooth Muscle Cells,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,endothelial cell,0,0,0,-1,1.0000,0.3333,1.0000,1.0000
27,27,27,27,27,27,1,Lung,0.25,"PTPRB,DKK2,HEY1,GENE89,GJA5,FBLN5,SEMA3G,GENE17,EFNB2,BMX,EPAS1,ARGLU1",Artery,,,Endothelial cells,CL:0000115,"Endothelial Cells, Smooth Muscle Cells",CL:0000192,Endothelial Cells,Endothelial Cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,smooth muscle cell,4,4,4,-1,-1,-1,-1,-1
28,28,28,28,28,28,1,Lung,0.25,"HPGD,CYP3A5,CLDN5,GENE41,APP,STXBP6,GENE17,TBX2,EMCN,SOSTDC1,ESAM,EDNRB",Capillary Aerocyte,,,Epithelial cells,CL:0000066,"Neurons, Endothelial Cells",CL:0000115,Endothelial Cells,Endothelial Cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,epithelial cell,endothelial cell,4,4,7,4,0.2500,0.4286,0.4286,0.4286
29,29,29,29,29,29,1,Lung,0.25,"IPO7,SH3BP5,RALA,GALNT18,GENE24,GENE86,SRSF11,PECAM1,ACVRL1,EPAS1,VAT1,WWTR1",Capillary Intermediate,,,Myeloid cells,CL:0000763,Lung Cancer Cells,CL:1000143,Endothelial Cells,Endothelial Cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,myeloid cell,lung goblet cell,-1,-1,3,-1,0.5000,0.2222,0.3333,0.3333
30,30,30,30,30,30,1,Lung,0.25,"C7,FGF7,C3,WT1,MEDAG,STEAP1,OSR1,CCDC71L,CPXM1,GENE71,HAS1,GENE31",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,Mesothelial cells,CL:0000077,Lung epithelial cells,CL:0000082,Podocytes,Podocytes,CL:0000653,CL:0000653,podocyte,podocyte,mesothelial cell,epithelial cell of lung,-1,-1,7,-1,0.2500,0.2222,0.2857,0.2857
31,31,31,31,31,31,1,Lung,0.25,"ALDH1A3,PRG4,GALNT9,C3,DSC3,ITLN1,MGARP,WT1,DMKN,GENE25,GENE6,SLPI",Mesothelial,mesothelial cell,CL:0000077,Goblet cells,CL:0000160,Lung stem cells,CL:0000034,Lubricin Expressing Cells,Epithelial Cells,CL:4023065,CL:0000066,meis2 expressing cortical GABAergic cell,epithelial cell,goblet cell,stem cell,-1,2,-1,10,0.5000,0.3333,0.2222,0.6000
32,32,32,32,32,32,1,Lung,0.25,"CMTM5,GENE47,TUBB1,GRAP2,ITGA2B,CABP5,GENE48,PF4,ACRBP,GP6,TMEM40,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",Megakaryocytes or platelets,CL:0000233,Endothelial cells,CL:0000115,Platelets,Platelets,CL:0000233,CL:0000233,platelet,platelet,platelet,endothelial cell,-1,-1,-1,-1,-1,-1,-1,-1
33,33,33,33,33,33,1,Lung,0.25,"CD2,GNLY,CTSW,S100A6,GENE90,CCL5,CEBPB,CXCR4,CD7,LGALS1,GENE16,ZFP36L2",Natural Killer T,,,Natural Killer (NK) cells,CL:0000623,Lymphocytes,CL:0000542,T Cells,T Cells,CL:0000084,CL:0000084,t cell,t cell,natural killer cell,lymphocyte,-1,-1,0,3,1.0000,0.6250,0.5556,0.5556
