,Unnamed: 0,dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_CLname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_CLname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_CLname,gpt-4o-mini-2024-07-18_CLID
10,10,GOSH,neuroblastoma tissue,"RP11-71G12.1  ""RFPL4A""        ""RFPL4AL1""      ""SPACA3""        ""RP11-476B1.1""  ""RP11-164P12.3"" ""AC005307.1""    ""RP11-731D1.4""  ""CLEC9A""        ""LINC01531""    ",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblast cells,neuroblastoma cells,Neural crest cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,cell,CL:0000000,neural crest cell,CL:0011012,cell,CL:0000000
11,11,GOSH,neuroblastoma tissue," ""C6orf141""      ""RP11-567J20.2"" ""TM4SF1-AS1""    ""GJA5""          ""GDF3""          ""SELE""          ""CCL14""         ""EMCN""          ""STAB2""         ""FCN3"" ",endothelial cell,endothelial cell,CL:0000115,endothelial cell,Neuroblast cells,neuroblastoma cells,Neural progenitor cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,cell,CL:0000000,neural progenitor cell,CL:0011020,cell,CL:0000000
12,12,GOSH,neuroblastoma tissue,"TPSAB1     ""TPSB2""      ""TPSD1""      ""MTTP""       ""KRT25""      ""AC005780.1"" ""HDC""        ""AC004791.2"" ""AC024704.2"" ""KRT83""",,T cell,CL:0000084,t/nk cell,Mast cells,mast cells,Mast cells,mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097
13,13,GOSH,neuroblastoma tissue,"""RP11-402G3.3""   ""KIRREL2""        ""TEX13D""         ""CTD-2616J11.14"" ""PKLR""           ""CTC-338M12.6""   ""AF064858.6""     ""RP11-356I2.1""   ""HIST1H1B""      ""RP11-20B24.2""  ",T cell,T cell,CL:0000084,t/nk cell,Neuroblast cells,neuroblastoma cells,Neural crest cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,cell,CL:0000000,neural crest cell,CL:0011012,cell,CL:0000000
14,14,GOSH,neuroblastoma tissue,"DSC3          ""SGCG""          ""LINC01048""     ""MASP1""         ""LINC01564""     ""SCARA5""        ""RP11-125O18.1"" ""SPRR2F""        ""ITIH3""         ""RP11-17A4.3""",fibroblast,fibroblast,CL:0000057,fibroblast,Keratinocytes,"epithelial cells, muscle cells",Neural crest cells,neuroblastoma cells,keratinocyte,CL:0000312,nasopharyngeal epithelial cell,CL:1001573,neural crest cell,CL:0011012,cell,CL:0000000
15,15,GOSH,neuroblastoma tissue,"RP11-865I6.2 ""C4B""          ""RP11-598F7.5"" ""JPH2""         ""RERGL""        ""COL10A1""      ""TDO2""         ""FHL5""         ""RP11-91J3.3""  ""CHAD""",fibroblast,fibroblast,CL:0000057,fibroblast,Neuroblast cells,"neuroblastoma cells, complement system components",Neural crest cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,visual system neuron,CL:0008028,neural crest cell,CL:0011012,cell,CL:0000000
16,16,GOSH,neuroblastoma tissue,"GRHL2         ""RP11-167J8.3""  ""LINC01511""     ""RP5-1092A11.5"" ""RP11-127L20.5"" ""RP11-24I21.1""  ""AC093627.7""    ""RP11-35G22.1""  ""RP3-441A12.1""  ""RP4-813D12.3""",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblast cells,epithelial cells,Epithelial cells,B cells,forebrain neuroblast,CL:1000042,epithelial cell,CL:0000066,epithelial cell,CL:0000066,b cell,CL:0000236
17,17,GOSH,neuroblastoma tissue,"IGHG2         ""IGHGP""         ""IGHG3""         ""IGHG4""         ""RP11-768B22.2"" ""IGHG1""         ""FA2H""          ""OR4C6""         ""AC233755.2""    ""IGHV4-28""   ",B cell,B cell,CL:0000236,B cell,Plasma cells,plasma cells,B cells,B cells,plasma cell,CL:0000786,plasma cell,CL:0000786,b cell,CL:0000236,b cell,CL:0000236
18,18,GOSH,neuroblastoma tissue,"LIM2   ""FGFBP2"" ""KLRF1""  ""NCR1""   ""SPON2""  ""LRRC43"" ""S1PR5""  ""SH2D1B"" ""DTHD1""  ""SLC1A7""",natural killer cell,natural killer cell,CL:0000623,t/nk cell,Natural Killer cells,immune cells,Natural killer cells,neuroblastoma cells,natural killer cell,CL:0000623,leukocyte,CL:0000738,natural killer cell,CL:0000623,cell,CL:0000000
19,19,GOSH,neuroblastoma tissue,"RP11-265P11.1 ""CTD-2215E18.1"" ""LINC01013""     ""RP11-524N5.1""  ""IGHD""          ""RP11-553K8.2""  ""RP5-887A10.1""  ""RP3-416J7.4""   ""BEST3""         ""RP11-693J15.5""",B cell,B cell,CL:0000236,B cell,Neuroblast cells,neuroblastoma cells,Neural crest cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,cell,CL:0000000,neural crest cell,CL:0011012,cell,CL:0000000
20,20,GOSH,neuroblastoma tissue,"LINC00211     ""RP11-552D4.1""  ""OLIG1""         ""RP11-362F19.3"" ""CTC-490G23.2""  ""RP11-561P12.5"" ""CLEC6A""        ""PPP1R17""       ""RP11-737O24.5"" ""RP11-362F19.1""",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblast Cells,neuroblasts,Neuroblastoma cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000,cell,CL:0000000
21,21,GOSH,neuroblastoma tissue,"DBX2        ""LINC01351""   ""LRRC71""      ""ENOX1-AS1""   ""NPFF""        ""RP4-753F5.1"" ""NKX6-2""      ""TSPY2""       ""AC105402.4""  ""RP11-49P4.7""",neuroblastoma cell,neuroendocrine cell,CL:0000165,neuron,Neuroblast Cells,neuroblasts,Neuroblastoma cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000,cell,CL:0000000
22,22,GOSH,neuroblastoma tissue,"MDGA2         ""RALYL""         ""RP11-746B8.1""  ""CTC-575N7.1""   ""HCRTR2""        ""WNT6""          ""SST""           ""NPAS4""         ""TMEM132D""      ""RP11-446H18.6""",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblast Cells,neurons,Neuroblastoma cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuron,CL:0000540,cell,CL:0000000,cell,CL:0000000
23,23,GOSH,neuroblastoma tissue,"KRT73-AS1    ""KRT1""         ""ST6GALNAC1""   ""ANKRD55""      ""RP11-664D1.1"" ""HBE1""         ""TSPO2""        ""GCNT4""        ""NOG""          ""REG4""",T cell,T cell,CL:0000084,t/nk cell,Keratinocyte,keratinocytes,Neuroblastoma cells with keratin expression,neuroblastoma cells,keratinocyte,CL:0000312,keratinocyte,CL:0000312,keratin accumulating cell,CL:0000311,cell,CL:0000000
24,24,GOSH,neuroblastoma tissue,"""CCL18""         ""RP11-20G13.3""  ""RP11-489O18.1"" ""APOC4-APOC2""   ""SIGLEC8""       ""RP11-202G18.1"" ""TREM2""         ""RP3-369A17.4""  ""DNASE2B""       ""CTB-138E5.1""RSPO4          ""GABRA5""         ""RP11-91P17.1""   ""RP11-546B8.6""   ""HAPLN4""         ""AGXT""           ""RP5-968D22.1""   ""RP11-1038A11.3"" ""FEV"" ""ALX3""",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Macrophages / T lymphocytes,immune cells,Neuroblastoma cells,immune cells,lymphocyte,CL:0000542,leukocyte,CL:0000738,cell,CL:0000000,leukocyte,CL:0000738
25,25,GOSH,neuroblastoma tissue," ""RP5-997D24.3""   ""TRAV27""         ""CCL1""           ""RP11-357H14.17"" ""UNQ6494""        ""CTD-3195I5.3""   ""AP001171.1""     ""LINC00880""      ""IL26""    ""CXCL13""   ",myeloid cell,myeloid cell,CL:0000763,myeloid cell,T Lymphocytes,T cells,Neuroblastoma cells,immune cells,T cell,CL:0000084,t cell,CL:0000084,cell,CL:0000000,leukocyte,CL:0000738
26,26,GOSH,neuroblastoma tissue,"ZNF488        ""GLRA2""         ""RP11-126K15.1"" ""GRK1""          ""CTD-2659N19.2"" ""PRSS8""         ""AC097381.1""    ""GRM2""          ""AC015849.16""   ""RP4-585I14.3"" ",T cell,T cell,CL:0000084,t/nk cell,Neuroblast Cells,neural cells,Neuroblastoma cells,neuronal cells,forebrain neuroblast,CL:1000042,neural cell,CL:0002319,cell,CL:0000000,neuronal receptor cell,CL:0000006
27,27,GOSH,neuroblastoma tissue,"ZNF488        ""GLRA2""         ""RP11-126K15.1"" ""GRK1""          ""CTD-2659N19.2"" ""PRSS8""         ""AC097381.1""    ""GRM2""          ""AC015849.16""   ""RP4-585I14.3"" ",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblast Cells,neural cells,Neuroblastoma cells,neuronal cells,forebrain neuroblast,CL:1000042,neural cell,CL:0002319,cell,CL:0000000,neuronal receptor cell,CL:0000006
28,28,GOSH,neuroblastoma tissue,"RP11-71G12.1  ""RFPL4A""        ""RFPL4AL1""      ""SPACA3""        ""RP11-476B1.1""  ""RP11-164P12.3"" ""AC005307.1""    ""RP11-731D1.4""  ""CLEC9A""        ""LINC01531""    ",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblast Cells,neuronal or neural progenitor cells,Neuroblastoma cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neural progenitor cell,CL:0011020,cell,CL:0000000,cell,CL:0000000
29,29,GOSH,neuroblastoma tissue," ""C6orf141""      ""RP11-567J20.2"" ""TM4SF1-AS1""    ""GJA5""          ""GDF3""          ""SELE""          ""CCL14""         ""EMCN""          ""STAB2""         ""FCN3"" ",endothelial cell,endothelial cell,CL:0000115,endothelial cell,Neuroblast Cells,neurons or neural cells,Neuroblastoma cells,neuroblastoma cells,forebrain neuroblast,CL:1000042,neural cell,CL:0002319,cell,CL:0000000,cell,CL:0000000
30,30,GOSH,neuroblastoma tissue,"TPSAB1     ""TPSB2""      ""TPSD1""      ""MTTP""       ""KRT25""      ""AC005780.1"" ""HDC""        ""AC004791.2"" ""AC024704.2"" ""KRT83""",,T cell,CL:0000084,t/nk cell,Mast Cells,Schwann cells,Mast Cells,neuroblastoma cells,mast cell,CL:0000097,schwann cell,CL:0002573,mast cell,CL:0000097,cell,CL:0000000
31,31,GOSH,neuroblastoma tissue,"""RP11-402G3.3""   ""KIRREL2""        ""TEX13D""         ""CTD-2616J11.14"" ""PKLR""           ""CTC-338M12.6""   ""AF064858.6""     ""RP11-356I2.1""   ""HIST1H1B""      ""RP11-20B24.2""  ",T cell,T cell,CL:0000084,t/nk cell,Neuroblasts,T cells,Neurons,immune cells,neuroblast (sensu Vertebrata),CL:0000031,t cell,CL:0000084,neuron,CL:0000540,leukocyte,CL:0000738
32,32,GOSH,neuroblastoma tissue,"DSC3          ""SGCG""          ""LINC01048""     ""MASP1""         ""LINC01564""     ""SCARA5""        ""RP11-125O18.1"" ""SPRR2F""        ""ITIH3""         ""RP11-17A4.3""",fibroblast,fibroblast,CL:0000057,fibroblast,Stratified Squamous Epithelial Cells,Myocytes,Smooth Muscle Cells,differentiated neuroblastoma cells,stratified squamous epithelial cell,CL:0000240,muscle cell,CL:0000187,smooth muscle cell,CL:0000192,non-terminally differentiated cell,CL:0000055
33,33,GOSH,neuroblastoma tissue,"RP11-865I6.2 ""C4B""          ""RP11-598F7.5"" ""JPH2""         ""RERGL""        ""COL10A1""      ""TDO2""         ""FHL5""         ""RP11-91J3.3""  ""CHAD""",fibroblast,fibroblast,CL:0000057,fibroblast,Complement System Cells,Complement system cells,Immune Cells,stromal cells,His-Purkinje system cell,CL:0010007,His-Purkinje system cell,CL:0010007,leukocyte,CL:0000738,stromal cell,CL:0000499
34,34,GOSH,neuroblastoma tissue,"GRHL2         ""RP11-167J8.3""  ""LINC01511""     ""RP5-1092A11.5"" ""RP11-127L20.5"" ""RP11-24I21.1""  ""AC093627.7""    ""RP11-35G22.1""  ""RP3-441A12.1""  ""RP4-813D12.3""",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Epithelial Cells,Epithelial cells,Epithelial Cells,tumor-associated macrophages,epithelial cell,CL:0000066,epithelial cell,CL:0000066,epithelial cell,CL:0000066,border associated macrophage,CL:4042003
35,35,GOSH,neuroblastoma tissue,"IGHG2         ""IGHGP""         ""IGHG3""         ""IGHG4""         ""RP11-768B22.2"" ""IGHG1""         ""FA2H""          ""OR4C6""         ""AC233755.2""    ""IGHV4-28""   ",B cell,B cell,CL:0000236,B cell,Plasma Cells,Plasma cells,B Cells,hypoxic cells,plasma cell,CL:0000786,plasma cell,CL:0000786,b cell,CL:0000236,cell,CL:0000000
36,36,GOSH,neuroblastoma tissue,"LIM2   ""FGFBP2"" ""KLRF1""  ""NCR1""   ""SPON2""  ""LRRC43"" ""S1PR5""  ""SH2D1B"" ""DTHD1""  ""SLC1A7""",natural killer cell,natural killer cell,CL:0000623,t/nk cell,Immune Cells,NK cells,NK Cells,precursor neuroblastoma cells,leukocyte,CL:0000738,natural killer cell,CL:0000623,natural killer cell,CL:0000623,precursor cell,CL:0011115
37,37,GOSH,neuroblastoma tissue,"RP11-265P11.1 ""CTD-2215E18.1"" ""LINC01013""     ""RP11-524N5.1""  ""IGHD""          ""RP11-553K8.2""  ""RP5-887A10.1""  ""RP3-416J7.4""   ""BEST3""         ""RP11-693J15.5""",B cell,B cell,CL:0000236,B cell,Epithelial Cells,Neuronal cells,Mesenchymal Cells,B cells,epithelial cell,CL:0000066,neuronal receptor cell,CL:0000006,mesenchymal cell,CL:0008019,b cell,CL:0000236
38,38,GOSH,neuroblastoma tissue,"LINC00211     ""RP11-552D4.1""  ""OLIG1""         ""RP11-362F19.3"" ""CTC-490G23.2""  ""RP11-561P12.5"" ""CLEC6A""        ""PPP1R17""       ""RP11-737O24.5"" ""RP11-362F19.1""",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Fibroblasts,Fibroblasts,Astrocytes,mesenchymal stem cells,fibroblast,CL:0000057,fibroblast,CL:0000057,astrocyte,CL:0000127,mesenchymal stem cell,CL:0000134
39,39,GOSH,neuroblastoma tissue,"DBX2        ""LINC01351""   ""LRRC71""      ""ENOX1-AS1""   ""NPFF""        ""RP4-753F5.1"" ""NKX6-2""      ""TSPY2""       ""AC105402.4""  ""RP11-49P4.7""",neuroblastoma cell,neuroendocrine cell,CL:0000165,neuron,Neural Stem Cells,Neural progenitor cells,Neural Stem Cells,neural crest-derived cells,neural stem cell,CL:0000047,neural progenitor cell,CL:0011020,neural stem cell,CL:0000047,smooth muscle cell neural crest derived,CL:0000027
40,40,GOSH,neuroblastoma tissue,"MDGA2         ""RALYL""         ""RP11-746B8.1""  ""CTC-575N7.1""   ""HCRTR2""        ""WNT6""          ""SST""           ""NPAS4""         ""TMEM132D""      ""RP11-446H18.6""",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblast cells,neuronal cells,Neuroblast,neuroblastoma cells,forebrain neuroblast,CL:1000042,neuronal receptor cell,CL:0000006,neuroblast (sensu Vertebrata),CL:0000031,cell,CL:0000000
41,41,GOSH,neuroblastoma tissue,"KRT73-AS1    ""KRT1""         ""ST6GALNAC1""   ""ANKRD55""      ""RP11-664D1.1"" ""HBE1""         ""TSPO2""        ""GCNT4""        ""NOG""          ""REG4""",T cell,T cell,CL:0000084,t/nk cell,Squamous epithelial cells,keratinocytes,Keratinocyte,keratinocytes,squamous epithelial cell,CL:0000076,keratinocyte,CL:0000312,keratinocyte,CL:0000312,keratinocyte,CL:0000312
42,42,GOSH,neuroblastoma tissue,"""CCL18""         ""RP11-20G13.3""  ""RP11-489O18.1"" ""APOC4-APOC2""   ""SIGLEC8""       ""RP11-202G18.1"" ""TREM2""         ""RP3-369A17.4""  ""DNASE2B""       ""CTB-138E5.1""RSPO4          ""GABRA5""         ""RP11-91P17.1""   ""RP11-546B8.6""   ""HAPLN4""         ""AGXT""           ""RP5-968D22.1""   ""RP11-1038A11.3"" ""FEV"" ""ALX3""",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Macrophages,macrophages,Immune cells,immune cells,macrophage,CL:0000235,macrophage,CL:0000235,leukocyte,CL:0000738,leukocyte,CL:0000738
43,43,GOSH,neuroblastoma tissue," ""RP5-997D24.3""   ""TRAV27""         ""CCL1""           ""RP11-357H14.17"" ""UNQ6494""        ""CTD-3195I5.3""   ""AP001171.1""     ""LINC00880""      ""IL26""    ""CXCL13""   ",myeloid cell,myeloid cell,CL:0000763,myeloid cell,T cells,T cells,T-cell,T cells,t cell,CL:0000084,t cell,CL:0000084,T cell,CL:0000084,t cell,CL:0000084
44,44,GOSH,neuroblastoma tissue,"ZNF488        ""GLRA2""         ""RP11-126K15.1"" ""GRK1""          ""CTD-2659N19.2"" ""PRSS8""         ""AC097381.1""    ""GRM2""          ""AC015849.16""   ""RP4-585I14.3"" ",T cell,T cell,CL:0000084,t/nk cell,Neurons,neuronal cells,Neuron,neuronal cells,neuron,CL:0000540,neuronal receptor cell,CL:0000006,neuron,CL:0000540,neuronal receptor cell,CL:0000006
45,45,GOSH,neuroblastoma tissue,"ZNF488        ""GLRA2""         ""RP11-126K15.1"" ""GRK1""          ""CTD-2659N19.2"" ""PRSS8""         ""AC097381.1""    ""GRM2""          ""AC015849.16""   ""RP4-585I14.3"" ",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neurons,neuronal cells,Neuron,immune cells,neuron,CL:0000540,neuronal receptor cell,CL:0000006,neuron,CL:0000540,leukocyte,CL:0000738
46,46,GOSH,neuroblastoma tissue,"RP11-71G12.1  ""RFPL4A""        ""RFPL4AL1""      ""SPACA3""        ""RP11-476B1.1""  ""RP11-164P12.3"" ""AC005307.1""    ""RP11-731D1.4""  ""CLEC9A""        ""LINC01531""    ",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neurons,neuronal cells,Unknown,unknown cells,neuron,CL:0000540,neuronal receptor cell,CL:0000006,cyanophore,CL:0000747,cell,CL:0000000
47,47,GOSH,neuroblastoma tissue," ""C6orf141""      ""RP11-567J20.2"" ""TM4SF1-AS1""    ""GJA5""          ""GDF3""          ""SELE""          ""CCL14""         ""EMCN""          ""STAB2""         ""FCN3"" ",endothelial cell,endothelial cell,CL:0000115,endothelial cell,Neurons,not specified,Unknown,unknown cells,neuron,CL:0000540,specified double negative thymocyte (Homo sapiens),CL:0009081,cyanophore,CL:0000747,cell,CL:0000000
48,48,GOSH,neuroblastoma tissue,"TPSAB1     ""TPSB2""      ""TPSD1""      ""MTTP""       ""KRT25""      ""AC005780.1"" ""HDC""        ""AC004791.2"" ""AC024704.2"" ""KRT83""",,T cell,CL:0000084,t/nk cell,Mast cells,mast cells,Mast cell,mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097
49,49,GOSH,neuroblastoma tissue,"""RP11-402G3.3""   ""KIRREL2""        ""TEX13D""         ""CTD-2616J11.14"" ""PKLR""           ""CTC-338M12.6""   ""AF064858.6""     ""RP11-356I2.1""   ""HIST1H1B""      ""RP11-20B24.2""  ",T cell,T cell,CL:0000084,t/nk cell,Myocytes,neuronal cells,Unknown,unknown cells,muscle cell,CL:0000187,neuronal receptor cell,CL:0000006,cyanophore,CL:0000747,cell,CL:0000000
50,50,GOSH,neuroblastoma tissue,"DSC3          ""SGCG""          ""LINC01048""     ""MASP1""         ""LINC01564""     ""SCARA5""        ""RP11-125O18.1"" ""SPRR2F""        ""ITIH3""         ""RP11-17A4.3""",fibroblast,fibroblast,CL:0000057,fibroblast,Neuroblast cells,Schwann cells,Neural crest cells,neuroblastoma cell,forebrain neuroblast,CL:1000042,schwann cell,CL:0002573,neural crest cell,CL:0011012,cell,CL:0000000
51,51,GOSH,neuroblastoma tissue,"RP11-865I6.2 ""C4B""          ""RP11-598F7.5"" ""JPH2""         ""RERGL""        ""COL10A1""      ""TDO2""         ""FHL5""         ""RP11-91J3.3""  ""CHAD""",fibroblast,fibroblast,CL:0000057,fibroblast,Neuroblast cells,B cells,Immune cells,B cell,forebrain neuroblast,CL:1000042,b cell,CL:0000236,leukocyte,CL:0000738,b cell,CL:0000236
52,52,GOSH,neuroblastoma tissue,"GRHL2         ""RP11-167J8.3""  ""LINC01511""     ""RP5-1092A11.5"" ""RP11-127L20.5"" ""RP11-24I21.1""  ""AC093627.7""    ""RP11-35G22.1""  ""RP3-441A12.1""  ""RP4-813D12.3""",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblast cells,Epithelial cells,Epithelial cells,neuroblastoma cell,forebrain neuroblast,CL:1000042,epithelial cell,CL:0000066,epithelial cell,CL:0000066,cell,CL:0000000
53,53,GOSH,neuroblastoma tissue,"IGHG2         ""IGHGP""         ""IGHG3""         ""IGHG4""         ""RP11-768B22.2"" ""IGHG1""         ""FA2H""          ""OR4C6""         ""AC233755.2""    ""IGHV4-28""   ",B cell,B cell,CL:0000236,B cell,"B Lymphocytes, Plasmablasts",Plasma cells,Plasma cells,B cell,plasmablast,CL:0000980,plasma cell,CL:0000786,plasma cell,CL:0000786,b cell,CL:0000236
54,54,GOSH,neuroblastoma tissue,"LIM2   ""FGFBP2"" ""KLRF1""  ""NCR1""   ""SPON2""  ""LRRC43"" ""S1PR5""  ""SH2D1B"" ""DTHD1""  ""SLC1A7""",natural killer cell,natural killer cell,CL:0000623,t/nk cell,"Natural Killer cells, T Lymphocytes",Natural killer cells,Natural killer cells and fibroblasts,neuroblastoma cell,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,cell,CL:0000000
