,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation
22,Lung,1,0.25,"SPRY1,VWF",Bronchial Vessel,,,pulmonary endothelia cells
23,Lung,1,0.25,"RARRES1,BPIFB1",Mucous,,,goblet cell
24,Lung,1,0.25,"SELP,PTPRB",Vein,,,microvascular endothelial cell
25,Lung,1,0.25,"COL4A1,COX4I2",Pericyte,pericyte,CL:0000669,capillary endothelial cell
26,Lung,1,0.25,"MYL9,CSRP1",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
27,Lung,1,0.25,"FBLN5,HEY1",Artery,,,smooth muscle cell
28,Lung,1,0.25,"CLDN5,STXBP6",Capillary Aerocyte,,,vascular endothelial cell
29,Lung,1,0.25,"SRSF11,ACVRL1",Capillary Intermediate,,,pulmonary alveolar type 2 cell
30,Lung,1,0.25,"WT1,OSR1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,"The markers WT1 and OSR1 are not typically associated with immune or hematopoietic cells like those listed in the provided database. They are more often related to mesothelial cells or certain progenitor cell types. Without specific database entries for these markers, I would suggest that the cell type might be either a mesothelial cell or possibly a progenitor/stem cell population that could not be explicitly identified from the given database results."
31,Lung,1,0.25,"DMKN,SLPI",Mesothelial,mesothelial cell,CL:0000077,cell_type_name: pulmonary alveolar epithelial cell
32,Lung,1,0.25,"GP6,ITGA2B",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",platelet
33,Lung,1,0.25,"CCL5,CXCR4",Natural Killer T,,,cd8+ mem/eff t cell
34,Lung,1,0.25,"CNN1,SCX",Fibromyocyte,,,smooth muscle cell
35,Lung,1,0.25,"WFDC2,PSCA",Goblet,goblet cell,CL:0000160,Unidentified Cell Type
36,Lung,1,0.25,"PHGR1,STAC2",Ionocyte,ionocyte,CL:0005006,Clara_cells
37,Lung,1,0.25,"CHGA,SCGN",Neuroendocrine,neuroendocrine cell,CL:0000165,enterochromaffin cell
38,Lung,1,0.25,"PRB4,PRR4",Serous,serous secreting cell,CL:0000313,goblet cell
39,Lung,1,0.25,"C1QA,CTSL",Macrophages,macrophage,CL:0000235,macrophage
40,Lung,1,0.25,"CCL4,CD7",Innate lymphoid cell NK,natural killer cell,CL:0000623,natural killer cell
41,Lung,1,0.25,"SFTA3,NAPSA",AT2,type II pneumocyte,CL:0002063,alveolar type II cell
42,Lung,1,0.25,"PECAM1,CLEC14A",EC venous,vein endothelial cell,CL:0002543,vascular endothelial cell
43,Lung,1,0.25,"CD3D,TRBC2",T cell lineage,T cell,CL:0000084,cd8+ mem/eff t cell
44,Lung,1,0.25,"GIMAP7,CRIP2",EC arterial,endothelial cell of artery,CL:1000413,multiple_cell_types
45,Lung,1,0.25,"CALD1,LUM",Fibroblasts,fibroblast,CL:0000057,fibroblast
46,Lung,1,0.25,"HOPX,SFTA2",AT1,type I pneumocyte,CL:0002062,alveolar epithelial cell
47,Lung,1,0.25,"TMEM231,RP11-295M3.4",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,unidentified
48,Lung,1,0.25,"TSC22D3,IGLC2",B cell lineage,B cell,CL:0000236,unclassified cell type
49,Lung,1,0.25,"BPIFB1,TACSTD2",Secretory,secretory cell,CL:0000151,club cell
50,Lung,1,0.25,"FCN1,COTL1",Monocytes,monocyte,CL:0000576,monocyte
51,Lung,1,0.25,"CCL28,ZG16B",Submucosal Secretory,,,pulmonary alveolar type 2 cell
52,Lung,1,0.25,"HYAL2,CLEC14A",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
53,Lung,1,0.25,"SDPR,RAMP2",Lymphatic EC mature,,,capillary endothelial cell
54,Lung,1,0.25,"SDPR,AKAP12",Lymphatic EC differentiating,,,unclassified cell type
55,Lung,1,0.25,"HLA-DQA1,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,fibroblast
56,Lung,1,0.25,"CTGF,TPM2",Myofibroblasts,myofibroblast cell,CL:0000186,pulmonary alveolar type 2 cell
57,Lung,1,0.25,"VWA5A,RGS13",Mast cells,mast cell,CL:0000097,Mast cells
58,Lung,1,0.25,"FLNA,SELM",Fibromyocytes,,,Alveolar Type II Cells
59,Lung,1,0.25,"COX20,EID1",Lymphatic EC proliferating,,,Not Found
60,Lung,1,0.25,"SEMA3A,ST6GALNAC3",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of artery
61,Lung,1,0.25,"RBMS3,LIMCH1",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,cell_type_name
62,Lung,1,0.25,"SFTPB,LRRK2",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,alveolar type II cell
63,Lung,1,0.25,"MACROD2,FAF1",Epithelial cell (basal),basal cell,CL:0000646,not_a_cell_type
64,Lung,1,0.25,"CFAP54,AGBL4",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,pulmonary alveolar type 2 cell
65,Lung,1,0.25,"MACROD2,KIAA1217",Epithelial cell (club),club cell,CL:0000158,Club cell
66,Lung,1,0.25,"ST6GAL1,MEF2C",Immune (B cell),B cell,CL:0000236,endothelial cell
67,Lung,1,0.25,"ARHGAP15,PARP8",Immune (NK cell),natural killer cell,CL:0000623,Basal Cell
68,Lung,1,0.25,"SKAP1,BCL2",Immune (T cell),T cell,CL:0000084,Lymphocyte
69,Lung,1,0.25,"GPCPD1,SLC11A1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,alveolar macrophages
70,Lung,1,0.25,"FER,SRGN",Immune (mast cell),mast cell,CL:0000097,mast cell
71,Lung,1,0.25,"ACTA2,INPP4B",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",smooth muscle cell
72,Lung,1,0.25,"PTPRB,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
73,Lung,1,0.25,"LAMA2,ROBO2",Fibroblast,fibroblast,CL:0000057,Basal Cell
74,Lung,1,0.25,"FKBP5,SRGN",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",mast cell
75,Lung,1,0.25,"EBF1,ACSL1",Adipocyte,fat cell,CL:0000136,nonclassical monocyte
76,Lung,1,0.25,AGER,Alveolar Type I,type I pneumocyte,CL:0002062,capillary endothelial cell
77,Lung,1,0.25,LAMP3,Alveolar Type II,type II pneumocyte,CL:0002063,dendritic cell
78,Lung,1,0.25,CR2,B cell_memory,memory B cell,CL:0000787,pulmonary alveolar type 2 cell
79,Lung,1,0.25,"DNAH5,FOXJ1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
80,Lung,1,0.25,SCGB3A2,Club Epithelial,club cell,CL:0000158,Clara cell
81,Lung,1,0.25,"NEGR1,SLIT2,COL18A1,COL6A3,DCN,COL5A1",Fibroblast,fibroblast,CL:0000057,fibroblast
82,Lung,1,0.25,MMRN1,Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of artery
83,Lung,1,0.25,"CSF1R,CD163,PTPRC,CD36,MS4A6A",Macrophage,macrophage,CL:0000235,macrophage
84,Lung,1,0.25,TPSAB1,Mast Cell,mast cell,CL:0000097,mast cell
85,Lung,1,0.25,"PDGFRB,ANPEP",Pericyte,pericyte,CL:0000669,fibroblast
86,Lung,1,0.25,"SMTN,VCL,ACTN1",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
87,Lung,1,0.25,"PTPRC,TRBC1,NKG7",T cell,T cell,CL:0000084,"natural killer t cell, cd8+ mem/eff t cell"
88,Lung,1,0.25,"CD300LG,LDB2",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,Endothelial Cells
89,Lung,1,0.25,"SFTA2,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
90,Lung,1,0.25,"MMP25,MGAM",neutrophil,neutrophil,CL:0000775,neutrophil
91,Lung,1,0.25,"CXCR4,CD69","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,"The provided markers are commonly associated with immune cells such as certain types of T cells, as CXCR4 is a chemokine receptor and CD69 is an early activation marker. However, they do not directly match any specific cell type from the database provided, which includes alveolar cells, smooth muscle cells, nonclassical monocytes, dendritic cells, and fibroblasts. Therefore, they likely indicate a different cell type, possibly lymphocytes or activated T cells, which are not covered in the database."
92,Lung,1,0.25,"CCL4,CCL5","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,cd8+ mem/eff t cell
93,Lung,1,0.25,"KLRB1,PRF1",nk cell,natural killer cell,CL:0000623,natural killer t cell
94,Lung,1,0.25,"NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,pulmonary neuroendocrine cell
95,Lung,1,0.25,"HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,Ciliated cells
96,Lung,1,0.25,"MFAP4,MGP",adventitial cell,adventitial cell,CL:0002503,alveolar fibroblast
97,Lung,1,0.25,"MS4A7,ACP5",macrophage,macrophage,CL:0000235,macrophage
98,Lung,1,0.25,"CPA3,GATA2",basophil,basophil,CL:0000767,mast cell
99,Lung,1,0.25,"CD300E,FGL2",classical monocyte,classical monocyte,CL:0000860,immune cell
100,Lung,1,0.25,"SOX17,NPR3",endothelial cell of artery,endothelial cell of artery,CL:1000413,pulmonary alveolar type 2 cell
101,Lung,1,0.25,"C11orf88,C9orf24",lung ciliated cell,lung ciliated cell,CL:1000271,not_identified
102,Lung,1,0.25,"S100B,PKIB",dendritic cell,dendritic cell,CL:0000451,astrocyte
103,Lung,1,0.25,"BPIFB1,LCN2",respiratory goblet cell,respiratory goblet cell,CL:0002370,mixture of cell types
104,Lung,1,0.25,"IGFBP2,S100A2",basal cell,basal cell,CL:0000646,pulmonary alveolar type 2 cell
105,Lung,1,0.25,"JCHAIN,DERL3",plasma cell,plasma cell,CL:0000786,b cell
106,Lung,1,0.25,"VPREB3,PAX5",b cell,B cell,CL:0000236,B cell
107,Lung,1,0.25,"TTYH1,PRB1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,goblet cell
108,Lung,1,0.25,"RNASE6,CSF1R",non-classical monocyte,non-classical monocyte,CL:0000875,nonclassical monocyte
109,Lung,1,0.25,"FCN3,MT1M",capillary endothelial cell,capillary endothelial cell,CL:0002144,not_identifiable
110,Lung,1,0.25,"EDNRB,HPGD",capillary aerocyte,,,not_identifiable
111,Lung,1,0.25,"NCKAP5,UPK3B",type i pneumocyte,type I pneumocyte,CL:0002062,unidentified
112,Lung,1,0.25,"CLU,TIMP3",vein endothelial cell,vein endothelial cell,CL:0002543,club cell
113,Lung,1,0.25,"MFAP4,LUM",alveolar fibroblast,,,fibroblast
114,Lung,1,0.25,"HOXD9,SEMA3D",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,Lung adenocarcinoma cells
115,Lung,1,0.25,"PPP1R14A,DES",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,mixed_cell_type
116,Lung,1,0.25,"PLD4,LILRA4",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
117,Lung,1,0.25,"CEACAM6,GPRC5A",club cell,club cell,CL:0000158,goblet cell
118,Lung,1,0.25,"C7,CLDN5",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,capillary endothelial cell
119,Lung,1,0.25,"PDGFRB,GJA4",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,fibroblast
120,Lung,1,0.25,"AC005821.1,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,pulmonary alveolar type 2 cell
121,Lung,1,0.25,"NDUFA4L2,COX4I2",pericyte cell,pericyte,CL:0000669,capillary endothelial cell
122,Lung,1,0.25,"HAS1,BNC1",mesothelial cell,mesothelial cell,CL:0000077,fibroblast
123,Lung,1,0.25,"AL135910.1,AC009269.2",fibroblast,fibroblast,CL:0000057,goblet cell
124,Lung,1,0.25,"LILRA1,MPEG1",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage
125,Lung,1,0.25,"CLNK,ATP6V1G3",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,undetermined
126,Lung,1,0.5,"AGER,GPRC5A,SCEL,ARHGEF26,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell
127,Lung,1,0.5,"VPREB3,MS4A1,CD22,ADAM28,CD79B",B,B cell,CL:0000236,B cell
128,Lung,1,0.5,"KRT15,KRT17,DST,KRT19,S100A2",Basal,basal cell,CL:0000646,basal epithelial cell
129,Lung,1,0.5,"FCN1,CD99,S100A12,VCAN,S100A9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
130,Lung,1,0.5,"CAMK4,CD2,LEF1,MALAT1,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T lymphocyte
131,Lung,1,0.5,"DNAH6,SNTN,ZMYND10,FAM92B,C20orf85",Ciliated,ciliated cell,CL:0000064,ciliated epithelial cell
132,Lung,1,0.5,"HLA-DMB,HLA-DPB1,RGS1,CLEC10A,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,macrophage
133,Lung,1,0.5,"FBLN1,C3,C1S,C1R,CFD",Fibroblast,fibroblast,CL:0000057,stromal cell
134,Lung,1,0.5,"TIMP3,PROX1,CCL21,PKHD1L1,TFF3",Lymphatic,,,goblet cell
135,Lung,1,0.5,"MARCO,C1QB,VSIG4,ACP5,GPD1",Macrophage,macrophage,CL:0000235,macrophage
136,Lung,1,0.5,"KLRF1,CD247,PYHIN1,PRF1,KLRD1",Natural Killer,natural killer cell,CL:0000623,natural killer t cell
137,Lung,1,0.5,"SSR4,SEC11C,XBP1,POU2AF1,DERL3",Plasma,plasma cell,CL:0000786,b cell
138,Lung,1,0.5,"SLC34A2,SFTPB,ABCA3,LPCAT1,NAPSA",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar epithelial type II cell
139,Lung,1,0.5,"HDC,KIT,VWA5A,TPSAB1,CD44",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
140,Lung,1,0.5,"COTL1,RHOC,LST1,SAT1,FCGR3A",CD16+ Monocyte,,,nonclassical monocyte
141,Lung,1,0.5,"RAMP3,PODXL,FLNB,BTNL9,CD81",Capillary,,,unidentified
142,Lung,1,0.5,"RPL34,CD3D,CD8B,CD8A,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,T lymphocyte
143,Lung,1,0.5,"C16orf89,SCGB3A2,WFDC2,DSTN,CTSE",Club,club cell,CL:0000158,club cell
144,Lung,1,0.5,"ASPN,CALD1,COL1A2,COL1A1,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,lipofibroblast
145,Lung,1,0.5,"PTPRE,TYROBP,PPP1R14B,SEC61B,IL3RA",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,natural killer t cell
146,Lung,1,0.5,"KPNA2,ANLN,BIRC5,CDK1,TYMS",Proliferating Macrophage,,,proliferating cell
147,Lung,1,0.5,"BIRC5,CENPF,AURKB,UBE2C,H2AFV",Proliferating NK/T,,,proliferating cell
148,Lung,1,0.5,"ZNF385D,PLVAP,POSTN,SPARCL1,ENPP2",Bronchial Vessel,,,lipofibroblast
149,Lung,1,0.5,"MUC5B,WFDC2,RARRES1,MSMB,SCGB3A1",Mucous,,,goblet cell
150,Lung,1,0.5,"LIFR,PTPRB,SLCO2A1,SELP,PLA1A",Vein,,,megakaryocyte
151,Lung,1,0.5,"CALD1,COX4I2,COL4A1,LAMB1,NID1",Pericyte,pericyte,CL:0000669,cell_type_name
152,Lung,1,0.5,"DES,TPM2,MYL9,CNN1,MYH11",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
153,Lung,1,0.5,"DKK2,EFNB2,HEY1,FBLN5,SEMA3G",Artery,,,lung microvascular endothelial cell
154,Lung,1,0.5,"CYP3A5,CLDN5,ESAM,EMCN,EDNRB",Capillary Aerocyte,,,endothelial cell
155,Lung,1,0.5,"WWTR1,SH3BP5,IPO7,SRSF11,PECAM1",Capillary Intermediate,,,endothelial cell
156,Lung,1,0.5,"MEDAG,STEAP1,FGF7,CPXM1,C3",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,pulmonary alveolar type 2 cell
157,Lung,1,0.5,"DSC3,ALDH1A3,DMKN,WT1,GALNT9",Mesothelial,mesothelial cell,CL:0000077,mesothelial cell
158,Lung,1,0.5,"GP6,GRAP2,TMEM40,GP9,CABP5",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",megakaryocyte
159,Lung,1,0.5,"CTSW,GNLY,ZFP36L2,CEBPB,CCL5",Natural Killer T,,,cytotoxic T cell
160,Lung,1,0.5,"CNN1,FAM150A,IGF1,CST5,RAMP1",Fibromyocyte,,,Pulmonary Neuroendocrine Cells
161,Lung,1,0.5,"WFDC2,AGR2,PSCA,CXCL17,GABRP",Goblet,goblet cell,CL:0000160,goblet cell
162,Lung,1,0.5,"HEPACAM2,FOXI1,BSND,ATP6V1B1,ASCL3",Ionocyte,ionocyte,CL:0005006,non-ciliated epithelial cell
163,Lung,1,0.5,"SEC11C,BEX1,PRDX2,SCGN,NENF",Neuroendocrine,neuroendocrine cell,CL:0000165,Neuroendocrine cells
164,Lung,1,0.5,"PRB3,TESC,LPO,LYZ,PRH2",Serous,serous secreting cell,CL:0000313,seromucous cell
165,Lung,1,0.5,"LYZ,CTSL,FCER1G,C1QA,LAPTM5",Macrophages,macrophage,CL:0000235,myeloid dendritic cell
166,Lung,1,0.5,"CCL5,NKG7,CCL4,CD7,CST7",Innate lymphoid cell NK,natural killer cell,CL:0000623,cd8+ t cell
167,Lung,1,0.5,"MUC1,NAPSA,CYB5A,SFTA3,PEBP4",AT2,type II pneumocyte,CL:0002063,alveolar type II cell
168,Lung,1,0.5,"CLEC14A,GNG11,ACKR1,MGP,PECAM1",EC venous,vein endothelial cell,CL:0002543,endothelial cell
169,Lung,1,0.5,"TRBC2,CD69,CD2,CD3D,TRAC",T cell lineage,T cell,CL:0000084,cd3+ t cell
170,Lung,1,0.5,"A2M,CLDN5,IFI27,CRIP2,SOX17",EC arterial,endothelial cell of artery,CL:1000413,capillary endothelial cell
171,Lung,1,0.5,"SPARC,LUM,IGFBP7,C1S,BGN",Fibroblasts,fibroblast,CL:0000057,fibroblast
172,Lung,1,0.5,"KRT7,CAV1,HOPX,EMP2,SFTA2",AT1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell
173,Lung,1,0.5,"RP11-356K23.1,GSTA1,C12orf75,RP11-295M3.4,SNTN",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,goblet cell
174,Lung,1,0.5,"CD37,IGLC2,ISG20,IGHA1,CORO1A",B cell lineage,B cell,CL:0000236,B cell
175,Lung,1,0.5,"CP,MUC1,BPIFB1,KRT19,WFDC2",Secretory,secretory cell,CL:0000151,goblet cell
176,Lung,1,0.5,"S100A12,COTL1,FCER1G,S100A9,CD14",Monocytes,monocyte,CL:0000576,nonclassical monocyte
177,Lung,1,0.5,"AZGP1,LTF,ZG16B,MARCKSL1,TCN1",Submucosal Secretory,,,goblet cell
178,Lung,1,0.5,"CLEC14A,TM4SF1,EGFL7,HYAL2,SPARCL1",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
179,Lung,1,0.5,"CLDN5,PPFIBP1,GNG11,ECSCR,SDPR",Lymphatic EC mature,,,endothelial cell
180,Lung,1,0.5,"TCF4,TFF3,IGFBP7,TIMP3,GNG11",Lymphatic EC differentiating,,,basal cell
181,Lung,1,0.5,"HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DPB1,GPR183",Dendritic cells,dendritic cell,CL:0000451,dendritic cell
182,Lung,1,0.5,"PRELP,SPARCL1,GPX3,CALD1,CTGF",Myofibroblasts,myofibroblast cell,CL:0000186,fibroblast
183,Lung,1,0.5,"VWA5A,KIT,C1orf186,TPSB2,HPGDS",Mast cells,mast cell,CL:0000097,mast cell
184,Lung,1,0.5,"PPP1R14A,FLNA,IGFBP7,NEXN,SELM",Fibromyocytes,,,Fibroblast
185,Lung,1,0.5,"S100A16,MARCKS,LSM2,ECSCR,TUBB",Lymphatic EC proliferating,,,endothelial cell
186,Lung,1,0.5,"SEMA3A,PPFIBP1,LDB2,MMRN1,CD36",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,macrophage
187,Lung,1,0.5,"KHDRBS2,LMO7,EMP2,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,epithelial cell
188,Lung,1,0.5,"LRRK2,MACROD2,SFTPB,ABCA3,ANK3",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,alveolar cell type II
189,Lung,1,0.5,"KRT17,CACHD1,XPR1,TP63,GLIS3",Epithelial cell (basal),basal cell,CL:0000646,basal epithelial cell
190,Lung,1,0.5,"LRRIQ1,TMEM232,AGBL4,HYDIN,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,goblet cell
191,Lung,1,0.5,"CDK14,NEDD4L,MECOM,SCGB3A2,ERBB4",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
192,Lung,1,0.5,"PLCG2,ARHGAP15,MEF2C,FBXW7,DENND5B",Immune (B cell),B cell,CL:0000236,unidentified_cell_type
193,Lung,1,0.5,"AOAH,ARHGAP15,PARP8,PIP4K2A,CD247",Immune (NK cell),natural killer cell,CL:0000623,T lymphocytes
194,Lung,1,0.5,"PARP8,FYN,THEMIS,SYTL3,PTPRC",Immune (T cell),T cell,CL:0000084,cd4+ mem/eff cell
195,Lung,1,0.5,"GPCPD1,DOCK8,MSR1,PLXDC2,TFRC",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,nonclassical monocyte
196,Lung,1,0.5,"SRGN,SLC24A3,TPSAB1,FER,SYTL3",Immune (mast cell),mast cell,CL:0000097,mast cell
197,Lung,1,0.5,"TPM1,ACTA2,PRKG1,MYH11,INPP4B",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",smooth muscle cell
198,Lung,1,0.5,"PECAM1,EGFL7,TCF4,PTPRM,ST6GALNAC3",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
199,Lung,1,0.5,"RORA,LAMA2,RBMS3,PLXDC2,ARHGAP6",Fibroblast,fibroblast,CL:0000057,fibroblast
200,Lung,1,0.5,"SRGN,PLXDC2,TBXAS1,PIK3R5,CD74",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",myeloid dendritic cell
201,Lung,1,0.5,"FOXO1,ACSL1,G0S2,PLIN1,PLIN2",Adipocyte,fat cell,CL:0000136,cannot be determined from the given markers
202,Lung,1,0.5,"EMP2,PDPN",Alveolar Type I,type I pneumocyte,CL:0002062,alveolar epithelial cell
203,Lung,1,0.5,"SFTPB,SFTPC",Alveolar Type II,type II pneumocyte,CL:0002063,alveolar type II cell
204,Lung,1,0.5,"CR2,CD1c",B cell_memory,memory B cell,CL:0000787,myeloid dendritic cell
205,Lung,1,0.5,"DNAI2,FOXJ1,CDHR3,DNAI1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated airway epithelial cell
206,Lung,1,0.5,"SCGB3A1,SCGB1A1,SCGB3A2",Club Epithelial,club cell,CL:0000158,club cell
207,Lung,1,0.5,"FBLN1,COL4A1,COL1A1,COL3A1,COL6A1,FBN1,COL5A2,NEGR1,COL6A2,SLIT2,COL6A6,COL18A1",Fibroblast,fibroblast,CL:0000057,fibroblast
208,Lung,1,0.5,"MMRN1,FLT4,PROX1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
209,Lung,1,0.5,"MERTK,CD74,MR1,MS4A6A,C1QA,MS4A4A,MS4A6A,CD163,CSF1R,MSR1",Macrophage,macrophage,CL:0000235,macrophage
210,Lung,1,0.5,"FCER1A,CD69,TPSAB1",Mast Cell,mast cell,CL:0000097,mast cell
211,Lung,1,0.5,"DES,CSPG4,ANPEP,MYO1B",Pericyte,pericyte,CL:0000669,pericyte
212,Lung,1,0.5,"ACTG2,SMTN,GUCY1A3,MYH11,GUCY1B3,ACTN1,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
213,Lung,1,0.5,"CD247,TRAC,CD3E,IL7R,SKAP1,CD3G",T cell,T cell,CL:0000084,T cell
214,Lung,1,0.5,"RAMP3,LDB2,PTPRB,BACE2,PECAM1",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell
215,Lung,1,0.5,"MUC1,SFTPB,SFTPA1,PGC,SLC34A2",type ii pneumocyte,type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
216,Lung,1,0.5,"FCGR3B,MMP25,S100A12,CD177,MTND5P32",neutrophil,neutrophil,CL:0000775,nonclassical monocyte
217,Lung,1,0.5,"CXCR4,CD3E,TRAC,IL7R,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,cd8+ mem/eff t cell
218,Lung,1,0.5,"CD3D,GNLY,KLRD1,GZMA,CD3E","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,T-cell
