,Unnamed: 0,tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new,RAG_clid,RAG_clname,manual_clid,manual_clname
83,83,Lung,1,0.25,"LYZ,C1QA,GENE32,PTPRC,LYVE1,CD68,MSR1,SLC11A1,MERTK,GENE95,CPM,CD163,MS4A6A,GENE50,RBPJ,MS4A4A,CD74,GENE71,CD36,GENE85,MR1,CSF1R,MRC1",Macrophage,macrophage,CL:0000235,macrophage,0,1.0000,CL:0000235,macrophage,CL:0000235,macrophage
84,84,Lung,1,0.25,"KIT,HDC,TPSB2,CD69,FCER1A,GENE46,TPSAB1",Mast Cell,mast cell,CL:0000097,mast cell,0,1.0000,CL:0000097,mast cell,CL:0000097,mast cell
85,85,Lung,1,0.25,"MYO1B,GENE62,CSPG4,MCAM,ACTA2,ANPEP,DES,PDGFRB,GENE55",Pericyte,pericyte,CL:0000669,pericyte,0,1.0000,CL:0000669,pericyte,CL:0000669,pericyte
86,86,Lung,1,0.25,"CNN1,MYOCD,GENE63,ACTN1,GENE10,GENE83,GUCY1B3,SMTN,ACTA2,ACTG2,PALLD,VCL,MYL9,GUCY1A3,MYH11,DES,TAGLN",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell,0,1.0000,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell
87,87,Lung,1,0.25,"TRBC1,CD3D,GENE58,CD3G,GENE93,CD69,PTPRC,CD247,NKG7,CD96,IL7R,TRAC,CD3E,GENE43,THEMIS,SKAP1",T cell,T cell,CL:0000084,T cell,0,1.0000,CL:0000084,t cell,CL:0000084,t cell
88,88,Lung,1,0.25,"PTPRB,GENE1,GENE30,CLDN5,NOSTRIN,LDB2,RAMP3,VWF,EPHB4,PECAM1,BACE2,CD300LG",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell,1,0.7500,CL:0002139,endothelial cell of vascular tree,CL:0000115,endothelial cell
89,89,Lung,1,0.25,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,alveolar epithelial type II cell,0,1.0000,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell
90,90,Lung,1,0.25,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,nonclassical monocyte,-1,0.5714,CL:0000775,neutrophil,CL:0000576,monocyte
91,91,Lung,1,0.25,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T cell,3,0.6667,CL:0000624,"cd4-positive, alpha-beta t cell",CL:0000084,t cell
92,92,Lung,1,0.25,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,T cell,3,0.6667,CL:0000625,"cd8-positive, alpha-beta t cell",CL:0000084,t cell
93,93,Lung,1,0.25,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell
94,94,Lung,1,0.25,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,Fibroblasts,6,0.2857,CL:0000071,blood vessel endothelial cell,CL:0000057,fibroblast
95,95,Lung,1,0.25,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell,0,1.0000,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell
96,96,Lung,1,0.25,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,fibroblast,-1,0.6000,CL:0002503,adventitial cell,CL:0000057,fibroblast
97,97,Lung,1,0.25,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,macrophage,0,1.0000,CL:0000235,macrophage,CL:0000235,macrophage
98,98,Lung,1,0.25,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,mast cell,-1,0.5714,CL:0000767,basophil,CL:0000097,mast cell
99,99,Lung,1,0.25,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,monocyte,1,0.8000,CL:0000860,classical monocyte,CL:0000576,monocyte
100,100,Lung,1,0.25,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,lung endothelium cell,-1,0.6250,CL:1000413,endothelial cell of artery,CL:2000016,lung microvascular endothelial cell
101,101,Lung,1,0.25,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated epithelial cell,1,0.8000,CL:1000271,lung ciliated cell,CL:0000067,ciliated epithelial cell
102,102,Lung,1,0.25,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,dendritic cell,0,1.0000,CL:0000451,dendritic cell,CL:0000451,dendritic cell
103,103,Lung,1,0.25,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,club cell,-1,0.5556,CL:0002370,respiratory goblet cell,CL:0000158,club cell
104,104,Lung,1,0.25,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,basal epithelial cell,-1,0.2500,CL:0000646,basal cell,CL:0002236,basal epithelial cell of prostatic duct
105,105,Lung,1,0.25,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,plasma cell,0,1.0000,CL:0000786,plasma cell,CL:0000786,plasma cell
106,106,Lung,1,0.25,"CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cell,0,1.0000,CL:0000236,b cell,CL:0000236,b cell
107,107,Lung,1,0.25,"PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,goblet cell,-1,0.3333,CL:1000331,serous cell of epithelium of bronchus,CL:0000160,goblet cell
108,108,Lung,1,0.25,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage,3,0.5714,CL:0000875,non-classical monocyte,CL:0000235,macrophage
109,109,Lung,1,0.25,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,2,0.6000,CL:0002144,capillary endothelial cell,CL:0000115,endothelial cell
110,110,Lung,1,0.25,"EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,endothelial cell,4,0.4286,CL:4028003,alveolar capillary type 2 endothelial cell,CL:0000115,endothelial cell
111,111,Lung,1,0.25,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,mixture of various cell types,-1,0.2000,CL:0002062,pulmonary alveolar type 1 cell,CL:0002262,endothelial cell of sinusoid
112,112,Lung,1,0.25,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,3,0.5000,CL:0002543,vein endothelial cell,CL:0000115,endothelial cell
113,113,Lung,1,0.25,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS",alveolar fibroblast,,,fibroblast,2,0.6667,CL:4028006,alveolar adventitial fibroblast,CL:0000057,fibroblast
114,114,Lung,1,0.25,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell,0,1.0000,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel
115,115,Lung,1,0.25,"MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell,2,0.6667,CL:0002598,bronchial smooth muscle cell,CL:0000192,smooth muscle cell
116,116,Lung,1,0.25,"AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,lipofibroblast,-1,0.2222,CL:0000784,plasmacytoid dendritic cell,CL:4028004,alveolar type 1 fibroblast cell
117,117,Lung,1,0.25,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB",club cell,club cell,CL:0000158,"club cell, pulmonary alveolar type 2 cell",-1,0.5455,CL:0000158,club cell,CL:0002063,pulmonary alveolar type 2 cell
118,118,Lung,1,0.25,"ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,3,0.5000,CL:2000016,lung microvascular endothelial cell,CL:0000115,endothelial cell
119,119,Lung,1,0.25,"PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,pericyte,-1,0.4000,CL:0000359,vascular associated smooth muscle cell,CL:0000669,pericyte
120,120,Lung,1,0.25,"AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,Ciliated Cells and Club Cells,-1,0.3333,CL:0000186,myofibroblast cell,CL:0000158,club cell
121,121,Lung,1,0.25,"COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2",pericyte cell,pericyte,CL:0000669,alveolar myofibroblast cell,-1,0.5000,CL:0000669,pericyte,CL:0000186,myofibroblast cell
122,122,Lung,1,0.25,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1",mesothelial cell,mesothelial cell,CL:0000077,goblet cell,-1,0.5000,CL:0000077,mesothelial cell,CL:0000160,goblet cell
123,123,Lung,1,0.25,"AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,Fibroblasts,0,1.0000,CL:0000057,fibroblast,CL:0000057,fibroblast
124,124,Lung,1,0.25,"FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,nonclassical monocyte,1,0.8000,CL:0002393,intermediate monocyte,CL:0000576,monocyte
125,125,Lung,1,0.25,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,goblet cell,-1,0.5000,CL:0017000,pulmonary ionocyte,CL:0000160,goblet cell
126,126,Lung,1,0.5,"ARHGEF26,GENE58,LMO7,AGER,EMP2,RTKN2,GPRC5A,SPOCK2,GENE80,GENE71,DST,SCEL,GENE38,LAMA3,GENE73",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,alveolar epithelial cell type I,0,1.0000,CL:0002062,pulmonary alveolar type 1 cell,CL:0002062,pulmonary alveolar type 1 cell
127,127,Lung,1,0.5,"GENE13,GENE52,MS4A1,LINC00926,BLK,GENE25,SP140,GENE95,CD79A,GENE28,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,mast cell,-1,0.3750,CL:0000819,B-1 B cell,CL:0000097,mast cell
128,128,Lung,1,0.5,"CLDN1,GENE47,GENE9,S100A2,GENE27,GENE70,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE2,ITGA2,KRT19",Basal,basal cell,CL:0000646,basal epithelial cell,-1,0.4286,CL:0002324,basal-myoepithelial cell of mammary gland,CL:0002236,basal epithelial cell of prostatic duct
129,129,Lung,1,0.5,"GENE50,CSF3R,GENE30,S100A9,S100A8,CTSS,METTL9,GENE66,GENE67,CD99,GENE84,VCAN,S100A12,FCN1,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil,-1,0.5000,CL:0001054,CD14-positive monocyte,CL:0000775,neutrophil
130,130,Lung,1,0.5,"CD2,MALAT1,GENE47,GENE82,GENE58,BCL11B,CD6,GENE86,GENE91,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,pulmonary alveolar type 2 cell,-1,0.1667,CL:0000492,CD4-positive helper T cell,CL:0002063,pulmonary alveolar type 2 cell
131,131,Lung,1,0.5,"GENE47,C20orf85,DNAH6,FAM92B,GENE95,GENE17,RSPH1,CCDC170,CAPS,ZMYND10,GENE77,CDHR3,GENE43,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,goblet cell,-1,-1,PATO:0001408,ciliated,CL:0000160,goblet cell
132,132,Lung,1,0.5,"FCGR2B,HLA-DMB,GENE52,GENE62,GENE79,GENE67,HLA-DQA1,CLEC10A,CSF2RA,GENE24,GPR183,FPR3,HLA-DPB1,RGS1,MS4A6A",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte,-1,-1,PATO:0002045,dendritic,CL:0000576,monocyte
133,133,Lung,1,0.5,"C1S,LUM,ABLIM1,CFD,GENE57,C3,C1R,GENE90,FBLN1,DCN,GENE74,GENE81,SLIT2,GENE4,ADH1B",Fibroblast,fibroblast,CL:0000057,fibroblast,0,1.0000,CL:0000057,fibroblast,CL:0000057,fibroblast
134,134,Lung,1,0.5,"TFF3,GENE63,TFPI,GENE61,GENE35,GENE98,CCL21,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,TIMP3,TBX1,GENE73",Lymphatic,,,endothelial cell,8,0.3333,CL:0002554,fibroblast of lymphatic vessel,CL:0000115,endothelial cell
