,tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation
1019,Lung,3,0.25,"PRDX4,MANF,SSR4,XBP1,POU2AF1,TNFRSF17,GENE61,GENE86,HSP90B1,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,b cell
1020,Lung,3,0.25,"SFTPA2,SLC34A2,SFTPC,LAMP3,ABCA3,GENE42,SFTPA1,SFTPD,GENE85,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar type II cell
1021,Lung,3,0.25,"KIT,GENE58,VWA5A,CPA3,HPGDS,GRAP2,HDC,GENE69,CD44,MS4A2,TPSAB1,GATA2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
1022,Lung,3,0.25,"LILRB2,GENE27,COTL1,RPS19,LST1,AIF1,FCGR3A,SAT1,RHOC,FCN1,GENE53,IFITM2",CD16+ Monocyte,,,nonclassical monocyte
1023,Lung,3,0.25,"CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,GENE71,CD81,FCN3,EPAS1,FLNB,GENE55",Capillary,,,endothelial cell
1024,Lung,3,0.25,"CD3D,GZMH,CD3G,CD8B,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27,GENE2,GENE64",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,T cell
1025,Lung,3,0.25,"SCGB3A2,GENE61,DSTN,CYB5A,CEACAM6,PIGR,GENE85,CTSE,SFTPB,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,secretory epithelial cell
1026,Lung,3,0.25,"CALD1,GENE52,ASPN,COL6A3,POSTN,LTBP1,BGN,GENE72,COL3A1,COL1A1,COL1A2,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
1027,Lung,3,0.25,"GENE13,PTPRE,GZMB,IRF7,TYROBP,GENE37,PLD4,NPC2,PPP1R14B,IL3RA,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,natural killer t cell
1028,Lung,3,0.25,"TPX2,BIRC5,GENE26,NUSAP1,STMN1,UBE2C,TYMS,ANLN,KPNA2,CDK1,H2AFZ,GENE20",Proliferating Macrophage,,,Proliferating cells
1029,Lung,3,0.25,"BIRC5,GENE94,NUSAP1,KIF2C,SMC4,UBE2C,H2AFV,AURKB,CENPF,GENE4,HMGB2,TOP2A",Proliferating NK/T,,,cell_type_name
1030,Lung,3,0.25,"GENE22,GENE30,POSTN,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,endothelial cell
1031,Lung,3,0.25,"GENE98,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,GENE81,SLPI,LCN2,WFDC2,MUC5B",Mucous,,,goblet cell
1032,Lung,3,0.25,"PTPRB,GENE79,PRSS23,TGM2,VWF,LIFR,SELP,PLA1A,GENE77,CPE,SRPX,SLCO2A1",Vein,,,megakaryocyte
1033,Lung,3,0.25,"CHN1,CALD1,COL4A2,GENE40,NID1,COL4A1,LAMB1,GENE81,COX4I2,TACC1,PDGFRB,LAMC3",Pericyte,pericyte,CL:0000669,fibroblast
1034,Lung,3,0.25,"CALD1,TPM2,PLN,DSTN,GENE11,CSRP1,GENE49,ACTA2,CNN1,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
1035,Lung,3,0.25,"PTPRB,DKK2,HEY1,GJA5,FBLN5,SEMA3G,GENE17,EFNB2,BMX,GENE49,EPAS1,ARGLU1",Artery,,,endothelial cell
1036,Lung,3,0.25,"GENE52,HPGD,CYP3A5,CLDN5,APP,STXBP6,GENE48,TBX2,EMCN,SOSTDC1,ESAM,EDNRB",Capillary Aerocyte,,,endothelial cell of artery
1037,Lung,3,0.25,"GENE82,IPO7,SH3BP5,GENE40,RALA,GALNT18,SRSF11,PECAM1,ACVRL1,EPAS1,VAT1,WWTR1",Capillary Intermediate,,,endothelial cell
1038,Lung,3,0.25,"C7,FGF7,C3,WT1,MEDAG,STEAP1,OSR1,CCDC71L,CPXM1,GENE46,GENE48,HAS1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,pulmonary alveolar type 2 cell
1039,Lung,3,0.25,"ALDH1A3,PRG4,GALNT9,C3,DSC3,ITLN1,MGARP,WT1,DMKN,GENE68,GENE49,SLPI",Mesothelial,mesothelial cell,CL:0000077,goblet cell
1040,Lung,3,0.25,"CMTM5,TUBB1,GRAP2,ITGA2B,GENE53,GENE56,CABP5,PF4,ACRBP,GP6,TMEM40,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",platelet
1041,Lung,3,0.25,"CD2,GENE1,GNLY,CTSW,S100A6,CCL5,CEBPB,CXCR4,CD7,LGALS1,GENE23,ZFP36L2",Natural Killer T,,,T cell
1042,Lung,3,0.25,"CLU,CST5,GENE18,MET,GENE5,FAM150A,HSPB3,RAMP1,CSRP1,IGF1,SCX,CNN1",Fibromyocyte,,,fibroblast
1043,Lung,3,0.25,"CXCL17,S100P,PSCA,COX5A,TXN,GENE20,AGR2,GENE91,FAM3D,GABRP,CLIC1,WFDC2",Goblet,goblet cell,CL:0000160,pulmonary epithelial cell
1044,Lung,3,0.25,"TFF3,TMPRSS11E,GENE52,PHGR1,BSND,FOXI1,HEPACAM2,ATP6V1B1,STAC2,MFSD6L,ASCL3,GENE83",Ionocyte,ionocyte,CL:0005006,goblet cell
1045,Lung,3,0.25,"GENE58,PCSK1N,EGR1,FAM46A,PRDX2,CHGA,SEC11C,SCGN,CPE,BEX1,NENF,GENE2",Neuroendocrine,neuroendocrine cell,CL:0000165,pulmonary neuroendocrine cell
1046,Lung,3,0.25,"TCN1,GENE47,LPO,PHB,LYZ,TESC,ZG16B,PRR4,GENE43,PRB3,PRH2,PRB4",Serous,serous secreting cell,CL:0000313,serous cell
1047,Lung,3,0.25,"C1QB,LYZ,FCER1G,C1QA,LAPTM5,GENE87,AIF1,GENE29,C1QC,HLA-DRB1,CTSZ,CTSL",Macrophages,macrophage,CL:0000235,macrophage
1048,Lung,3,0.25,"GNLY,GZMB,CTSW,GENE90,CST7,CD7,CCL5,NKG7,GZMA,CCL4,GENE99,PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,natural killer cell
1049,Lung,3,0.25,"GENE1,S100A14,SLC34A2,CYB5A,SLC39A8,SFTA2,GENE37,SFTPD,NAPSA,MUC1,SFTA3,PEBP4",AT2,type II pneumocyte,CL:0002063,serous secreting cell
1050,Lung,3,0.25,"CLEC14A,ACKR1,MGP,RAMP3,RAMP2,GENE69,IGFBP7,VWF,GNG11,GENE46,PECAM1,SPARCL1",EC venous,vein endothelial cell,CL:0002543,endothelial cell
1051,Lung,3,0.25,"CD2,GENE26,CD3D,IL32,CD69,CCL5,TRAC,CXCR4,CD3E,TRBC2,GENE64,CORO1A",T cell lineage,T cell,CL:0000084,T cell
1052,Lung,3,0.25,"GENE62,CLEC14A,TM4SF1,CLDN5,IFI27,SOX17,A2M,CRIP2,PECAM1,GENE43,SPARCL1,GIMAP7",EC arterial,endothelial cell of artery,CL:1000413,cell_type_name
1053,Lung,3,0.25,"CALD1,LUM,C1S,GENE72,BGN,MGP,IGFBP7,COL6A1,DCN,COL1A2,SPARC,GENE73",Fibroblasts,fibroblast,CL:0000057,fibroblast
1054,Lung,3,0.25,"GENE58,GENE15,AGER,EMP2,FXYD3,SFTA2,CEACAM6,ADIRF,CAV1,KRT7,HOPX,TSPAN13",AT1,type I pneumocyte,CL:0002062,pulmonary alveolar type 2 cell
1055,Lung,3,0.25,"RP11-356K23.1,GENE52,C12orf75,GSTA1,CD24,FAM229B,GENE37,TMEM231,RP11-295M3.4,C11orf97,C5orf49,SNTN",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,neutrophil
1056,Lung,3,0.25,"GENE1,LTB,MS4A1,GENE78,IGHA1,IGLC2,CD79A,TSC22D3,IGKC,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,mast cell
1057,Lung,3,0.25,"CXCL17,GENE22,KRT7,BPIFB1,CEACAM6,TACSTD2,GENE4,PIGR,MUC1,WFDC2,CP,KRT19",Secretory,secretory cell,CL:0000151,goblet cell
1058,Lung,3,0.25,"CD14,S100A9,S100A8,FCER1G,COTL1,LST1,AIF1,VCAN,S100A12,GENE14,FCN1,GENE23",Monocytes,monocyte,CL:0000576,classical monocyte
1059,Lung,3,0.25,"TCN1,SELM,MARCKSL1,LTF,ZG16B,GENE71,PIP,PIGR,CCL28,GENE23,SEC11C,AZGP1",Submucosal Secretory,,,goblet cell
1060,Lung,3,0.25,"CLEC14A,TM4SF1,CLDN5,AQP1,CDH5,GENE37,IFI27,GENE56,PECAM1,SPARCL1,EGFL7,HYAL2",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
1061,Lung,3,0.25,"SDPR,TM4SF1,CLDN5,GENE3,CCL21,RAMP2,ECSCR,GENE36,IGFBP7,MMRN1,GNG11,PPFIBP1",Lymphatic EC mature,,,endothelial cell
1062,Lung,3,0.25,"TFF3,SDPR,AKAP12,GENE1,CLDN5,TCF4,GENE35,CCL21,IGFBP7,GNG11,TIMP3,TFPI",Lymphatic EC differentiating,,,pulmonary microvascular endothelial cell
1063,Lung,3,0.25,"HLA-DQB1,GENE30,HLA-DQA1,HLA-DPA1,ITGB2,GPR183,HLA-DPB1,HLA-DRB1,GENE75,HLA-DMA,CORO1A,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,immune cell
1064,Lung,3,0.25,"CALD1,TPM2,CYR61,GENE41,GENE25,MT1X,CTGF,GPX3,IGFBP5,SPARCL1,PRELP,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast
1065,Lung,3,0.25,"KIT,GENE7,VWA5A,C1orf186,CPA3,HPGDS,GENE12,MS4A2,TPSB2,TPSAB1,RGS13,GATA2",Mast cells,mast cell,CL:0000097,mast cell
1066,Lung,3,0.25,"GENE22,TPM2,PLN,LMOD1,GENE69,IGFBP7,FLNA,ACTG2,SELM,PPP1R14A,DES,NEXN",Fibromyocytes,,,smooth muscle cell
1067,Lung,3,0.25,"S100A16,EID1,ECSCR,GENE90,MARCKS,TUBB,ARPC1A,HMGN1,GENE43,LSM2,COX20,HMGN2",Lymphatic EC proliferating,,,endothelial cell
1068,Lung,3,0.25,"GENE1,FBXL7,GENE19,LDB2,TSHZ2,MMRN1,PKHD1L1,SEMA3A,KALRN,ST6GALNAC3,PPFIBP1,CD36",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of artery
1069,Lung,3,0.25,"GENE63,LMO7,RAB11FIP1,EMP2,GENE14,NCKAP5,RBMS3,NTM,KHDRBS2,LIMCH1,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Clara_cell
1070,Lung,3,0.25,"MACROD2,AUTS2,ZNF385B,SFTPC,ABCA3,ANK3,SFTPB,GENE38,GENE20,PDE4D,LRRK2,ERBB4",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,alveolar epithelial cell
1071,Lung,3,0.25,"MACROD2,GLIS3,SSBP2,GENE25,EYA2,GENE88,XPR1,RBMS3,KRT17,TP63,FAF1,CACHD1",Epithelial cell (basal),basal cell,CL:0000646,Basal Cell
1072,Lung,3,0.25,"TMEM232,DNAH12,CFAP54,DNAH7,STK33,HYDIN,GENE25,GENE95,CDHR3,LRRIQ1,AGBL4,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,ciliated epithelial cell
1073,Lung,3,0.25,"NEDD4L,MACROD2,SCGB3A2,CDK14,MECOM,BMPR1B,KIAA1217,SFTPB,GENE81,GENE97,ERBB4,KIAA1324",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
1074,Lung,3,0.25,"PDK1,GENE99,FBXW7,ARHGAP15,PLCG2,ST6GAL1,CREB3L2,GENE77,FCHSD2,RALGPS2,DENND5B,MEF2C",Immune (B cell),B cell,CL:0000236,mixture
1075,Lung,3,0.25,"GENE82,GENE47,PIP4K2A,B2M,FYN,SKAP1,ARHGAP15,PRKCH,KLRD1,PARP8,AOAH,CD247",Immune (NK cell),natural killer cell,CL:0000623,natural killer T cell
1076,Lung,3,0.25,"GENE54,FYN,FKBP5,GENE40,BCL2,PTPRC,SYTL3,ARHGAP15,PARP8,THEMIS,ITK,SKAP1",Immune (T cell),T cell,CL:0000084,cd8+ mem/eff t cell
1077,Lung,3,0.25,"ZEB2,DOCK8,GENE9,FMNL2,GPCPD1,SLC11A1,PPARG,GENE33,RNF149,TFRC,PLXDC2,MSR1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,lipofibroblast
1078,Lung,3,0.25,"KIT,SAMSN1,IL18R1,FER,GENE87,TPSB2,SLC24A3,SRGN,SYTL3,ARHGAP15,TPSAB1,GENE31",Immune (mast cell),mast cell,CL:0000097,mast cell
1079,Lung,3,0.25,"GENE9,CALD1,INPP4B,CACNA1C,TPM1,GENE71,PRKG1,ACTA2,DMD,EBF1,LPP,MYH11",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",smooth muscle cell
1080,Lung,3,0.25,"PTPRB,PTPRM,TCF4,LDB2,GENE60,ST6GALNAC3,TIMP3,PECAM1,CALCRL,EPAS1,EGFL7,GENE23",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,pulmonary endothelial cell
1081,Lung,3,0.25,"LAMA2,PLEKHH2,ROBO2,LSAMP,RBMS3,PRKG1,ARHGAP6,RORA,GENE23,SLIT2,PLXDC2,GENE55",Fibroblast,fibroblast,CL:0000057,unidentified
1082,Lung,3,0.25,"TBXAS1,ZEB2,FKBP5,GENE68,CD74,PIK3R5,CHST11,SRGN,PLXDC2,GENE20,SLC8A1,CTSB",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",mast cell
1083,Lung,3,0.25,"PLIN2,GHR,ADIPOQ,LPIN1,PPARG,GENE98,GENE70,PLIN1,FOXO1,EBF1,G0S2,ACSL1",Adipocyte,fat cell,CL:0000136,adipocyte
1084,Lung,3,0.25,"GENE8,AGER,EMP2,CAV1,PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,alveolar epithelial cell
1085,Lung,3,0.25,"NKX2-1,SLC34A2,LAMP3,SFTPC,SFTPB,GENE97",Alveolar Type II,type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
1086,Lung,3,0.25,"CD24,CXCR3,CD1c,FAS,GENE53,CR2",B cell_memory,memory B cell,CL:0000787,cell_type_name
1087,Lung,3,0.25,"GENE35,TUBA1A,HYDIN,FAM92B,FOXJ1,DNAH5,DNAI1,DNAI2,CDHR3,GENE99",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
1088,Lung,3,0.25,"SCGB3A2,SCGB1A1,BPIFA1,SCGB3A1,GENE6,SLPI,MUC5B,CYP2F2",Club Epithelial,club cell,CL:0000158,club cell
1089,Lung,3,0.25,"GENE8,GENE86,NEGR1,COL4A1,GENE82,COL5A1,COL1A1,IGFBP5,FBN1,VIM,COL5A2,IL33,GENE6,HGF,COL18A1,COL6A3,FBLN1,GENE29,DCN,SLIT2,FN1,DDR2,CCN2,IGFBP3,COL6A6,IL6,COL3A1,COL6A1,COL1A2,COL6A2,GENE99",Fibroblast,fibroblast,CL:0000057,fibroblast
1090,Lung,3,0.25,"RELN,FLT4,GENE3,CCL21,MMRN1,PROX1,LYVE1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
1091,Lung,3,0.25,"LYZ,GENE61,C1QA,PTPRC,LYVE1,CD68,MSR1,SLC11A1,MERTK,CPM,GENE6,CD163,MS4A6A,RBPJ,MS4A4A,CD74,CD36,GENE4,GENE59,MR1,CSF1R,GENE92,MRC1",Macrophage,macrophage,CL:0000235,macrophage
1092,Lung,3,0.25,"KIT,HDC,TPSB2,CD69,FCER1A,GENE81,TPSAB1",Mast Cell,mast cell,CL:0000097,mast cell
1093,Lung,3,0.25,"MYO1B,CSPG4,GENE10,MCAM,GENE84,ACTA2,ANPEP,DES,PDGFRB",Pericyte,pericyte,CL:0000669,pericyte/smooth muscle cell
1094,Lung,3,0.25,"CNN1,GENE82,MYOCD,GENE73,ACTN1,GENE35,GUCY1B3,SMTN,ACTA2,ACTG2,PALLD,VCL,MYL9,GUCY1A3,MYH11,DES,TAGLN",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
1095,Lung,3,0.25,"TRBC1,CD3D,CD3G,GENE56,GENE17,CD69,PTPRC,CD247,NKG7,CD96,IL7R,TRAC,CD3E,GENE4,THEMIS,SKAP1",T cell,T cell,CL:0000084,T cell
1096,Lung,3,0.25,"PTPRB,GENE39,CLDN5,NOSTRIN,LDB2,RAMP3,VWF,GENE29,EPHB4,PECAM1,BACE2,CD300LG",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell
1097,Lung,3,0.25,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,alveolar type II cell
1098,Lung,3,0.25,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,nonclassical monocyte
1099,Lung,3,0.25,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T cell
1100,Lung,3,0.25,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,cytotoxic T cell
1101,Lung,3,0.25,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,natural killer cell
1102,Lung,3,0.25,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,fibroblast
1103,Lung,3,0.25,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell
1104,Lung,3,0.25,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,fibroblast
1105,Lung,3,0.25,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,macrophage
1106,Lung,3,0.25,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,mast cell
1107,Lung,3,0.25,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,monocyte
1108,Lung,3,0.25,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial cell
1109,Lung,3,0.25,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,multiciliated epithelial cell
1110,Lung,3,0.25,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,monocyte-derived dendritic cell
1111,Lung,3,0.25,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,club cell
1112,Lung,3,0.25,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,basal cell
1113,Lung,3,0.25,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,B cell
1114,Lung,3,0.25,"CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cell
1115,Lung,3,0.25,"PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,goblet cell
1116,Lung,3,0.25,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage
1117,Lung,3,0.25,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell
1118,Lung,3,0.25,"EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,endothelial cell
1119,Lung,3,0.25,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,Clara Cell and Goblet Cell Mixture
1120,Lung,3,0.25,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
1121,Lung,3,0.25,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS",alveolar fibroblast,,,fibroblast
1122,Lung,3,0.25,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
1123,Lung,3,0.25,"MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell
1124,Lung,3,0.25,"AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,nonclassical monocyte
1125,Lung,3,0.25,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB",club cell,club cell,CL:0000158,"club cell, pulmonary alveolar type 2 cell"
1126,Lung,3,0.25,"ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell
