,tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation
1512,Lung,4,0.25,"ARHGEF26,LMO7,AGER,EMP2,GENE37,RTKN2,GPRC5A,SPOCK2,DST,SCEL,GENE20,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell
1513,Lung,4,0.25,"GENE65,MS4A1,LINC00926,BLK,SP140,GENE95,CD79A,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B cell
1514,Lung,4,0.25,"CLDN1,S100A2,GENE51,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE77,ITGA2,KRT19",Basal,basal cell,CL:0000646,basal epithelial cell
1515,Lung,4,0.25,"GENE82,CSF3R,S100A9,S100A8,CTSS,METTL9,CD99,VCAN,S100A12,GENE43,FCN1,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
1516,Lung,4,0.25,"CD2,MALAT1,BCL11B,CD6,GENE29,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE14",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell
1517,Lung,4,0.25,"C20orf85,DNAH6,FAM92B,GENE10,GENE70,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,goblet cell
1518,Lung,4,0.25,"FCGR2B,HLA-DMB,GENE58,HLA-DQA1,CLEC10A,CSF2RA,GPR183,FPR3,HLA-DPB1,RGS1,GENE53,MS4A6A",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte
1519,Lung,4,0.25,"C1S,LUM,ABLIM1,CFD,C3,C1R,GENE27,FBLN1,GENE29,DCN,SLIT2,ADH1B",Fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell
1520,Lung,4,0.25,"TFF3,GENE1,TFPI,GENE89,CCL21,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,TIMP3,TBX1",Lymphatic,,,lung endothelial cell
1521,Lung,4,0.25,"APOC1,C1QB,C1QA,VSIG4,SLCO2B1,ACP5,ITGAX,GENE77,GENE2,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,macrophage
1522,Lung,4,0.25,"KLRF1,GNLY,GZMB,FCGR3A,NKG7,GENE77,GENE42,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,natural killer cell
1523,Lung,4,0.25,"PRDX4,MANF,SSR4,GENE63,XBP1,POU2AF1,TNFRSF17,HSP90B1,MZB1,DERL3,SEC11C,GENE83",Plasma,plasma cell,CL:0000786,b cell
1524,Lung,4,0.25,"GENE47,GENE52,SFTPA2,SLC34A2,SFTPC,LAMP3,ABCA3,SFTPA1,SFTPD,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
1525,Lung,4,0.25,"GENE82,KIT,VWA5A,CPA3,HPGDS,GRAP2,GENE40,HDC,CD44,MS4A2,TPSAB1,GATA2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
1526,Lung,4,0.25,"LILRB2,GENE58,COTL1,RPS19,LST1,AIF1,FCGR3A,GENE92,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,nonclassical monocyte
1527,Lung,4,0.25,"GENE26,CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,CD81,FCN3,EPAS1,FLNB,GENE55",Capillary,,,endothelial cell
1528,Lung,4,0.25,"CD3D,GENE62,GZMH,CD3G,CD8B,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27,GENE4",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,T cell
1529,Lung,4,0.25,"SCGB3A2,GENE89,DSTN,CYB5A,CEACAM6,GENE42,PIGR,CTSE,SFTPB,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,club cell
1530,Lung,4,0.25,"CALD1,ASPN,COL6A3,POSTN,LTBP1,BGN,COL3A1,COL1A1,COL1A2,GENE29,GENE49,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
1531,Lung,4,0.25,"PTPRE,GZMB,IRF7,TYROBP,GENE67,GENE80,PLD4,NPC2,PPP1R14B,IL3RA,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,natural killer t cell
1532,Lung,4,0.25,"TPX2,BIRC5,GENE7,NUSAP1,STMN1,UBE2C,TYMS,ANLN,KPNA2,CDK1,H2AFZ,GENE53",Proliferating Macrophage,,,proliferative cells
1533,Lung,4,0.25,"BIRC5,GENE62,NUSAP1,KIF2C,SMC4,UBE2C,GENE95,H2AFV,AURKB,CENPF,HMGB2,TOP2A",Proliferating NK/T,,,proliferating cell
1534,Lung,4,0.25,"POSTN,GENE89,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,GENE2,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,fibroblast
1535,Lung,4,0.25,"GENE82,GENE50,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,SLPI,LCN2,WFDC2,MUC5B",Mucous,,,goblet cell
1536,Lung,4,0.25,"PTPRB,PRSS23,GENE86,GENE87,TGM2,VWF,LIFR,SELP,PLA1A,CPE,SRPX,SLCO2A1",Vein,,,Endothelial cell
1537,Lung,4,0.25,"CHN1,CALD1,COL4A2,GENE93,NID1,COL4A1,LAMB1,COX4I2,TACC1,PDGFRB,GENE51,LAMC3",Pericyte,pericyte,CL:0000669,Fibroblast and Endothelial cells
1538,Lung,4,0.25,"CALD1,TPM2,PLN,DSTN,GENE5,GENE60,CSRP1,ACTA2,CNN1,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
1539,Lung,4,0.25,"PTPRB,DKK2,HEY1,GENE79,GJA5,FBLN5,SEMA3G,EFNB2,BMX,GENE74,EPAS1,ARGLU1",Artery,,,endothelial cell
1540,Lung,4,0.25,"GENE73,HPGD,CYP3A5,CLDN5,GENE6,APP,STXBP6,TBX2,EMCN,SOSTDC1,ESAM,EDNRB",Capillary Aerocyte,,,endothelial cell of artery
1541,Lung,4,0.25,"GENE26,IPO7,SH3BP5,RALA,GALNT18,GENE23,SRSF11,PECAM1,ACVRL1,EPAS1,VAT1,WWTR1",Capillary Intermediate,,,endothelial cell
1542,Lung,4,0.25,"C7,GENE9,FGF7,C3,WT1,MEDAG,STEAP1,OSR1,CCDC71L,CPXM1,HAS1,GENE81",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,pulmonary alveolar type 2 cell
1543,Lung,4,0.25,"ALDH1A3,GENE9,PRG4,GALNT9,C3,DSC3,ITLN1,MGARP,WT1,DMKN,GENE33,SLPI",Mesothelial,mesothelial cell,CL:0000077,goblet cell
1544,Lung,4,0.25,"CMTM5,TUBB1,GRAP2,GENE27,ITGA2B,GENE44,CABP5,PF4,ACRBP,GP6,TMEM40,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",platelet
1545,Lung,4,0.25,"CD2,GNLY,CTSW,S100A6,GENE98,CCL5,GENE88,CEBPB,CXCR4,CD7,LGALS1,ZFP36L2",Natural Killer T,,,T cell
1546,Lung,4,0.25,"CLU,CST5,GENE63,MET,FAM150A,HSPB3,RAMP1,CSRP1,IGF1,SCX,GENE49,CNN1",Fibromyocyte,,,goblet cell
1547,Lung,4,0.25,"CXCL17,GENE55,S100P,PSCA,COX5A,TXN,AGR2,GENE77,FAM3D,GABRP,CLIC1,WFDC2",Goblet,goblet cell,CL:0000160,goblet cell
1548,Lung,4,0.25,"TFF3,GENE22,TMPRSS11E,PHGR1,BSND,GENE66,FOXI1,HEPACAM2,ATP6V1B1,STAC2,MFSD6L,ASCL3",Ionocyte,ionocyte,CL:0005006,goblet cell
1549,Lung,4,0.25,"GENE82,PCSK1N,EGR1,GENE61,FAM46A,PRDX2,CHGA,SEC11C,SCGN,CPE,BEX1,NENF",Neuroendocrine,neuroendocrine cell,CL:0000165,cell_type_name
1550,Lung,4,0.25,"TCN1,LPO,PHB,LYZ,GENE54,GENE12,TESC,ZG16B,PRR4,PRB3,PRH2,PRB4",Serous,serous secreting cell,CL:0000313,salivary gland duct cell
1551,Lung,4,0.25,"C1QB,LYZ,FCER1G,C1QA,LAPTM5,AIF1,GENE85,C1QC,HLA-DRB1,GENE75,CTSZ,CTSL",Macrophages,macrophage,CL:0000235,macrophage
1552,Lung,4,0.25,"GENE21,GNLY,GZMB,GENE52,CTSW,CST7,CD7,CCL5,NKG7,GZMA,CCL4,PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,cytotoxic T cell
1553,Lung,4,0.25,"GENE82,S100A14,SLC34A2,CYB5A,SLC39A8,SFTA2,GENE37,SFTPD,NAPSA,MUC1,SFTA3,PEBP4",AT2,type II pneumocyte,CL:0002063,goblet cell
1554,Lung,4,0.25,"GENE58,CLEC14A,ACKR1,MGP,RAMP3,RAMP2,IGFBP7,VWF,GNG11,GENE6,PECAM1,SPARCL1",EC venous,vein endothelial cell,CL:0002543,endothelial cell
1555,Lung,4,0.25,"CD2,GENE26,CD3D,IL32,CD69,CCL5,TRAC,CXCR4,CD3E,TRBC2,GENE99,CORO1A",T cell lineage,T cell,CL:0000084,T lymphocyte
1556,Lung,4,0.25,"CLEC14A,TM4SF1,CLDN5,GENE68,GENE80,IFI27,SOX17,A2M,CRIP2,PECAM1,SPARCL1,GIMAP7",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell
1557,Lung,4,0.25,"CALD1,LUM,C1S,BGN,MGP,IGFBP7,GENE5,COL6A1,DCN,COL1A2,GENE28,SPARC",Fibroblasts,fibroblast,CL:0000057,myofibroblast cell
1558,Lung,4,0.25,"GENE30,GENE54,AGER,EMP2,FXYD3,SFTA2,CEACAM6,ADIRF,CAV1,KRT7,HOPX,TSPAN13",AT1,type I pneumocyte,CL:0002062,pulmonary alveolar type 2 cell
1559,Lung,4,0.25,"RP11-356K23.1,GENE52,C12orf75,GSTA1,CD24,FAM229B,GENE25,TMEM231,RP11-295M3.4,C11orf97,C5orf49,SNTN",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,goblet cell
1560,Lung,4,0.25,"LTB,MS4A1,IGHA1,GENE18,IGLC2,CD79A,TSC22D3,IGKC,GENE64,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,B cell
1561,Lung,4,0.25,"CXCL17,GENE65,KRT7,GENE72,BPIFB1,CEACAM6,TACSTD2,PIGR,MUC1,WFDC2,CP,KRT19",Secretory,secretory cell,CL:0000151,pulmonary alveolar type 2 cell
1562,Lung,4,0.25,"CD14,S100A9,S100A8,FCER1G,COTL1,LST1,AIF1,VCAN,S100A12,GENE6,FCN1,GENE31",Monocytes,monocyte,CL:0000576,monocyte
1563,Lung,4,0.25,"TCN1,GENE73,SELM,GENE58,MARCKSL1,LTF,ZG16B,PIP,PIGR,CCL28,SEC11C,AZGP1",Submucosal Secretory,,,goblet cell
1564,Lung,4,0.25,"GENE65,CLEC14A,TM4SF1,CLDN5,AQP1,GENE66,CDH5,IFI27,PECAM1,SPARCL1,EGFL7,HYAL2",EC capillary,capillary endothelial cell,CL:0002144,The provided list of markers does not match any single cell type from the database results. No specific lung cell type identification can be made from the provided markers.
1565,Lung,4,0.25,"SDPR,TM4SF1,CLDN5,CCL21,RAMP2,ECSCR,GENE93,IGFBP7,MMRN1,GNG11,PPFIBP1,GENE59",Lymphatic EC mature,,,endothelial cell
1566,Lung,4,0.25,"TFF3,SDPR,AKAP12,CLDN5,TCF4,GENE57,CCL21,IGFBP7,GNG11,GENE76,TIMP3,TFPI",Lymphatic EC differentiating,,,Answer may vary depending on required context
1567,Lung,4,0.25,"HLA-DQB1,HLA-DQA1,HLA-DPA1,ITGB2,GPR183,GENE32,HLA-DPB1,HLA-DRB1,HLA-DMA,CORO1A,GENE97,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,dendritic cell
1568,Lung,4,0.25,"GENE47,CALD1,TPM2,CYR61,GENE35,MT1X,CTGF,GPX3,IGFBP5,SPARCL1,PRELP,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,lipofibroblast
1569,Lung,4,0.25,"GENE13,KIT,VWA5A,C1orf186,CPA3,HPGDS,GENE78,MS4A2,TPSB2,TPSAB1,RGS13,GATA2",Mast cells,mast cell,CL:0000097,mast cell
1570,Lung,4,0.25,"TPM2,PLN,GENE63,GENE61,LMOD1,IGFBP7,FLNA,ACTG2,SELM,PPP1R14A,DES,NEXN",Fibromyocytes,,,smooth muscle cell
1571,Lung,4,0.25,"S100A16,EID1,GENE35,ECSCR,MARCKS,TUBB,ARPC1A,GENE17,HMGN1,LSM2,COX20,HMGN2",Lymphatic EC proliferating,,,endothelial cell
1572,Lung,4,0.25,"FBXL7,LDB2,TSHZ2,GENE90,MMRN1,PKHD1L1,SEMA3A,KALRN,ST6GALNAC3,PPFIBP1,CD36,GENE59",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,lipofibroblast
1573,Lung,4,0.25,"LMO7,RAB11FIP1,EMP2,NCKAP5,RBMS3,NTM,KHDRBS2,LIMCH1,GENE64,GENE53,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,pulmonary alveolar type 2 cell
1574,Lung,4,0.25,"MACROD2,AUTS2,ZNF385B,SFTPC,ABCA3,ANK3,GENE84,SFTPB,GENE2,PDE4D,LRRK2,ERBB4",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,alveolar epithelial cell
1575,Lung,4,0.25,"MACROD2,GLIS3,GENE47,SSBP2,GENE37,EYA2,XPR1,RBMS3,KRT17,TP63,FAF1,CACHD1",Epithelial cell (basal),basal cell,CL:0000646,unidentified cell type
1576,Lung,4,0.25,"TMEM232,DNAH12,CFAP54,DNAH7,STK33,HYDIN,GENE80,CDHR3,LRRIQ1,GENE74,AGBL4,C4orf22",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,ciliated epithelial cell
1577,Lung,4,0.25,"NEDD4L,MACROD2,SCGB3A2,CDK14,GENE78,MECOM,BMPR1B,KIAA1217,SFTPB,GENE38,ERBB4,KIAA1324",Epithelial cell (club),club cell,CL:0000158,pulmonary alveolar type 2 cell
1578,Lung,4,0.25,"PDK1,FBXW7,GENE6,ARHGAP15,GENE72,PLCG2,ST6GAL1,CREB3L2,FCHSD2,RALGPS2,DENND5B,MEF2C",Immune (B cell),B cell,CL:0000236,mixture_of_cell_types
1579,Lung,4,0.25,"GENE45,PIP4K2A,B2M,FYN,GENE60,SKAP1,ARHGAP15,PRKCH,KLRD1,PARP8,AOAH,CD247",Immune (NK cell),natural killer cell,CL:0000623,nonclassical monocyte
1580,Lung,4,0.25,"FYN,FKBP5,GENE10,BCL2,GENE34,PTPRC,SYTL3,ARHGAP15,PARP8,THEMIS,ITK,SKAP1",Immune (T cell),T cell,CL:0000084,nonclassical monocyte
1581,Lung,4,0.25,"ZEB2,DOCK8,GENE7,FMNL2,GPCPD1,SLC11A1,PPARG,GENE79,RNF149,TFRC,PLXDC2,MSR1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,unidentified cell type mixture
1582,Lung,4,0.25,"KIT,SAMSN1,IL18R1,FER,GENE60,TPSB2,SLC24A3,GENE91,SRGN,SYTL3,ARHGAP15,TPSAB1",Immune (mast cell),mast cell,CL:0000097,mast cell
1583,Lung,4,0.25,"CALD1,GENE3,INPP4B,CACNA1C,TPM1,GENE32,PRKG1,ACTA2,DMD,EBF1,LPP,MYH11",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",smooth muscle cell
1584,Lung,4,0.25,"PTPRB,PTPRM,GENE9,TCF4,LDB2,ST6GALNAC3,GENE49,TIMP3,PECAM1,CALCRL,EPAS1,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
1585,Lung,4,0.25,"GENE20,LAMA2,PLEKHH2,GENE92,ROBO2,LSAMP,RBMS3,PRKG1,ARHGAP6,RORA,SLIT2,PLXDC2",Fibroblast,fibroblast,CL:0000057,endothelial cell of artery
1586,Lung,4,0.25,"TBXAS1,ZEB2,GENE57,FKBP5,CD74,PIK3R5,CHST11,GENE96,SRGN,PLXDC2,SLC8A1,CTSB",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",myeloid dendritic cell
1587,Lung,4,0.25,"GENE13,PLIN2,GHR,ADIPOQ,LPIN1,PPARG,GENE81,PLIN1,FOXO1,EBF1,G0S2,ACSL1",Adipocyte,fat cell,CL:0000136,adipocyte
1588,Lung,4,0.25,"AGER,EMP2,GENE46,CAV1,PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,alveolar type I cell
1589,Lung,4,0.25,"NKX2-1,GENE67,SLC34A2,LAMP3,SFTPC,SFTPB",Alveolar Type II,type II pneumocyte,CL:0002063,pulmonary alveolar type 2 cell
1590,Lung,4,0.25,"CD24,GENE37,CXCR3,CD1c,FAS,CR2",B cell_memory,memory B cell,CL:0000787,nonclassical monocyte
1591,Lung,4,0.25,"GENE47,TUBA1A,HYDIN,FAM92B,FOXJ1,DNAH5,DNAI1,DNAI2,CDHR3,GENE20",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
1592,Lung,4,0.25,"GENE9,SCGB3A2,SCGB1A1,BPIFA1,SCGB3A1,SLPI,MUC5B,CYP2F2",Club Epithelial,club cell,CL:0000158,goblet cell
1593,Lung,4,0.25,"GENE94,GENE33,NEGR1,COL4A1,GENE82,COL5A1,COL1A1,IGFBP5,FBN1,VIM,COL5A2,IL33,HGF,COL18A1,COL6A3,GENE67,FBLN1,DCN,SLIT2,FN1,GENE4,DDR2,CCN2,IGFBP3,COL6A6,GENE25,IL6,COL3A1,COL6A1,COL1A2,COL6A2",Fibroblast,fibroblast,CL:0000057,fibroblast
1594,Lung,4,0.25,"RELN,FLT4,CCL21,MMRN1,PROX1,GENE91,LYVE1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
1595,Lung,4,0.25,"LYZ,C1QA,PTPRC,LYVE1,CD68,MSR1,GENE51,GENE58,SLC11A1,MERTK,GENE12,CPM,CD163,MS4A6A,GENE50,GENE79,RBPJ,MS4A4A,CD74,CD36,MR1,CSF1R,MRC1",Macrophage,macrophage,CL:0000235,macrophage
1596,Lung,4,0.25,"KIT,HDC,GENE17,TPSB2,CD69,FCER1A,TPSAB1",Mast Cell,mast cell,CL:0000097,mast cell
1597,Lung,4,0.25,"MYO1B,CSPG4,GENE40,MCAM,GENE91,ACTA2,ANPEP,DES,PDGFRB",Pericyte,pericyte,CL:0000669,pericyte
1598,Lung,4,0.25,"CNN1,MYOCD,GENE62,ACTN1,GENE93,GENE88,GUCY1B3,SMTN,ACTA2,ACTG2,PALLD,VCL,MYL9,GUCY1A3,MYH11,DES,TAGLN",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
1599,Lung,4,0.25,"TRBC1,GENE82,GENE39,CD3D,CD3G,GENE17,CD69,PTPRC,CD247,NKG7,CD96,IL7R,TRAC,CD3E,THEMIS,SKAP1",T cell,T cell,CL:0000084,T cell
1600,Lung,4,0.25,"PTPRB,GENE41,CLDN5,NOSTRIN,LDB2,RAMP3,GENE37,VWF,EPHB4,PECAM1,BACE2,CD300LG",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cells
1601,Lung,4,0.25,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,alveolar epithelial cell
1602,Lung,4,0.25,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,nonclassical monocyte
1603,Lung,4,0.25,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T cell
1604,Lung,4,0.25,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,T cell
1605,Lung,4,0.25,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,natural killer cell
1606,Lung,4,0.25,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,fibroblast
1607,Lung,4,0.25,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell
1608,Lung,4,0.25,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,fibroblast
1609,Lung,4,0.25,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4",macrophage,macrophage,CL:0000235,macrophage
1610,Lung,4,0.25,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A",basophil,basophil,CL:0000767,mast cell
1611,Lung,4,0.25,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR",classical monocyte,classical monocyte,CL:0000860,monocyte-derived macrophage
1612,Lung,4,0.25,"PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,endothelial progenitor cell
1613,Lung,4,0.25,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1",lung ciliated cell,lung ciliated cell,CL:1000271,ciliated epithelial cell
1614,Lung,4,0.25,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A",dendritic cell,dendritic cell,CL:0000451,dendritic cell
1615,Lung,4,0.25,"BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,club cell
1616,Lung,4,0.25,"S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,basal cell
1617,Lung,4,0.25,"JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,plasma cell
1618,Lung,4,0.25,"CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cell
1619,Lung,4,0.25,"PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,goblet cell
1620,Lung,4,0.25,"FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage
1621,Lung,4,0.25,"FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell
1622,Lung,4,0.25,"EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,endothelial cell
1623,Lung,4,0.25,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,Clara_cells_and_Basal_cells
1624,Lung,4,0.25,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell
1625,Lung,4,0.25,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS",alveolar fibroblast,,,fibroblast
1626,Lung,4,0.25,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,general lung endothelial cell
1627,Lung,4,0.25,"MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell
