,dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt4aug3_annotation,gpt4aug3_CLname,gpt4aug3_CLID,gpt4aug3_broadtype,gpt4aug3_agreement,gpt4mar23_annotation,gpt4mar23_CLname,gpt4mar23_CLID,gpt4mar23_broadtype,gpt4mar23_agreement,gpt3.5aug3_annotation,gpt3.5aug3_CLname,gpt3.5aug3_CLID,gpt3.5aug3_broadtype,gpt3.5aug3_agreement,CellMarker2.0_annotation,CellMarker2.0_CLname,CellMarker2.0_CLID,CellMarker2.0_broadtype,CellMarker2.0_agreement,SingleR_annotation,SingleR_CLname,SingleR_CLID,SingleR_broadtype,SingleR_agreement,ScType_annotation,ScType_CLname,ScType_CLID,ScType_broadtype,ScType_agreement,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new
10,Azimuth,Lung,"PRF1, NKG7, KLRF1, CD247, GNLY, PYHIN1, KLRD1, SPON2, FCGR3A, GZMB",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural killer cell,natural killer cell,CL:0000623,t/nk cell,1.0,Natural killer cells,natural killer cell,CL:0000623,t/nk cell,1.0,Natural killer cells,natural killer cell,CL:0000623,t/nk cell,1.0,Anti-tumor immune cell,,,immune cell,0.5,,,,,,,,,,,natural killer cell,0,1.0000
11,Azimuth,Lung,"MZB1, DERL3, SEC11C, XBP1, TNFRSF17, SSR4, POU2AF1, HSP90B1, PRDX4, MANF",Plasma,plasma cell,CL:0000786,b cell,Mature B cell,mature B cell,CL:0000785,b cell,0.5,Plasma cells,plasma cell,CL:0000786,b cell,1.0,Plasma cells,plasma cell,CL:0000786,b cell,1.0,Plasma cell,plasma cell,CL:0000786,b cell,1.0,,,,,,,,,,,Plasma cell,0,1.0000
12,Azimuth,Lung,"SFTPA1, SFTPA2, NAPSA, SFTPB, SFTPD, SFTPC, SLC34A2, ABCA3, LAMP3, LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar type II cell,type II pneumocyte,CL:0002063,epithelial cell,1.0,Alveolar type II cells,type II pneumocyte,CL:0002063,epithelial cell,1.0,Pneumocytes (various types),,,lung cell,0.0,Lung epithelial cell,epithelial cell of lung,CL:0000082,epithelial cell,0.5,,,,,,,,,,,Alveolar epithelial cells,1,0.8333
13,Azimuth,Lung,"KIT, CPA3, TPSAB1, HPGDS, VWA5A, MS4A2, HDC, CD44, GATA2, GRAP2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast cell,mast cell,CL:0000097,granulocyte,0.5,Mast cells,mast cell,CL:0000097,granulocyte,0.5,Mast cells,mast cell,CL:0000097,granulocyte,0.5,Mesenchymal progenitor cell,,,progenitor cell,0.0,,,,,,,,,,,Mast cell,2,0.5000
14,Azimuth,Lung,"LST1, LILRB2, AIF1, COTL1, SAT1, FCN1, FCGR3A, RPS19, RHOC, IFITM2",CD16+ Monocyte,,,macrophage/monocyte,Monocyte,monocyte,CL:0000576,macrophage/monocyte,0.5,Monocytes,monocyte,CL:0000576,macrophage/monocyte,0.5,Dendritic cells,dendritic cell,CL:0000451,dendritic cell,0.5,Myeloid cell,myeloid cell,CL:0000763,myeloid cell,0.0,,,,,,,,,,,Intermediate monocyte,2,0.5714
15,Azimuth,Lung,"FCN3, EPAS1, RAMP3, CDH5, PODXL, BTNL9, NOSTRIN, FLNB, CDC42EP1, CD81",Capillary,,,blood vessel cell,Endothelial cell,endothelial cell,CL:0000115,endothelial cell,0.0,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Pan-endothelial cell,endothelial cell,CL:0000115,endothelial cell,0.0,,,,,,,,,,,Endothelial cell,4,-1
16,Azimuth,Lung,"CCL5, CD3D, NKG7, GZMH, CD3G, CD8A, GZMA, CD8B, RPS27, RPL34",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,T cell,T cell,CL:0000084,t/nk cell,0.5,Cytotoxic T lymphocytes (CD8+ T cells),"CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,t/nk cell,0.5,Mucous cells,,,mucosal cell,0.0,CD4 T cell,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,0.5,,,,,,,,,,,CD8+ T cell,0,1.0000
17,Azimuth,Lung,"SCGB3A2, CYB5A, SFTPB, PIGR, C16orf89, CTSE, KIAA1324, CEACAM6, WFDC2, DSTN",Club,club cell,CL:0000158,epithelial cell,Goblet cell,goblet cell,CL:0000160,epithelial cell,0.5,Club cells (previously known as Clara cells),club cell,CL:0000158,epithelial cell,1.0,Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,0.0,Epithelial progenitor cell,,,progenitor cell,0.0,,,,,,,,,,,Clara cell (Club cell),0,1.0000
18,Azimuth,Lung,"COL1A1, COL1A2, COL3A1, COL6A3, ASPN, LTBP1, ITGBL1, CALD1, POSTN, BGN",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,1.0,Fibroblasts,fibroblast,CL:0000057,fibroblast,0.0,Platelets,platelet,CL:0000233,platelet,0.0,Stromal cell,stromal cell,CL:0000499,stromal cell,0.0,,,,,,,,,,,Fibroblast,-1,0.6000
19,Azimuth,Lung,"PPP1R14B, IRF4, GZMB, IL3RA, IRF7, PLD4, SEC61B, PTPRE, NPC2, TYROBP",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Microglia,microglial cell,CL:0000129,microglia,0.0,Dendritic cells,dendritic cell,CL:0000451,dendritic cell,0.5,Granulocytes,granulocyte,CL:0000094,granulocyte,0.0,Anti-tumor immune cell,,,immune cell,0.0,,,,,,,,,,,Natural killer t cell,-1,0.3636
20,Azimuth,Lung,"H2AFZ, CDK1, UBE2C, ANLN, BIRC5, NUSAP1, STMN1, TPX2, TYMS, KPNA2",Proliferating Macrophage,,,macrophage/monocyte,Proliferative cell,,,,0.0,Proliferating cells,,,,0.0,Surfactant-producing cells,surfactant secreting cell,CL:0000157,secretory cell,0.0,Dividing cell,,,,0.0,,,,,,,,,,,"The markers provided (H2AFZ, CDK1, UBE2C, ANLN, BIRC5, NUSAP1, STMN1, TPX2, TYMS, KPNA2) are typical of proliferating cells and are often associated with cell cycle progression and mitosis. These markers are commonly found in cycling cells, such as those found in the lung tissue undergoing repair or regeneration. Therefore, the most appropriate cell type classification for these markers is proliferating lung epithelial cells.",-1,0.5000
21,Azimuth,Lung,"NUSAP1, TOP2A, HMGB2, BIRC5, H2AFV, SMC4, CENPF, AURKB, UBE2C, KIF2C",Proliferating NK/T,,,t/nk cell,Proliferating cells,,,,0.0,Proliferating cells,,,,0.0,Megakaryocytes,megakaryocyte,CL:0000556,megakaryocyte,0.0,Proliferative cell,,,,0.0,,,,,,,,,,,Proliferating cell,-1,0.4167
22,Azimuth,Lung,"PLVAP, ZNF385D, SPRY1, POSTN, SPARCL1, VWF, EMCN, COL15A1, INHBB, ENPP2",Bronchial Vessel,,,bronchial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Neuroendocrine cells,neuroendocrine cell,CL:0000165,epithelial cell,0.0,Vascular cell,,,blood vessel cell,0.0,,,,,,,,,,,Endothelial cell,13,0.2857
23,Azimuth,Lung,"SCGB3A1, BPIFB1, SLPI, LCN2, WFDC2, SAA1, SCGB1A1, RARRES1, MUC5B, MSMB",Mucous,,,mucosal cell,Club cells,club cell,CL:0000158,epithelial cell,0.0,Goblet cells,goblet cell,CL:0000160,epithelial cell,0.0,Goblet cells,goblet cell,CL:0000160,epithelial cell,0.0,Secretory club cell,club cell,CL:0000158,epithelial cell,0.0,,,,,,,,,,,Club cell (also known as Clara cell),"{'CL:0000158': 0, 'GO:0060486': 1, 'UBERON:0002051': 1, 'UBERON:0002341': 1, 'CL:0002638': 2, 'UBERON:0001955': 2, 'UBERON:0001958': 2, 'UBERON:8600001': 2, 'CL:1000351': 3, 'CL:0002206': 3, 'CL:1000332': 3, 'CL:1000350': 3, 'CL:0002205': 3, 'CL:1000333': 3, 'CL:1000352': 3}",-1
24,Azimuth,Lung,"VWF, SELP, SLCO2A1, LIFR, PLA1A, PTPRB, PRSS23, CPE, TGM2, SRPX",Vein,,,blood vessel cell,Platelets,platelet,CL:0000233,platelet,0.0,Platelets,platelet,CL:0000233,platelet,0.0,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,0.0,Vascular cell,,,blood vessel cell,0.5,,,,,,,,,,,Endothelial cell,4,-1
25,Azimuth,Lung,"COX4I2, PDGFRB, TACC1, CALD1, NID1, COL4A1, COL4A2, LAMB1, LAMC3, CHN1",Pericyte,pericyte,CL:0000669,pericyte,Fibroblasts,fibroblast,CL:0000057,fibroblast,0.5,Pericytes,pericyte,CL:0000669,pericyte,1.0,Eosinophils,eosinophil,CL:0000771,granulocyte,0.0,Pericyte,pericyte,CL:0000669,pericyte,1.0,,,,,,,,,,,Fibroblast,10,0.6000
26,Azimuth,Lung,"TPM2, ACTA2, MYL9, MYH11, CALD1, DSTN, CNN1, DES, PLN, CSRP1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Smooth Muscle cells,smooth muscle cell,CL:0000192,muscle cell,1.0,Smooth muscle cells,smooth muscle cell,CL:0000192,muscle cell,1.0,Mesothelial cells,mesothelial cell,CL:0000077,epithelial cell,0.0,Muscularis cell,,,mucosal cell,0.0,,,,,,,,,,,Smooth muscle cell,0,1.0000
27,Azimuth,Lung,"DKK2, PTPRB, EFNB2, EPAS1, GJA5, HEY1, ARGLU1, FBLN5, SEMA3G, BMX",Artery,,,blood vessel cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Epithelial progenitor cells,,,progenitor cell,0.0,Endothelial cell,endothelial cell,CL:0000115,endothelial cell,0.0,,,,,,,,,,,Endothelial cell,4,-1
28,Azimuth,Lung,"HPGD, APP, EDNRB, EMCN, ESAM, STXBP6, CLDN5, CYP3A5, SOSTDC1, TBX2",Capillary Aerocyte,,,epithelial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.5,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.5,Endothelial Cells,endothelial cell,CL:0000115,endothelial cell,0.5,Aerocyte,,,epithelial cell,0.5,,,,,,,,,,,Endothelial cell,4,0.4286
29,Azimuth,Lung,"EPAS1, SH3BP5, RALA, PECAM1, WWTR1, GALNT18, ACVRL1, SRSF11, VAT1, IPO7",Capillary Intermediate,,,blood vessel cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,0.0,Endothelial Cells,endothelial cell,CL:0000115,endothelial cell,0.0,Vascular cell,,,blood vessel cell,0.5,,,,,,,,,,,"The provided markers EPAS1, SH3BP5, RALA, PECAM1, WWTR1, GALNT18, ACVRL1, SRSF11, VAT1, and IPO7 do not specifically match any single, well-defined lung cell type based on the database results or context given. The presence of PECAM1 suggests a possible endothelial cell identity, as PECAM1 is commonly associated with endothelial cells. However, the other markers do not strongly indicate a single, specific lung tissue cell type based solely on the given information. Therefore, these markers may represent a type or state of cells not covered by the provided cell type database or context.",-1,0.2222
30,Azimuth,Lung,"WT1, STEAP1, MEDAG, OSR1, CPXM1, FGF7, CCDC71L, HAS1, C3, C7",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,Podocytes,podocyte,CL:0000653,epithelial cell,0.0,Podocytes,podocyte,CL:0000653,epithelial cell,0.0,Epithelial Cells,epithelial cell,CL:0000066,epithelial cell,0.0,Mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,0.0,,,,,,,,,,,Fibroblast,2,0.6667
31,Azimuth,Lung,"GALNT9, ITLN1, WT1, PRG4, MGARP, C3, ALDH1A3, DMKN, SLPI, DSC3",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,Keratinocytes,keratinocyte,CL:0000312,epithelial cell,0.5,Chondrocytes,chondrocyte,CL:0000138,stromal cell,0.0,Epithelial Cells,epithelial cell,CL:0000066,epithelial cell,0.5,Mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,1.0,,,,,,,,,,,"The markers provided do not directly match with any specific cell type listed in the database results. However, some markers like ITLN1 and PRG4 are known to be associated with certain lung-related epithelial cells such as secretory cells or specific immune interactions, which do not have a direct match in the provided database. This combination could suggest an uncharacterized or mixed phenotype potentially relating to specialized epithelial cells like those found in mucosal surfaces and the airway, but does not conclusively fit a single known type from the given context.",-1,-1
32,Azimuth,Lung,"TUBB1, CMTM5, ACRBP, PF4, GP9, TMEM40, ITGA2B, GRAP2, GP6, CABP5",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",Megakaryocytes,megakaryocyte,CL:0000556,megakaryocyte,0.5,Platelets (Megakaryocyte-derived),platelet,CL:0000233,platelet,0.5,Platelets or Megakaryocytes,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",1.0,,,,,0.0,,,,,,,,,,,Megakaryocyte,0,1.0000
33,Azimuth,Lung,"GNLY, CD7, CTSW, CCL5, CD2, ZFP36L2, CXCR4, LGALS1, CEBPB, S100A6",Natural Killer T,,,t/nk cell,T cells,T cell,CL:0000084,t/nk cell,0.5,Natural Killer (NK) cells,natural killer cell,CL:0000623,t/nk cell,0.5,Immune Cells (T Cells),T cell,CL:0000084,t/nk cell,0.5,Eosinophil,eosinophil,CL:0000771,granulocyte,0.5,,,,,,,,,,,Natural killer t cell,0,1.0000
34,Azimuth,Lung,"SCX, FAM150A, HSPB3, RAMP1, CSRP1, CNN1, CST5, IGF1, CLU, MET",Fibromyocyte,,,muscle cell,Tenocytes,tendon cell,CL:0000388,stromal cell,0.0,Tenocytes (Tendon cells),tendon cell,CL:0000388,stromal cell,0.0,Smooth Muscle Cells,smooth muscle cell,CL:0000192,muscle cell,0.5,Cancer stem cell,,,malignant cell,0.0,,,,,,,,,,,Airway smooth muscle,"{'UBERON:0004225': 0, 'UBERON:0004233': 1, 'UBERON:0004296': 1, 'UBERON:0004297': 1, 'UBERON:0003387': 2, 'UBERON:0004242': 2, 'UBERON:0004515': 2, 'UBERON:0004895': 2, 'UBERON:0012416': 2, 'UBERON:0002183': 3, 'UBERON:0002184': 3, 'CL:4033017': 3, 'UBERON:0004516': 3, 'UBERON:0004517': 3, 'UBERON:8600003': 3, 'UBERON:0002040': 3, 'GO:0060482': 4, 'UBERON:0002339': 4, 'UBERON:0003404': 4, 'UBERON:0003405': 4, 'UBERON:0003591': 4, 'UBERON:0004884': 4, 'UBERON:0004889': 4, 'UBERON:0004950': 4, 'UBERON:0005037': 4, 'UBERON:0012084': 4, 'UBERON:0002341': 4, 'UBERON:0004951': 4, 'UBERON:0005038': 4, 'UBERON:0012085': 4, 'GO:0060481': 5, 'GO:0060483': 5, 'CL:4033007': 5, 'CL:4033009': 5, 'CL:4033010': 5, 'UBERON:0015794': 5, 'UBERON:0015795': 5, 'UBERON:0004901': 5, 'GO:0060480': 6, 'GO:1901249': 7, 'GO:1901250': 7, 'GO:1901251': 7}",-1
35,Azimuth,Lung,"S100P, FAM3D, CXCL17, GABRP, WFDC2, PSCA, AGR2, TXN, CLIC1, COX5A",Goblet,goblet cell,CL:0000160,epithelial cell,Bronchial cells,,,bronchial cell,0.0,Pancreatic Ductal cells,pancreatic ductal cell,CL:0002079,epithelial cell,0.5,Epithelial Cells,epithelial cell,CL:0000066,epithelial cell,0.5,Monocyte,monocyte,CL:0000576,macrophage/monocyte,0.0,,,,,,,,,,,Club cell,-1,0.4286
36,Azimuth,Lung,"PHGR1, ASCL3, HEPACAM2, FOXI1, TMPRSS11E, ATP6V1B1, BSND, TFF3, STAC2, MFSD6L",Ionocyte,ionocyte,CL:0005006,epithelial cell,Inter Ductal Cells,,,epithelial cell,0.5,Intercalated cells (renal collecting duct),kidney collecting duct intercalated cell,CL:1001432,epithelial cell,0.5,Epithelial Cells (Goblet Cells),goblet cell,CL:0000160,epithelial cell,0.5,Ionocyte,ionocyte,CL:0005006,epithelial cell,1.0,,,,,,,,,,,Tuft cell,-1,0.5000
37,Azimuth,Lung,"PCSK1N, BEX1, SEC11C, CPE, NENF, PRDX2, CHGA, EGR1, FAM46A, SCGN",Neuroendocrine,neuroendocrine cell,CL:0000165,epithelial cell,Neuroendocrine cells,neuroendocrine cell,CL:0000165,epithelial cell,1.0,Neuroendocrine cells,neuroendocrine cell,CL:0000165,epithelial cell,1.0,Neuroendocrine Cells,neuroendocrine cell,CL:0000165,epithelial cell,1.0,Neuron,neuron,CL:0000540,neuron,0.0,,,,,,,,,,,Neuroendocrine cell,0,1.0000
