,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified_new
10,10,10,10,10,Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,t/nk cell,"Natural Killer, CD8+ Naive T","Natural Killer, CD8+ Naive T, CD8+ Memory/Effector T, Natural Killer T",Natural Killer,Natural Killer T,0,1.0000,0,1.0000,-1,0.3571,-1,0.4545
11,11,11,11,11,Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,b cell,Plasma,"Plasma, Plasmacytoid Dendritic, Goblet",Goblet,Goblet,-1,0.2000,-1,0.2000,-1,0.3636,0,1.0000
12,12,12,12,12,Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Club",Alveolar Epithelial Type 2,Alveolar Epithelial Type 2,0,1.0000,0,1.0000,0,1.0000,0,1.0000
13,13,13,13,13,Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,"Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2, Bronchial Vessel 2",Basophil/Mast,Basophil/Mast 1,0,1.0000,0,1.0000,0,1.0000,0,1.0000
14,14,14,14,14,Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,macrophage/monocyte,Nonclassical Monocyte,"Basal, Capillary Intermediate 2, Bronchial Vessel 2, CD8+ Naive T, Natural Killer T, Natural Killer, Nonclassical Monocyte, Intermediate Monocyte, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Nonclassical Monocyte,Nonclassical Monocyte,2,0.6667,2,0.6667,2,0.5714,2,0.6667
15,15,15,15,15,Lung,1,0.25,"CDH5,CD81",Capillary,,,blood vessel cell,"Capillary, Macrophage","Capillary, Capillary Aerocyte, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Vein, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic",Capillary,Capillary,0,-1,0,-1,-1,-1,-1,-1
16,16,16,16,16,Lung,1,0.25,"RPL34,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,CD4+ Naive T,"Basal, Proximal Basal, Differentiating Basal, Signaling Alveolar Epithelial Type 2, Capillary Intermediate 2, Bronchial Vessel 1, Lymphatic, Airway Smooth Muscle, Lipofibroblast, Mesothelial, B, CD4+ Naive T, Basophil/Mast 1, Basophil/Mast 2, Club",Basal,"Club, Basal",-1,0.1667,-1,0.1818,-1,0.1818,-1,0.7000
17,17,17,17,17,Lung,1,0.25,"KIAA1324,CTSE",Club,club cell,CL:0000158,epithelial cell,Club,"Club, Differentiating Basal, Goblet, Signaling Alveolar Epithelial Type 2, Alveolar Epithelial Type 1",Club,"Club, Alveolar Epithelial Type 1",0,1.0000,-1,0.5455,-1,0.5455,0,1.0000
18,18,18,18,18,Lung,1,0.25,"POSTN,CALD1",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Myofibroblast,"Basal, Proliferating Basal, Neuroendocrine, Vascular Smooth Muscle, Pericyte, Proximal Basal, Ionocyte, Bronchial Vessel 1, Myofibroblast",Proximal Basal,"Proximal Basal, Basal",-1,0.2857,-1,0.2857,-1,0.2500,0,1.0000
19,19,19,19,19,Lung,1,0.25,"NPC2,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,"Signaling Alveolar Epithelial Type 2, Plasmacytoid Dendritic","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Vein, Bronchial Vessel 1, Myofibroblast, Lipofibroblast, Mesothelial, Macrophage, Proliferating Macrophage, Plasmacytoid Dendritic, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Serous, Lymphatic, Plasma, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, OLR1+ Classical Monocyte.",Plasmacytoid Dendritic,"Signaling Alveolar Epithelial Type 2, Plasmacytoid Dendritic",0,1.0000,0,1.0000,0,1.0000,0,1.0000
20,20,20,20,20,Lung,1,0.25,"TPX2,NUSAP1",Proliferating Macrophage,,,macrophage/monocyte,Proliferating Basal,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Lung Proliferating Basal, Proliferating NK/T",-1,-1,-1,0.2222,-1,-1,-1,0.2222
21,21,21,21,21,Lung,1,0.25,"KIF2C,CENPF",Proliferating NK/T,,,t/nk cell,"Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Lung Proliferating Basal, Proliferating NK/T",-1,-1,-1,0.1538,-1,-1,-1,0.3333
22,22,22,22,22,Lung,1,0.25,"SPRY1,VWF",Bronchial Vessel,,,bronchial cell,Capillary,"Proximal Basal, Proliferating Basal, Bronchial Vessel 1, Bronchial Vessel 2, Pericyte, Vein","Vein, Pericyte","Lung Bronchial Vessel 1, Vein",-1,0.2500,-1,-1,-1,0.2000,-1,-1
23,23,23,23,23,Lung,1,0.25,"RARRES1,BPIFB1",Mucous,,,mucosal cell,Mucous,"Ciliated, Mucous, Myofibroblast, Adventitial Fibroblast, Lipofibroblast, Mesothelial, Basophil/Mast 1, Basophil/Mast 2, TREM2+ Dendritic, Goblet, Mucous, Serous","Mucous, Goblet","Lung Goblet, Mucous, Ciliated","{'CL:0000160': 0, 'CL:0002370': 1, 'CL:0019031': 1, 'CL:1000313': 1, 'CL:1000322': 1, 'CL:2000084': 1, 'UBERON:0002392': 1, 'CL:0002480': 2, 'CL:0019003': 2, 'CL:1000143': 2, 'CL:1000320': 2, 'CL:1000495': 2, 'CL:1000314': 2, 'CL:1000315': 2, 'CL:1000323': 2, 'CL:1000437': 2, 'UBERON:0001351': 2, 'UBERON:0005043': 2, 'CL:1000312': 3, 'CL:1000329': 3, 'CL:4033009': 3, 'GO:0060480': 3, 'UBERON:0002341': 3, 'CL:0009039': 3, 'CL:0009057': 3, 'CL:1000321': 3, 'CL:1000327': 3, 'CL:1000317': 3, 'CL:1000436': 3, 'UBERON:0001770': 3, 'UBERON:0005017': 3, 'GO:1901249': 4, 'GO:1901250': 4, 'GO:1901251': 4, 'CL:1000324': 4, 'CL:1000325': 4, 'CL:1000326': 4, 'CL:1000433': 4, 'UBERON:0005029': 4}",-1,"{'CL:1000143': 0, 'CL:4033009': 1, 'GO:0060480': 1, 'UBERON:0002341': 1, 'GO:1901249': 2, 'GO:1901250': 2, 'GO:1901251': 2}",-1,"{'CL:0002028': 0, 'CL:0000613': 1, 'CL:0000831': 1, 'CL:0002044': 1, 'CL:0000829': 2, 'CL:0002030': 2, 'CL:0000097': 2, 'CL:0002029': 2, 'CL:0000830': 3, 'CL:0000484': 3, 'CL:0000485': 3, 'CL:0011023': 3, 'GO:0002448': 3, 'GO:0002552': 3, 'GO:0002553': 3, 'GO:0032762': 3, 'GO:0033023': 3, 'GO:0033024': 3, 'GO:0033364': 3, 'GO:0045576': 3, 'GO:0060374': 3, 'GO:0070662': 3, 'GO:0097531': 3, 'CL:0000768': 4, 'GO:0043303': 4, 'GO:1903593': 4, 'GO:1903594': 4, 'GO:1903595': 4, 'GO:0032763': 4, 'GO:0032764': 4, 'GO:0032765': 4, 'GO:0033025': 4, 'GO:0033026': 4, 'GO:0033027': 4, 'GO:0002279': 4, 'GO:0033003': 4, 'GO:0033004': 4, 'GO:0033005': 4, 'GO:0060375': 4, 'GO:0060376': 4, 'GO:0060377': 4, 'GO:0070666': 4, 'GO:0070667': 4, 'GO:0070668': 4, 'GO:0002551': 4, 'CL:0000614': 5, 'CL:0000769': 5, 'CL:0000770': 5, 'GO:0043304': 5, 'GO:0043305': 5, 'GO:0043306': 5, 'GO:0033006': 5, 'GO:0033007': 5, 'GO:0033008': 5, 'GO:0060753': 5, 'GO:0060754': 5, 'GO:0060755': 5, 'CL:0000043': 6}",-1,<generator object all_pairs_shortest_path_length at 0x160ff9040>,-1
24,24,24,24,24,Lung,1,0.25,"SELP,PTPRB",Vein,,,blood vessel cell,"Artery, Vein","Artery, Vein, Bronchial Vessel 1, Platelet/Megakaryocyte, Artery, Vein, Capillary","Vein, Artery","Lung Artery, Vein, Platelet/Megakaryocyte",-1,-1,-1,-1,-1,-1,-1,-1
25,25,25,25,25,Lung,1,0.25,"COL4A1,COX4I2",Pericyte,pericyte,CL:0000669,pericyte,Pericyte,"Alveolar Epithelial Type 1, Capillary, Bronchial Vessel 2, Pericyte, Vascular Smooth Muscle, Pericyte",Pericyte,"Lung Alveolar Epithelial Type 1, Capillary, Pericyte",0,1.0000,-1,0.7500,0,1.0000,0,1.0000
26,26,26,26,26,Lung,1,0.25,"MYL9,CSRP1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Alveolar Epithelial Type 1, Capillary Intermediate 2, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Platelet/Megakaryocyte, Basal, Neuroendocrine, Alveolar Epithelial Type 1, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte","Alveolar Epithelial Type 1, Airway Smooth Muscle","Lung Airway Smooth Muscle, Vascular Smooth Muscle, Alveolar Epithelial Type 1",-1,-1,-1,-1,-1,0.6667,-1,0.8000
27,27,27,27,27,Lung,1,0.25,"FBLN5,HEY1",Artery,,,blood vessel cell,"Alveolar Epithelial Type 1, Artery","Alveolar Epithelial Type 1, Artery, Bronchial Vessel 2, Adventitial Fibroblast, Alveolar Fibroblast, CD4+ Naive T, Proximal Basal, Differentiating Basal, Proliferating Basal, Goblet, Neuroendocrine, Artery, Basophil/Mast 2","Artery, Adventitial Fibroblast","Lung Goblet, Proximal Basal, Basophil/Mast 1",-1,-1,-1,-1,-1,-1,-1,-1
28,28,28,28,28,Lung,1,0.25,"CLDN5,STXBP6",Capillary Aerocyte,,,epithelial cell,"Capillary Intermediate 1, Capillary Intermediate 2","Neuroendocrine, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Platelet/Megakaryocyte, OLR1+ Classical Monocyte, Goblet, Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Capillary Intermediate 2, Myofibroblast, Basophil/Mast 1, Basophil/Mast 2","Capillary Aerocyte, Capillary Intermediate 1","Lung Ionocyte, Proliferating NK/T, Capillary, Macrophage",0,1.0000,-1,0.2000,4,-1,-1,0.2000
29,29,29,29,29,Lung,1,0.25,"SRSF11,ACVRL1",Capillary Intermediate,,,blood vessel cell,"Capillary Intermediate 1, Capillary Aerocyte, Natural Killer T, Macrophage, Proliferating Macrophage","Ionocyte, Natural Killer T, Natural Killer, Proliferating NK/T, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Adventitial Fibroblast, Macrophage, Proliferating Macrophage","Natural Killer T, Capillary Intermediate 1","Lung Capillary, Capillary Intermediate 1, Proliferating Macrophage",-1,0.3636,-1,0.2222,-1,0.3333,-1,0.5000
30,30,30,30,30,Lung,1,0.25,"WT1,OSR1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,Mesothelial,"Mesothelial, Lipofibroblast",Mesothelial,"Lipofibroblast, Mesothelial",-1,0.5714,-1,0.5714,-1,0.5714,-1,0.5714
31,31,31,31,31,Lung,1,0.25,"DMKN,SLPI",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,Ciliated,"Lipofibroblast, Ciliated, Proximal Ciliated, Club, Mucous, Serous, Signaling Alveolar Epithelial Type 2",Ciliated,"Ciliated, Lymphatic, Mesothelial",-1,-1,0,1.0000,-1,0.2857,-1,-1
32,32,32,32,32,Lung,1,0.25,"GP6,ITGA2B",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",Platelet/Megakaryocyte,Platelet/Megakaryocyte,Platelet/Megakaryocyte,Platelet/Megakaryocyte,0,1.0000,0,1.0000,0,1.0000,0,1.0000
33,33,33,33,33,Lung,1,0.25,"CCL5,CXCR4",Natural Killer T,,,t/nk cell,CD8+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Proliferating NK/T",CD8+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer, Natural Killer T, Proliferating NK/T",-1,0.3571,-1,0.3571,-1,0.3571,-1,0.3571
