,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
12,12,Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar cells,Alveolar Type II Cells,Type II Pneumocytes,Type II alveolar cells,pulmonary alveolar type 2 cell,CL:0002063,alveolar macrophage,CL:0000583,type II pneumocyte differentiation,GO:0060510,pulmonary alveolar type 2 cell,CL:0002063,0,-1,-1,0
13,13,Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast cells,Mast Cells,Mast Cells,Mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,-1,-1,-1,-1
14,14,Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,macrophage/monocyte,Monocytes,Dendritic Cells,Alveolar Macrophages,Macrophages,dendritic cell,CL:0000451,monocyte,CL:0000576,alveolar macrophage,CL:0000583,macrophage,CL:0000235,-1,-1,-1,-1
15,15,Lung,1,0.25,"CDH5,CD81",Capillary,,,blood vessel cell,Endothelial cells,Endothelial Cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
16,16,Lung,1,0.25,"RPL34,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,"Ribosomal proteins, broad",Ribosomal Cells,Epithelial Cells,Alveolar epithelial cells,cell,CL:0000000,broad diffuse amacrine cell,CL:0004228,epithelial cell,CL:0000066,pulmonary alveolar epithelial cell,CL:0000322,8,-1,15,-1
17,17,Lung,1,0.25,"KIAA1324,CTSE",Club,club cell,CL:0000158,epithelial cell,Unknown,Gastric Parietal Cells,Clara Cells,Alveolar macrophages,parietal cell,CL:0000162,cyanophore,CL:0000747,club cell,CL:0000158,alveolar macrophage,CL:0000583,-1,-1,0,-1
18,18,Lung,1,0.25,"POSTN,CALD1",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Fibroblasts,Fibroblasts,Fibroblasts,Alveolar type I cells,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,pulmonary alveolar type 1 cell,CL:0002062,-1,-1,-1,-1
19,19,Lung,1,0.25,"NPC2,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Unknown,Hepatocytes,Pulmonary Surfactant-Associated Cells,Alveolar type I cells,hepatocyte,CL:0000182,cyanophore,CL:0000747,surfactant secreting cell,CL:0000157,pulmonary alveolar type 1 cell,CL:0002062,-1,-1,-1,-1
20,20,Lung,1,0.25,"TPX2,NUSAP1",Proliferating Macrophage,,,macrophage/monocyte,Mitotic cells,Mitotic Cells,Proliferating Cells,Lung cancer cells,basal cell,CL:0000646,basal cell,CL:0000646,cycling B cell,CL:4033068,lung goblet cell,CL:1000143,-1,-1,-1,-1
21,21,Lung,1,0.25,"KIF2C,CENPF",Proliferating NK/T,,,t/nk cell,Mitotic cells,Mitotic Cells,Proliferating Cells,Lung epithelial cells,basal cell,CL:0000646,basal cell,CL:0000646,cycling B cell,CL:4033068,epithelial cell of lung,CL:0000082,-1,-1,-1,-1
22,22,Lung,1,0.25,"SPRY1,VWF",Bronchial Vessel,,,bronchial cell,Endothelial cells,Endothelial Cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
23,23,Lung,1,0.25,"RARRES1,BPIFB1",Mucous,,,mucosal cell,Epithelial cells,Airway Epithelial Cells,Epithelial Cells,Clara cells,respiratory epithelial cell,CL:0002368,epithelial cell,CL:0000066,epithelial cell,CL:0000066,club cell,CL:0000158,-1,-1,-1,-1
24,24,Lung,1,0.25,"SELP,PTPRB",Vein,,,blood vessel cell,Endothelial cells,Platelets,Endothelial Cells,Endothelial cells,platelet,CL:0000233,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
25,25,Lung,1,0.25,"COL4A1,COX4I2",Pericyte,pericyte,CL:0000669,pericyte,Endothelial cells,Muscle Cells,Fibroblasts,Alveolar epithelial cells,muscle cell,CL:0000187,endothelial cell,CL:0000115,fibroblast,CL:0000057,pulmonary alveolar epithelial cell,CL:0000322,14,8,10,-1
26,26,Lung,1,0.25,"MYL9,CSRP1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,1. Smooth muscle cells,Smooth muscle cells,Smooth Muscle Cells,Smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,0,0,0,0
27,27,Lung,1,0.25,"FBLN5,HEY1",Artery,,,blood vessel cell,2. Endothelial cells,Endothelial cells,Fibroblasts,Fibroblasts,endothelial cell,CL:0000115,endothelial cell,CL:0000115,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,-1,-1,-1
28,28,Lung,1,0.25,"CLDN5,STXBP6",Capillary Aerocyte,,,epithelial cell,3. Endothelial cells,Neurons,Endothelial Cells,Endothelial cells,neuron,CL:0000540,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
29,29,Lung,1,0.25,"SRSF11,ACVRL1",Capillary Intermediate,,,blood vessel cell,4. Endothelial cells,Endothelial cells,Endothelial Cells,Smooth muscle cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,smooth muscle cell,CL:0000192,-1,-1,-1,-1
30,30,Lung,1,0.25,"WT1,OSR1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,5. Renal cells,Kidney stromal cells,Mesothelial Cells,Mesothelial cells,stromal cell,CL:0000499,renal filtration cell,CL:0002522,mesothelial cell,CL:0000077,mesothelial cell,CL:0000077,-1,-1,7,7
31,31,Lung,1,0.25,"DMKN,SLPI",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,6. Epithelial cells,Epidermal cells,Club Cells,"Club cells, Goblet cells",epidermal cell,CL:0000362,epithelial cell,CL:0000066,club cell,CL:0000158,respiratory goblet cell,CL:0002370,-1,2,-1,-1
32,32,Lung,1,0.25,"GP6,ITGA2B",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",7. Platelets,Platelet cells,Platelets,Platelets,platelet,CL:0000233,platelet,CL:0000233,platelet,CL:0000233,platelet,CL:0000233,-1,-1,-1,-1
33,33,Lung,1,0.25,"CCL5,CXCR4",Natural Killer T,,,t/nk cell,8. T cells,T cells,T Lymphocytes,"T cells, Macrophages",t cell,CL:0000084,t cell,CL:0000084,T cell,CL:0000084,TCR-positive macrophage,CL:4030058,-1,-1,-1,-1
34,34,Lung,1,0.25,"CNN1,SCX",Fibromyocyte,,,muscle cell,9. Smooth muscle cells,Tendon cells,Smooth Muscle Cells,Smooth muscle cells,tendon cell,CL:0000388,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,-1,-1,-1,-1
35,35,Lung,1,0.25,"WFDC2,PSCA",Goblet,goblet cell,CL:0000160,epithelial cell,10. Epithelial cells,Prostate epithelial cells,Club Cells,"Goblet cells, Stem cells",epithelial cell of prostate,CL:0002231,epithelial cell,CL:0000066,club cell,CL:0000158,respiratory goblet cell,CL:0002370,-1,1,-1,-1
36,36,Lung,1,0.25,"PHGR1,STAC2",Ionocyte,ionocyte,CL:0005006,epithelial cell,11. Neurons,Neurons,Secretory Cells,Ciliated cells,neuron,CL:0000540,neuron,CL:0000540,secretory cell,CL:0000151,ciliated cell,CL:0000064,10,10,-1,-1
37,37,Lung,1,0.25,"CHGA,SCGN",Neuroendocrine,neuroendocrine cell,CL:0000165,epithelial cell,12. Neuroendocrine cells,Neuroendocrine cells,Neuroendocrine Cells,Neuroendocrine cells,neuroendocrine cell,CL:0000165,neuroendocrine cell,CL:0000165,neuroendocrine cell,CL:0000165,neuroendocrine cell,CL:0000165,0,0,0,0
38,38,Lung,1,0.25,"PRB4,PRR4",Serous,serous secreting cell,CL:0000313,secretory cell,13. Salivary gland cells,Salivary gland cells,Mucous Cells,Alveolar cells,salivary gland cell,CL:0009005,salivary gland cell,CL:0009005,mucus secreting cell,CL:0000319,alveolar macrophage,CL:0000583,-1,-1,-1,-1
39,39,Lung,1,0.25,"C1QA,CTSL",Macrophages,macrophage,CL:0000235,macrophage/monocyte,14. Macrophages,Macrophages,Macrophages,"Macrophages, Dendritic cells",macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,dendritic cell,CL:0000451,0,0,0,4
40,40,Lung,1,0.25,"CCL4,CD7",Innate lymphoid cell NK,natural killer cell,CL:0000623,t/nk cell,15. T cells,T cells,T cell,T cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,-1,-1,-1,-1
41,41,Lung,1,0.25,"SFTA3,NAPSA",AT2,type II pneumocyte,CL:0002063,epithelial cell,16. Lung epithelial cells,Pneumocytes,Alveolar epithelial cell,Type II alveolar epithelial cells,pulmonary alveolar epithelial cell,CL:0000322,epithelial cell of lung,CL:0000082,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,1,2,1,0
42,42,Lung,1,0.25,"PECAM1,CLEC14A",EC venous,vein endothelial cell,CL:0002543,endothelial cell,17. Endothelial cells,Endothelial cells,Endothelial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,3,3,3,3
43,43,Lung,1,0.25,"CD3D,TRBC2",T cell lineage,T cell,CL:0000084,t/nk cell,18. T cells,T cells,T cell,T cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,0,0,0,0
44,44,Lung,1,0.25,"GIMAP7,CRIP2",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell,19. T cells,T cells,Lymphocyte,Immune cells,t cell,CL:0000084,t cell,CL:0000084,lymphocyte,CL:0000542,leukocyte,CL:0000738,-1,-1,-1,-1
45,45,Lung,1,0.25,"CALD1,LUM",Fibroblasts,fibroblast,CL:0000057,fibroblast,20. Fibroblasts,Fibroblasts,Fibroblast,Fibroblasts,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,0,0,0,0
46,46,Lung,1,0.25,"HOPX,SFTA2",AT1,type I pneumocyte,CL:0002062,epithelial cell,21. Lung epithelial cells,Epithelial cells,Alveolar epithelial cell,Alveolar type II cells,epithelial cell,CL:0000066,epithelial cell of lung,CL:0000082,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,3,2,1,-1
47,47,Lung,1,0.25,"TMEM231,RP11-295M3.4",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,epithelial cell,22. Ciliated cells,Ciliated cells,Epithelial cell,Unknown,ciliated cell,CL:0000064,ciliated cell,CL:0000064,epithelial cell,CL:0000066,cyanophore,CL:0000747,2,2,2,-1
48,48,Lung,1,0.25,"TSC22D3,IGLC2",B cell lineage,B cell,CL:0000236,b cell,23. B cells,B cells,B cell,Plasma cells,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,plasma cell,CL:0000786,0,0,0,-1
49,49,Lung,1,0.25,"BPIFB1,TACSTD2",Secretory,secretory cell,CL:0000151,secretory cell,24. Secretory epithelial cells,Epithelial cells,Club cell,Club cells,epithelial cell,CL:0000066,fallopian tube secretory epithelial cell,CL:4030006,club cell,CL:0000158,club cell,CL:0000158,12,-1,-1,-1
50,50,Lung,1,0.25,"FCN1,COTL1",Monocytes,monocyte,CL:0000576,macrophage/monocyte,25. Granulocytes,Monocytes,Macrophage,"Macrophages, Dendritic cells",monocyte,CL:0000576,granulocyte,CL:0000094,macrophage,CL:0000235,dendritic cell,CL:0000451,0,6,2,3
51,51,Lung,1,0.25,"CCL28,ZG16B",Submucosal Secretory,,,secretory cell,1. Enterocyte,Ductal cells,Goblet cell,"Epithelial cells, Goblet cells",pancreatic ductal cell,CL:0002079,enterocyte,CL:0000584,goblet cell,CL:0000160,respiratory goblet cell,CL:0002370,-1,-1,-1,-1
52,52,Lung,1,0.25,"HYAL2,CLEC14A",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell,2. Endothelial cell,Endothelial cells,Endothelial cell,"Epithelial cells, Fibroblasts",endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,subepithelial intestinal fibroblast,CL:4052007,2,2,2,-1
53,53,Lung,1,0.25,"SDPR,RAMP2",Lymphatic EC mature,,,endothelial cell,3. Pericyte,Smooth muscle cells,Endothelial cell,"Endothelial cells, Alveolar type II cells",smooth muscle cell,CL:0000192,pericyte,CL:0000669,endothelial cell,CL:0000115,alveolar capillary type 2 endothelial cell,CL:4028003,-1,-1,-1,-1
54,54,Lung,1,0.25,"SDPR,AKAP12",Lymphatic EC differentiating,,,endothelial cell,4. Smooth Muscle Cell,Fibroblasts,Endothelial cell,"Fibroblasts, Endothelial cells",fibroblast,CL:0000057,smooth muscle cell,CL:0000192,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
55,55,Lung,1,0.25,"HLA-DQA1,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,dendritic cell,5. B cell ,B cells,Dendritic cell,"Antigen-presenting cells, Macrophages",b cell,CL:0000236,b cell,CL:0000236,dendritic cell,CL:0000451,professional antigen presenting cell,CL:0000145,-1,-1,0,1
56,56,Lung,1,0.25,"CTGF,TPM2",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,6. Myofibroblast ,Myofibroblasts,Fibroblast,"Fibroblasts, Epithelial cells",myofibroblast cell,CL:0000186,myofibroblast cell,CL:0000186,fibroblast,CL:0000057,epithelial cell,CL:0000066,0,0,-1,13
57,57,Lung,1,0.25,"VWA5A,RGS13",Mast cells,mast cell,CL:0000097,granulocyte,7. Mast cell,Germinal center B cells,B lymphocyte,"Immune cells, Fibroblasts",germinal center b cell,CL:0000844,mast cell,CL:0000097,B cell,CL:0000236,subepithelial intestinal fibroblast,CL:4052007,-1,0,-1,-1
58,58,Lung,1,0.25,"FLNA,SELM",Fibromyocytes,,,muscle cell,8. Fibroblast,Skeletal muscle cells,Fibroblast,"Endothelial cells, Structural cells",cell of skeletal muscle,CL:0000188,fibroblast,CL:0000057,fibroblast,CL:0000057,colon endothelial cell,CL:1001572,-1,-1,-1,-1
59,59,Lung,1,0.25,"COX20,EID1",Lymphatic EC proliferating,,,endothelial cell,9. Unknown,Oligodendrocytes,Fibroblast,"Mitochondrial cells, Fibroblasts",oligodendrocyte,CL:0000128,cyanophore,CL:0000747,fibroblast,CL:0000057,subepithelial intestinal fibroblast,CL:4052007,-1,-1,-1,-1
60,60,Lung,1,0.25,"SEMA3A,ST6GALNAC3",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,10. T cell,Neurons,Epithelial cells,Neurons,neuron,CL:0000540,t cell,CL:0000084,epithelial cell,CL:0000066,neuron,CL:0000540,10,-1,8,10
61,61,Lung,1,0.25,"RBMS3,LIMCH1",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,epithelial cell,11. Mesenchymal Stem Cell,Smooth muscle cells,Fibroblasts,Epithelial cells,smooth muscle cell,CL:0000192,mesenchymal stem cell,CL:0000134,fibroblast,CL:0000057,epithelial cell,CL:0000066,-1,10,9,3
62,62,Lung,1,0.25,"SFTPB,LRRK2",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,epithelial cell,12. Pneumocyte,Alveolar type II cells,Alveolar type II cells,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,0,1,0,0
63,63,Lung,1,0.25,"MACROD2,FAF1",Epithelial cell (basal),basal cell,CL:0000646,stem cell,13. Unknown,Neurons,Macrophages,Macrophages,neuron,CL:0000540,cyanophore,CL:0000747,macrophage,CL:0000235,macrophage,CL:0000235,13,-1,-1,-1
64,64,Lung,1,0.25,"CFAP54,AGBL4",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell,14. Unknown,Spermatocytes,Ciliated cells,Ciliated epithelial cells,spermatocyte,CL:0000017,cyanophore,CL:0000747,ciliated cell,CL:0000064,ciliated epithelial cell,CL:0000067,-1,-1,1,0
65,65,Lung,1,0.25,"MACROD2,KIAA1217",Epithelial cell (club),club cell,CL:0000158,epithelial cell,15. Unknown,Neurons,Macrophages,Fibroblasts,neuron,CL:0000540,cyanophore,CL:0000747,macrophage,CL:0000235,fibroblast,CL:0000057,10,-1,-1,12
66,66,Lung,1,0.25,"ST6GAL1,MEF2C",Immune (B cell),B cell,CL:0000236,b cell,16. Unknown,Neurons,Epithelial cells,Endothelial cells,neuron,CL:0000540,cyanophore,CL:0000747,epithelial cell,CL:0000066,endothelial cell,CL:0000115,12,-1,13,-1
67,67,Lung,1,0.25,"ARHGAP15,PARP8",Immune (NK cell),natural killer cell,CL:0000623,t/nk cell,17. Neutrophil,Neutrophils,Leukocytes,Lymphocytes,neutrophil,CL:0000775,neutrophil,CL:0000775,leukocyte,CL:0000738,lymphocyte,CL:0000542,-1,-1,4,3
68,68,Lung,1,0.25,"SKAP1,BCL2",Immune (T cell),T cell,CL:0000084,t/nk cell,18. T cell,T cells,T cells,Smooth muscle cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,smooth muscle cell,CL:0000192,0,0,0,-1
69,69,Lung,1,0.25,"GPCPD1,SLC11A1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte,19. Macrophage,Macrophages,Macrophages,Dendritic cells,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,dendritic cell,CL:0000451,2,2,2,6
70,70,Lung,1,0.25,"FER,SRGN",Immune (mast cell),mast cell,CL:0000097,granulocyte,20. Mast cell,Macrophages,Macrophages,Endothelial cells,macrophage,CL:0000235,mast cell,CL:0000097,macrophage,CL:0000235,endothelial cell,CL:0000115,5,0,5,-1
71,71,Lung,1,0.25,"ACTA2,INPP4B",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell",21. Smooth muscle cell,Smooth muscle cells,Smooth Muscle Cells,Smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,-1,-1,-1,-1
72,72,Lung,1,0.25,"PTPRB,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell,22. Endothelial cell,Endothelial cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,1,1,1,1
73,73,Lung,1,0.25,"LAMA2,ROBO2",Fibroblast,fibroblast,CL:0000057,fibroblast,23. Neuronal cell,Skeletal muscle cells,Fibroblasts,Smooth muscle cells,cell of skeletal muscle,CL:0000188,neuronal receptor cell,CL:0000006,fibroblast,CL:0000057,smooth muscle cell,CL:0000192,-1,-1,0,-1
74,74,Lung,1,0.25,"FKBP5,SRGN",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte",24. Macrophage,Macrophages,Macrophages,Fibroblasts,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,fibroblast,CL:0000057,-1,-1,-1,-1
75,75,Lung,1,0.25,"EBF1,ACSL1",Adipocyte,fat cell,CL:0000136,fat cell,25. B cell,B cells,Adipocytes,Adipocytes,b cell,CL:0000236,b cell,CL:0000236,adipocyte,CL:0000136,adipocyte,CL:0000136,-1,-1,0,0
