,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
2024,2024,2024,Lung,5,0.25,"TIMP3,TBX1",Lymphatic,,,immune cell,Unknown (no clear cell type association with these markers),Endothelial Cells,Endothelial cells,Fibroblasts,endothelial cell,CL:0000115,clear chief cell of parathyroid gland,CL:0002147,endothelial cell,CL:0000115,fibroblast,CL:0000057,-1,-1,-1,-1
2025,2025,2025,Lung,5,0.25,"C1QB,VSIG4",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,Macrophage,Macrophages,Macrophages,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,0,0,0,0
2026,2026,2026,Lung,5,0.25,"KLRD1,PYHIN1",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural killer cells,NK Cell,Natural killer (NK) cells,Natural killer cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0
2027,2027,2027,Lung,5,0.25,"TNFRSF17,MZB1",Plasma,plasma cell,CL:0000786,b cell,Plasma cells,Plasma Cell,Plasma cells,Plasma cells,plasma cell,CL:0000786,plasma cell,CL:0000786,plasma cell,CL:0000786,plasma cell,CL:0000786,0,0,0,0
2028,2028,2028,Lung,5,0.25,"LPCAT1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar epithelial cells,Alveolar Type II Cell,Alveolar type II cells,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,0,1,0,0
2029,2029,2029,Lung,5,0.25,"KIT,CPA3",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast cells,Mast Cell,Mast cells,Mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,-1,-1,-1,-1
2030,2030,2030,Lung,5,0.25,"IFITM2,FCGR3A",CD16+ Monocyte,,,macrophage/monocyte,Natural killer cells,Monocyte,Macrophages,Immune cells,monocyte,CL:0000576,natural killer cell,CL:0000623,macrophage,CL:0000235,leukocyte,CL:0000738,-1,-1,-1,-1
2031,2031,2031,Lung,5,0.25,"CD81,CDC42EP1",Capillary,,,blood vessel cell,T cells,Hepatocyte,Epithelial Cells,B cells,hepatocyte,CL:0000182,t cell,CL:0000084,epithelial cell,CL:0000066,b cell,CL:0000236,-1,-1,-1,-1
2032,2032,2032,Lung,5,0.25,"RPL34,NKG7",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,T cells,T Cell,Natural Killer Cells,Natural Killer (NK) cells,t cell,CL:0000084,t cell,CL:0000084,natural killer cell,CL:0000623,natural killer cell,CL:0000623,3,3,-1,-1
2033,2033,2033,Lung,5,0.25,"C16orf89,CTSE",Club,club cell,CL:0000158,epithelial cell,Unknown (no clear cell type association with these markers),Gastric Epithelial Cell,Alveolar Cells,Airway epithelial cells,epithelial cell,CL:0000066,clear chief cell of parathyroid gland,CL:0002147,alveolar macrophage,CL:0000583,respiratory epithelial cell,CL:0002368,2,-1,-1,3
2034,2034,2034,Lung,5,0.25,"COL6A3,LTBP1",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Fibroblasts,Fibroblast,Fibroblasts,Fibroblasts,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,-1,-1,-1
2035,2035,2035,Lung,5,0.25,"SEC61B,PPP1R14B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Endoplasmic reticulum-associated cells,Hepatocyte,Secretory Cells,Endothelial cells,hepatocyte,CL:0000182,neuron associated cell,CL:0000095,secretory cell,CL:0000151,endothelial cell,CL:0000115,-1,-1,-1,-1
2036,2036,2036,Lung,5,0.25,"CDK1,TPX2",Proliferating Macrophage,,,macrophage/monocyte,Cycling cells,Mitotic Cell,Mitotic Cells,Proliferating cells,basal cell,CL:0000646,cycling B cell,CL:4033068,basal cell,CL:0000646,cycling B cell,CL:4033068,-1,-1,-1,-1
2037,2037,2037,Lung,5,0.25,"HMGB2,TOP2A",Proliferating NK/T,,,t/nk cell,Cycling cells,Mitotic Cell,Proliferating Cells,Proliferating cells,basal cell,CL:0000646,cycling B cell,CL:4033068,cycling B cell,CL:4033068,cycling B cell,CL:4033068,-1,-1,-1,-1
2038,2038,2038,Lung,5,0.25,"SPRY1,ZNF385D",Bronchial Vessel,,,bronchial cell,Unknown (no clear cell type association with these markers),Fibroblast,Mesenchymal Cells,Epithelial cells,fibroblast,CL:0000057,clear chief cell of parathyroid gland,CL:0002147,mesenchymal cell,CL:0008019,epithelial cell,CL:0000066,-1,-1,-1,-1
2039,2039,2039,Lung,5,0.25,"LCN2,SAA1",Mucous,,,mucosal cell,Neutrophils,Neutrophil,Inflammatory Cells,Inflammatory cells,neutrophil,CL:0000775,neutrophil,CL:0000775,inflammatory cell,CL:0009002,inflammatory cell,CL:0009002,-1,-1,-1,-1
2040,2040,2040,Lung,5,0.25,"SLCO2A1,SRPX",Vein,,,blood vessel cell,Unknown (no clear cell type association with these markers),Endothelial Cells,Endothelial cells,Type II Alveolar Cells,endothelial cell,CL:0000115,clear chief cell of parathyroid gland,CL:0002147,endothelial cell,CL:0000115,pulmonary alveolar type 2 cell,CL:0002063,-1,-1,-1,-1
2041,2041,2041,Lung,5,0.25,"COL4A1,COX4I2",Pericyte,pericyte,CL:0000669,pericyte,Endothelial cells,Fibroblast,Type II alveolar cells,Endothelial Cells,fibroblast,CL:0000057,endothelial cell,CL:0000115,pulmonary alveolar type 2 cell,CL:0002063,endothelial cell,CL:0000115,10,8,-1,8
2042,2042,2042,Lung,5,0.25,"DES,PLN",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Myofibroblast,"Smooth Muscle Cells, Fibroblasts",Smooth muscle cells,Myofibroblasts,muscle fibroblast,CL:1001609,myofibroblast cell,CL:0000186,smooth muscle cell,CL:0000192,myofibroblast cell,CL:0000186,-1,-1,0,-1
2043,2043,2043,Lung,5,0.25,"PTPRB,GJA5",Artery,,,blood vessel cell,Smooth Muscle Cell,Endothelial Cells,Vascular endothelial cells,Endothelial Cells,endothelial cell,CL:0000115,smooth muscle cell,CL:0000192,endothelial cell of vascular tree,CL:0002139,endothelial cell,CL:0000115,-1,-1,-1,-1
2044,2044,2044,Lung,5,0.25,"CLDN5,TBX2",Capillary Aerocyte,,,epithelial cell,Endothelial Cell,Endothelial Cells,Endothelial cells,Epithelial Cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,epithelial cell,CL:0000066,-1,-1,-1,-1
2045,2045,2045,Lung,5,0.25,"RALA,ACVRL1",Capillary Intermediate,,,blood vessel cell,Endothelial Cell,Endothelial Cells,Endothelial cells,Smooth Muscle Cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,smooth muscle cell,CL:0000192,-1,-1,-1,-1
2046,2046,2046,Lung,5,0.25,"WT1,C3",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,Mesothelial Cell,"Podocytes, Complement Component Cells",Mesothelial cells,Mesothelial Cells,complement component C1q receptor,PR:000002037,mesothelial cell,CL:0000077,mesothelial cell,CL:0000077,mesothelial cell,CL:0000077,-1,7,7,7
2047,2047,2047,Lung,5,0.25,"ALDH1A3,GALNT9",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,Mesenchymal Stem Cell,"Muller Glia Cells, Goblet Cells",Epithelial cells,Alveolar Macrophages,Mueller cell,CL:0000636,mesenchymal stem cell,CL:0000134,epithelial cell,CL:0000066,alveolar macrophage,CL:0000583,-1,-1,2,-1
2048,2048,2048,Lung,5,0.25,"GRAP2,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",Platelet,"Platelets, Megakaryocytes",Platelets,Platelets,megakaryocyte,CL:0000556,platelet,CL:0000233,platelet,CL:0000233,platelet,CL:0000233,-1,-1,-1,-1
2049,2049,2049,Lung,5,0.25,"CEBPB,LGALS1",Natural Killer T,,,t/nk cell,Macrophage,"Macrophages, Monocytes",Macrophages,Immune Cells,monocyte,CL:0000576,macrophage,CL:0000235,macrophage,CL:0000235,leukocyte,CL:0000738,-1,-1,-1,-1
2050,2050,2050,Lung,5,0.25,"IGF1,CNN1",Fibromyocyte,,,muscle cell,Smooth Muscle Cell,"Smooth Muscle Cells, Myocytes",Smooth muscle cells,Alveolar type I cells,Purkinje myocyte,CL:0002068,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,pulmonary alveolar type 1 cell,CL:0002062,-1,-1,-1,-1
2051,2051,2051,Lung,5,0.25,"WFDC2,TXN",Goblet,goblet cell,CL:0000160,epithelial cell,Glandular Cell,"Epithelial Cells, Breast Cancer Cells",Club cells,Alveolar macrophages,nasopharyngeal epithelial cell,CL:1001573,glandular epithelial cell,CL:0000150,club cell,CL:0000158,alveolar macrophage,CL:0000583,-1,-1,-1,-1
2052,2052,2052,Lung,5,0.25,"TMPRSS11E,MFSD6L",Ionocyte,ionocyte,CL:0005006,epithelial cell,Epithelial Cell,"Epithelial Cells, Oral Squamous Cell Carcinoma Cells",Ciliated cells,Bronchial epithelial cells,oral mucosa squamous cell,CL:1001576,epithelial cell,CL:0000066,ciliated cell,CL:0000064,bronchial epithelial cell,CL:0002328,-1,1,-1,-1
2053,2053,2053,Lung,5,0.25,"PRDX2,FAM46A",Neuroendocrine,neuroendocrine cell,CL:0000165,epithelial cell,Fibroblast,"Oxidative Stress Cells, B Cells",Basal cells,Club cells,B-2 B cell,CL:0000822,fibroblast,CL:0000057,basal cell,CL:0000646,club cell,CL:0000158,-1,-1,-1,-1
2054,2054,2054,Lung,5,0.25,"LYZ,TESC",Serous,serous secreting cell,CL:0000313,secretory cell,Neutrophil,"Neutrophils, Developing Neurons",Alveolar macrophages,Ciliated epithelial cells,pioneer neuron,CL:0000116,neutrophil,CL:0000775,alveolar macrophage,CL:0000583,ciliated epithelial cell,CL:0000067,-1,-1,-1,-1
2055,2055,2055,Lung,5,0.25,"AIF1,C1QB",Macrophages,macrophage,CL:0000235,macrophage/monocyte,Microglia,"Microglia, Monocytes",Alveolar macrophages,Interstitial fibroblasts,monocyte,CL:0000576,microglial cell,CL:0000129,alveolar macrophage,CL:0000583,pulmonary interstitial fibroblast,CL:0002241,1,-1,-1,-1
2056,2056,2056,Lung,5,0.25,"CD7,CCL4",Innate lymphoid cell NK,natural killer cell,CL:0000623,t/nk cell,T Cell,"T Cells, Memory T Cells",T cells,"Immune cells (T cells, possibly cytotoxic)",memory T cell,CL:0000813,t cell,CL:0000084,t cell,CL:0000084,cytotoxic T cell,CL:0000910,-1,-1,-1,-1
2057,2057,2057,Lung,5,0.25,"PEBP4,SLC39A8",AT2,type II pneumocyte,CL:0002063,epithelial cell,Fibroblast,"Kidney Cells, Brain Cells",Basal cells,Smooth muscle cells,kidney cell,CL:1000497,fibroblast,CL:0000057,basal cell,CL:0000646,smooth muscle cell,CL:0000192,-1,7,-1,-1
2058,2058,2058,Lung,5,0.25,"MGP,SPARCL1",EC venous,vein endothelial cell,CL:0002543,endothelial cell,Chondrocyte,"Osteoblasts, Smooth Muscle Cells",Vascular endothelial cells,Regulatory T cells,smooth muscle cell,CL:0000192,chondrocyte,CL:0000138,endothelial cell of vascular tree,CL:0002139,regulatory t cell,CL:0000815,-1,-1,2,-1
2059,2059,2059,Lung,5,0.25,"CD69,CCL5",T cell lineage,T cell,CL:0000084,t/nk cell,T Cell,"Activated T Cells, Memory T Cells",T cells,T-lymphocytes (activated),memory T cell,CL:0000813,t cell,CL:0000084,t cell,CL:0000084,activated type II NK T cell,CL:0000931,-1,0,0,-1
2060,2060,2060,Lung,5,0.25,"A2M,CRIP2",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell,Hepatocyte,"Hepatocytes, Cardiovascular Cells",Fibroblast,Alveolar macrophages,cardioblast,CL:0002664,hepatocyte,CL:0000182,fibroblast,CL:0000057,alveolar macrophage,CL:0000583,-1,-1,7,-1
2061,2061,2061,Lung,5,0.25,"MGP,BGN",Fibroblasts,fibroblast,CL:0000057,fibroblast,Chondrocyte,"Osteoblasts, Fibroblasts",Fibroblast,Fibroblasts,fibroblast,CL:0000057,chondrocyte,CL:0000138,fibroblast,CL:0000057,fibroblast,CL:0000057,0,-1,0,0
2062,2062,2062,Lung,5,0.25,"CEACAM6,AGER",AT1,type I pneumocyte,CL:0002062,epithelial cell,Epithelial Cell,"Cancer Cells, Lung Cells",Type I Alveolar Cell,Bronchial epithelial cells,lung neuroendocrine cell,CL:1000223,epithelial cell,CL:0000066,pulmonary alveolar type 1 cell,CL:0002062,bronchial epithelial cell,CL:0002328,-1,3,0,-1
2063,2063,2063,Lung,5,0.25,"C11orf97,C12orf75",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,epithelial cell,Unknown,"Brain Cells, Neuroblastoma Cells",Unknown,Immune cells,microglial cell,CL:0000129,cyanophore,CL:0000747,cyanophore,CL:0000747,leukocyte,CL:0000738,-1,-1,-1,-1
2064,2064,2064,Lung,5,0.25,"IGKC,LTB",B cell lineage,B cell,CL:0000236,b cell,Plasma Cell,"Plasma Cells, Memory B Cells",B Cell,B cells,memory B cell,CL:0000787,plasma cell,CL:0000786,b cell,CL:0000236,b cell,CL:0000236,-1,-1,0,0
2065,2065,2065,Lung,5,0.25,"KRT7,CXCL17",Secretory,secretory cell,CL:0000151,secretory cell,Club Cell,"Epithelial Cells, Lung Cells",Bronchial Epithelial Cell,Club cells,epithelial cell of lung,CL:0000082,club cell,CL:0000158,bronchial epithelial cell,CL:0002328,club cell,CL:0000158,-1,-1,-1,-1
2066,2066,2066,Lung,5,0.25,"FCN1,S100A9",Monocytes,monocyte,CL:0000576,macrophage/monocyte,Neutrophil,"Neutrophils, Monocytes",Macrophage,Neutrophils,monocyte,CL:0000576,neutrophil,CL:0000775,macrophage,CL:0000235,neutrophil,CL:0000775,0,-1,2,-1
2067,2067,2067,Lung,5,0.25,"SEC11C,TCN1",Submucosal Secretory,,,secretory cell,1. Enterocytes,Gastric chief cells,Secretory Cell,Antigen presenting cells,peptic cell,CL:0000155,enterocyte,CL:0000584,secretory cell,CL:0000151,professional antigen presenting cell,CL:0000145,-1,-1,-1,-1
2068,2068,2068,Lung,5,0.25,"CDH5,PECAM1",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell,2. Endothelial cells,Endothelial cells,Endothelial Cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,2,2,2,2
2069,2069,2069,Lung,5,0.25,"SDPR,CCL21",Lymphatic EC mature,,,endothelial cell,"3. Endothelial cells, Lymphatic endothelial cells",T cells,Endothelial Cell,Lymphatic endothelial cells,t cell,CL:0000084,colon endothelial cell,CL:1001572,endothelial cell,CL:0000115,endothelial cell of lymphatic vessel,CL:0002138,-1,-1,-1,-1
2070,2070,2070,Lung,5,0.25,"SDPR,CLDN5",Lymphatic EC differentiating,,,endothelial cell,4. Endothelial cells ,Brain Endothelial cells,Endothelial Cell,Endothelial cells,brain microvascular endothelial cell,CL:2000044,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
2071,2071,2071,Lung,5,0.25,"HLA-DPA1,HLA-DPB1",Dendritic cells,dendritic cell,CL:0000451,dendritic cell,"5. B cells, Antigen presenting cells",Antigen presenting cells,Dendritic Cell,Antigen presenting cells,professional antigen presenting cell,CL:0000145,professional antigen presenting cell,CL:0000145,dendritic cell,CL:0000451,professional antigen presenting cell,CL:0000145,1,1,0,1
2072,2072,2072,Lung,5,0.25,"MT1X,CALD1",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,6. Smooth muscle cells,Smooth muscle cells,Fibroblast,Immune cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,fibroblast,CL:0000057,leukocyte,CL:0000738,-1,-1,-1,-1
2073,2073,2073,Lung,5,0.25,"MS4A2,KIT",Mast cells,mast cell,CL:0000097,granulocyte,7. Mast cells,Mast cells,Mast Cell,Mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,0,0,0,0
2074,2074,2074,Lung,5,0.25,"IGFBP7,SELM",Fibromyocytes,,,muscle cell,8. Endothelial cells,Fibroblasts,Clara Cell,Fibroblasts,fibroblast,CL:0000057,endothelial cell,CL:0000115,club cell,CL:0000158,fibroblast,CL:0000057,-1,-1,-1,-1
