,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified_new
16,1516,1516,1516,1516,Lung,4,0.25,"CD2,MALAT1",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,Ciliated,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T, Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Alveolar Fibroblast, Pericyte, Basophil/Mast 2",CD4+ Memory/Effector T,Ciliated,-1,0.6923,-1,-1,-1,0.5714,-1,-1
17,1517,1517,1517,1517,Lung,4,0.25,"CCDC170,ZMYND10",Ciliated,ciliated cell,CL:0000064,ciliated cell,Myeloid Dendritic Type 2,"Ciliated, Proximal Ciliated, IGSF21+ Dendritic",Ciliated,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, EREG+ Dendritic",0,-1,-1,-1,-1,-1,-1,-1
18,1518,1518,1518,1518,Lung,4,0.25,"FPR3,HLA-DPB1",Dendritic,dendritic cell,CL:0000451,dendritic cell,Adventitial Fibroblast,"Club, Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 2, Macrophage, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Intermediate Monocyte",Myeloid Dendritic Type 2,"Alveolar Fibroblast, Adventitial Fibroblast",-1,-1,-1,-1,-1,-1,-1,-1
19,1519,1519,1519,1519,Lung,4,0.25,"LUM,ADH1B",Fibroblast,fibroblast,CL:0000057,fibroblast,Adventitial Fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast",Alveolar Fibroblast,"Alveolar Fibroblast, Alveolar Fibroblast",-1,0.6667,-1,0.6667,-1,0.6667,-1,0.6667
20,1520,1520,1520,1520,Lung,4,0.25,"TBX1,IGFBP7",Lymphatic,,,immune cell,Lymphatic,"Lymphatic, Ciliated, Proximal Ciliated, Basal, Alveolar Epithelial Type 1, Vein, Bronchial Vessel 1, Airway Smooth Muscle, Vascular Smooth Muscle, Natural Killer, Proliferating NK/T",Lymphatic,Lymphatic,0,1.0000,0,1.0000,-1,0.2222,0,1.0000
21,1521,1521,1521,1521,Lung,4,0.25,"APOC1,SLCO2B1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,"Macrophage, Proliferating Macrophage","Macrophage, Proliferating Macrophage, TREM2+ Dendritic, Signaling Alveolar Epithelial Type 2, Lipofibroblast, Mesothelial",Macrophage,"Macrophage, Dendritic",0,1.0000,4,0.5000,-1,0.7143,-1,0.8333
22,1522,1522,1522,1522,Lung,4,0.25,"KLRF1,GZMB",Natural Killer,natural killer cell,CL:0000623,t/nk cell,"Natural Killer, Proliferating NK/T","CD8+ Naive T, Natural Killer, Proliferating NK/T",Natural Killer,"Proliferating NK/T, Natural Killer T",0,1.0000,-1,0.4167,-1,0.4545,-1,0.4167
23,1523,1523,1523,1523,Lung,4,0.25,"HSP90B1,POU2AF1",Plasma,plasma cell,CL:0000786,b cell,Plasma,"Ciliated, Proximal Ciliated, Goblet, Adventitial Fibroblast, Plasma, Proliferating Macrophage, Plasmacytoid Dendritic, B, Plasma",Plasma,Plasma,0,1.0000,0,1.0000,-1,0.3636,0,1.0000
24,1524,1524,1524,1524,Lung,4,0.25,"NAPSA,SFTPA2",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Alveolar Epithelial Type 2,Alveolar Epithelial Type 2,0,1.0000,0,1.0000,0,1.0000,0,1.0000
25,1525,1525,1525,1525,Lung,4,0.25,"MS4A2,GRAP2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,"Basophil/Mast 1, Basophil/Mast 2, Platelet/Megakaryocyte","Basophil/Mast 1, Basophil/Mast 2, CD4+ Memory/Effector T, Platelet/Megakaryocyte",Basophil/Mast,"Basophil/Mast, Platelet/Megakaryocyte",0,1.0000,0,1.0000,0,1.0000,0,1.0000
26,1526,1526,1526,1526,Lung,4,0.25,"FCGR3A,COTL1",CD16+ Monocyte,,,macrophage/monocyte,"Nonclassical Monocyte, Intermediate Monocyte","Natural Killer, Proliferating NK/T, Macrophage, Proliferating Macrophage, Nonclassical Monocyte, Intermediate Monocyte, Bronchial Vessel 1, Myofibroblast, Mesothelial, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, EREG+ Dendritic, Classical Monocyte",Macrophage,"Natural Killer, Macrophage",4,0.5000,-1,0.3333,-1,0.4444,2,0.5714
27,1527,1527,1527,1527,Lung,4,0.25,"FLNB,NOSTRIN",Capillary,,,blood vessel cell,"Capillary Intermediate 2, Artery, Vein","Ciliated, Neuroendocrine, Alveolar Epithelial Type 1, Artery, Vein, Mesothelial, Plasmacytoid Dendritic, Capillary, Capillary Intermediate 2",Ciliated,Capillary,-1,-1,0,-1,-1,-1,-1,-1
28,1528,1528,1528,1528,Lung,4,0.25,"CD3D,CCL5",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,"CD8+ Naive T, CD4+ Memory/Effector T","CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T, Platelet/Megakaryocyte",CD8+ T,"CD8+ Memory/Effector T, CD8+ Naive T",0,1.0000,-1,0.7500,-1,0.7500,-1,0.7500
29,1529,1529,1529,1529,Lung,4,0.25,"CEACAM6,CYB5A",Club,club cell,CL:0000158,epithelial cell,"Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2","Club, Goblet, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Club, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 2, Alveolar Fibroblast, Mesothelial, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, TREM2+ Dendritic",Signaling Alveolar Epithelial Type 2,"Club, Alveolar Epithelial Type 2",-1,0.5455,-1,0.5455,-1,0.2222,-1,0.5455
30,1530,1530,1530,1530,Lung,4,0.25,"BGN,COL1A2",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Myofibroblast,"Vascular Smooth Muscle, Myofibroblast, Pericyte, Adventitial Fibroblast","Pericyte, Myofibroblast","Vascular Smooth Muscle, Myofibroblast",-1,0.6000,-1,0.3333,-1,0.6000,0,1.0000
31,1531,1531,1531,1531,Lung,4,0.25,"IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,"Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Lymphatic, Plasma, Plasmacytoid Dendritic, OLR1+ Classical Monocyte",Plasmacytoid Dendritic,"Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Lymphatic",0,1.0000,0,1.0000,0,1.0000,0,1.0000
32,1532,1532,1532,1532,Lung,4,0.25,"TPX2,UBE2C",Proliferating Macrophage,,,macrophage/monocyte,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating Macrophage","Proliferating Basal, Proliferating Macrophage, Proliferating NK/T",0,1.0000,-1,-1,-1,-1,-1,-1
33,1533,1533,1533,1533,Lung,4,0.25,"TOP2A,SMC4",Proliferating NK/T,,,t/nk cell,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating Macrophage","Proliferating Basal, Natural Killer T",-1,0.3333,-1,0.3846,-1,-1,-1,-1
34,1534,1534,1534,1534,Lung,4,0.25,"ENPP2,ZNF385D",Bronchial Vessel,,,bronchial cell,Bronchial Vessel 1,"Bronchial Vessel 1, Myofibroblast, Alveolar Fibroblast, Plasmacytoid Dendritic, Fibromyocyte","Fibromyocyte, Bronchial Vessel 1","Bronchial Vessel 1, Myofibroblast, Fibromyocyte",0,1.0000,-1,0.2500,-1,0.2000,0,1.0000
