,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
510,510,510,510,Lung,2,0.25,"FCGR2B,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,Myeloid Dendritic Type 2,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Mucous, Capillary Aerocyte, Capillary Intermediate 1, Capillary Intermediate 2, Mesothelial, B, Macrophage, Proliferating Macrophage",Myeloid Dendritic Type 1,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, B, Macrophage"
511,511,511,511,Lung,2,0.25,"FBLN1,ABLIM1",Fibroblast,fibroblast,CL:0000057,fibroblast,Adventitial Fibroblast,"Basal, Proximal Basal, Differentiating Basal, Proliferating Basal, Adventitial Fibroblast, Alveolar Fibroblast, Alveolar Epithelial Type 1, Vein, Adventitial Fibroblast, CD4+ Naive T, Platelet/Megakaryocyte",Alveolar Epithelial Type 1,"Adventitial Fibroblast, Alveolar Epithelial Type 1"
512,512,512,512,Lung,2,0.25,"IGFBP7,PROX1",Lymphatic,,,immune cell,Lymphatic,"Ciliated, Proximal Ciliated, Basal, Alveolar Epithelial Type 1, Vein, Bronchial Vessel 1, Lymphatic, Airway Smooth Muscle, Vascular Smooth Muscle, Natural Killer, Proliferating NK/T, Ionocyte, Neuroendocrine, Lymphatic",Lymphatic,"Ciliated, Ionocyte, Lymphatic, Natural Killer"
513,513,513,513,Lung,2,0.25,"ACP5,SLCO2B1",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophage,"Signaling Alveolar Epithelial Type 2, Alveolar Fibroblast, Lipofibroblast, Macrophage, Proliferating Macrophage, TREM2+ Dendritic, Lymphatic, Macrophage, IGSF21+ Dendritic, EREG+ Dendritic",Macrophage,"Macrophage, IGSF21+ Dendritic, EREG+ Dendritic"
514,514,514,514,Lung,2,0.25,"KLRF1,PRF1",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural Killer,"CD8+ Naive T, Natural Killer, Proliferating NK/T, CD8+ Memory/Effector T, Natural Killer T, Natural Killer",Natural Killer,"CD8+ Naive T, Natural Killer, Proliferating NK/T"
515,515,515,515,Lung,2,0.25,"XBP1,POU2AF1",Plasma,plasma cell,CL:0000786,b cell,Plasma,"Goblet, Mucous, Serous, Alveolar Epithelial Type 2, Vein, Lymphatic, Adventitial Fibroblast, Lipofibroblast, Plasma, Natural Killer, Plasmacytoid Dendritic, OLR1+ Classical Monocyte, B, Plasma",Plasma,"Plasma, B"
516,516,516,516,Lung,2,0.25,"ABCA3,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Club, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Plasma, Platelet/Megakaryocyte",Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2"
517,517,517,517,Lung,2,0.25,"KIT,TPSAB1",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Basophil/Mast,"Ionocyte, Basophil/Mast 1, Basophil/Mast 2, Bronchial Vessel 2, Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast,"Ionocyte, Basophil/Mast 1"
518,518,518,518,Lung,2,0.25,"FCN1,LST1",CD16+ Monocyte,,,macrophage/monocyte,Classical Monocyte,"EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Myeloid Dendritic Type 2, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Classical Monocyte,"Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte, EREG+ Dendritic"
519,519,519,519,Lung,2,0.25,"FLNB,PODXL",Capillary,,,blood vessel cell,Mesothelial,"Ciliated, Neuroendocrine, Alveolar Epithelial Type 1, Artery, Vein, Mesothelial, Plasmacytoid Dendritic, Goblet, Capillary, Mesothelial",Alveolar Epithelial Type 1,"Mesothelial, Goblet"
520,520,520,520,Lung,2,0.25,"CD8A,RPL34",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,CD8+ Naive T,"Alveolar Fibroblast, CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Club, Basal, Proximal Basal, Differentiating Basal, Signaling Alveolar Epithelial Type 2, Capillary Intermediate 2, Bronchial Vessel 1, Lymphatic, Airway Smooth Muscle, Lipofibroblast, Mesothelial, B, CD4+ Naive T, Basophil/Mast 1, Basophil/Mast 2",Alveolar Fibroblast,"CD8+ Memory/Effector T, Alveolar Fibroblast, Basal"
521,521,521,521,Lung,2,0.25,"KIAA1324,SFTPB",Club,club cell,CL:0000158,epithelial cell,Club,"Club, Differentiating Basal, Goblet, Serous, Ionocyte, Neuroendocrine, Signaling Alveolar Epithelial Type 2, Club, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Plasma, Platelet/Megakaryocyte",Club,"Club, Alveolar Epithelial Type 2"
522,522,522,522,Lung,2,0.25,"LTBP1,POSTN",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Myofibroblast,"Artery, Vein, Myofibroblast, Fibromyocyte, Platelet/Megakaryocyte, Proximal Basal, Proliferating Basal, Ionocyte, Bronchial Vessel 1, Myofibroblast",Myofibroblast,"Artery, Vein, Myofibroblast"
523,523,523,523,Lung,2,0.25,"IRF7,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic,"Ciliated, Bronchial Vessel 2, Plasmacytoid Dendritic, OLR1+ Classical Monocyte, Serous, Lymphatic, Mesothelial, Plasma, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, OLR1+ Classical Monocyte",Plasmacytoid Dendritic,"Ciliated, Plasma, Lymphatic, Plasmacytoid Dendritic"
524,524,524,524,Lung,2,0.25,"H2AFZ,TYMS",Proliferating Macrophage,,,macrophage/monocyte,Proliferating Basal,"Proximal Basal, Differentiating Basal, Proliferating Basal, Goblet, Ionocyte, Neuroendocrine, Bronchial Vessel 2, Airway Smooth Muscle, Fibromyocyte, Proliferating NK/T, Proliferating Macrophage, Proliferating Basal, Signaling Alveolar Epithelial Type 2, Lipofibroblast, Proliferating NK/T, Proliferating Macrophage",Proliferating Basal,"Proliferating Basal, Lipofibroblast, Neuroendocrine"
525,525,525,525,Lung,2,0.25,"BIRC5,SMC4",Proliferating NK/T,,,t/nk cell,Proliferating Macrophage,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage, Proliferating Basal, Signaling Alveolar Epithelial Type 2, Proliferating NK/T, Proliferating Macrophage",Proliferating NK/T,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage"
526,526,526,526,Lung,2,0.25,"SPRY1,ENPP2",Bronchial Vessel,,,bronchial cell,Bronchial Vessel 1,"Proximal Basal, Proliferating Basal, Bronchial Vessel 1, Bronchial Vessel 2, Pericyte, Artery, Bronchial Vessel 1, Bronchial Vessel 2, Myofibroblast, Alveolar Fibroblast, Plasmacytoid Dendritic, IGSF21+ Dendritic",Bronchial Vessel 1,"Mucous, Goblet, Natural Killer"
527,527,527,527,Lung,2,0.25,"SCGB3A1,MUC5B",Mucous,,,mucosal cell,Mucous,"Mucous, Serous, Capillary, Capillary Intermediate 1, Capillary Intermediate 2, Pericyte, Natural Killer, Proliferating NK/T, Basophil/Mast 1, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, Goblet, Mucous",Mucous,"Vein, Artery"
528,528,528,528,Lung,2,0.25,"VWF,PTPRB",Vein,,,blood vessel cell,Vein,"Vein, Artery, Vein, Capillary",Vein,"Vascular Smooth Muscle, Pericyte, Basal"
529,529,529,529,Lung,2,0.25,"COX4I2,CALD1",Pericyte,pericyte,CL:0000669,pericyte,Pericyte,"Vascular Smooth Muscle, Pericyte, Basal, Proliferating Basal, Neuroendocrine, Vascular Smooth Muscle, Pericyte, Platelet/Megakaryocyte",Pericyte,"Pericyte, Vascular Smooth Muscle"
530,530,530,530,Lung,2,0.25,"DSTN,CNN1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Fibromyocyte,Airway Smooth Muscle
531,531,531,531,Lung,2,0.25,"ARGLU1,EFNB2",Artery,,,blood vessel cell,"Artery, Capillary","Artery, Capillary, Alveolar Fibroblast, Natural Killer",Capillary,Signaling Alveolar Epithelial Type 2
532,532,532,532,Lung,2,0.25,"EDNRB,EMCN",Capillary Aerocyte,,,epithelial cell,"Capillary Aerocyte, Capillary Intermediate 1","Capillary Aerocyte, Capillary Intermediate 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Airway Smooth Muscle, Pericyte",Capillary Aerocyte,Capillary
533,533,533,533,Lung,2,0.25,"SH3BP5,SRSF11",Capillary Intermediate,,,blood vessel cell,"Natural Killer, Proliferating NK/T","Capillary Aerocyte, Capillary Intermediate 1, Adventitial Fibroblast, Lipofibroblast, Mesothelial, B, Natural Killer, IGSF21+ Dendritic, EREG+ Dendritic, Natural Killer T, Proliferating NK/T",Adventitial Fibroblast,Capillary Aerocyte
534,534,534,534,Lung,2,0.25,"FGF7,STEAP1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,"Adventitial Fibroblast, Lipofibroblast","Adventitial Fibroblast, Alveolar Fibroblast, Lipofibroblast",Adventitial Fibroblast,Adventitial Fibroblast
535,535,535,535,Lung,2,0.25,"C3,MGARP",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,Mesothelial,"Goblet, Mucous, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Adventitial Fibroblast, Lipofibroblast, Mesothelial",Mesothelial,Alveolar Fibroblast
536,536,536,536,Lung,2,0.25,"TUBB1,ITGA2B",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",Platelet/Megakaryocyte,Platelet/Megakaryocyte,Platelet/Megakaryocyte,Platelet/Megakaryocyte
537,537,537,537,Lung,2,0.25,"CCL5,GNLY",Natural Killer T,,,t/nk cell,"Natural Killer, CD8+ Naive T","CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T, Platelet/Megakaryocyte",Natural Killer,CD8+ Naive T
538,538,538,538,Lung,2,0.25,"CST5,RAMP1",Fibromyocyte,,,muscle cell,Fibromyocyte,"Ciliated, Proximal Ciliated, Airway Smooth Muscle, Fibromyocyte, Natural Killer, Myeloid Dendritic Type 1",Fibromyocyte,Natural Killer
539,539,539,539,Lung,2,0.25,"WFDC2,GABRP",Goblet,goblet cell,CL:0000160,epithelial cell,Goblet,"Differentiating Basal, Goblet, Mucous, Serous, Mesothelial, Platelet/Megakaryocyte",Goblet,Goblet
540,540,540,540,Lung,2,0.25,"TFF3,PHGR1",Ionocyte,ionocyte,CL:0005006,epithelial cell,Neuroendocrine,"Proximal Ciliated, Goblet, Mucous, Ionocyte, Neuroendocrine, Lymphatic, Ionocyte",Goblet,"Proximal Ciliated, Neuroendocrine"
541,541,541,541,Lung,2,0.25,"EGR1,SCGN",Neuroendocrine,neuroendocrine cell,CL:0000165,epithelial cell,Neuroendocrine,"Club, Basal, Neuroendocrine, Artery, Vein, Bronchial Vessel 1, Bronchial Vessel 2, Adventitial Fibroblast, Lipofibroblast, Basophil/Mast 1, Basophil/Mast 2, IGSF21+ Dendritic, Classical Monocyte, Neuroendocrine",Neuroendocrine,"Basal, Neuroendocrine"
542,542,542,542,Lung,2,0.25,"PRB3,PRR4",Serous,serous secreting cell,CL:0000313,secretory cell,Serous,"Serous, Serous",Serous,"Serous, Transitional"
543,543,543,543,Lung,2,0.25,"C1QA,FCER1G",Macrophages,macrophage,CL:0000235,macrophage/monocyte,"Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic","Mesothelial, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic, Mesothelial, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Macrophage,"Macrophage, Mesothelial"
544,544,544,544,Lung,2,0.25,"CCL5,CD7",Innate lymphoid cell NK,natural killer cell,CL:0000623,t/nk cell,Natural Killer,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T, Platelet/Megakaryocyte, Mesothelial, CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T",CD8+ T cells,"CD8+ Memory/Effector T, CD8+ Naive T"
545,545,545,545,Lung,2,0.25,"SLC34A2,S100A14",AT2,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Platelet/Megakaryocyte, Basal, Differentiating Basal, Proliferating Basal, Goblet, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Goblet"
546,546,546,546,Lung,2,0.25,"VWF,SPARCL1",EC venous,vein endothelial cell,CL:0002543,endothelial cell,"Vein, Bronchial Vessel 1, Bronchial Vessel 2","Vein, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Fibromyocyte",Vein,"Vein, Bronchial Vessel 1"
547,547,547,547,Lung,2,0.25,"TRBC2,CD3D",T cell lineage,T cell,CL:0000084,t/nk cell,T Cell,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T",CD4+/CD8+ T cells,"CD4+ Memory/Effector T, CD4+ Naive T"
548,548,548,548,Lung,2,0.25,"GIMAP7,A2M",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell,Artery,"Artery, Capillary, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer, Proliferating NK/T, Neuroendocrine, Artery, Bronchial Vessel 1, Bronchial Vessel 2, Adventitial Fibroblast, Alveolar Fibroblast, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic",Dendritic cells,"CD8+ Memory/Effector T, Artery"
549,549,549,549,Lung,2,0.25,"CALD1,C1S",Fibroblasts,fibroblast,CL:0000057,fibroblast,"Vascular Smooth Muscle, Pericyte, Adventitial Fibroblast, Alveolar Fibroblast","Basal, Proliferating Basal, Neuroendocrine, Vascular Smooth Muscle, Pericyte, Platelet/Megakaryocyte, Basal, Signaling Alveolar Epithelial Type 2, Vein, Adventitial Fibroblast, Alveolar Fibroblast, Lipofibroblast",Pericyte,"Basal, Adventitial Fibroblast"
550,550,550,550,Lung,2,0.25,"CEACAM6,CAV1",AT1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Club, Airway Smooth Muscle, Vascular Smooth Muscle, Plasma",Alveolar Epithelial Type 1,"Club, Alveolar Epithelial Type 1"
551,551,551,551,Lung,2,0.25,"GSTA1,RP11-356K23.1",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,epithelial cell,Ciliated,"Ciliated, Proximal Ciliated, Goblet, Platelet/Megakaryocyte",Ciliated,"Ciliated, Goblet"
552,552,552,552,Lung,2,0.25,"CD79A,MS4A1",B cell lineage,B cell,CL:0000236,b cell,B,"B, Plasma",B,"B, Plasma"
553,553,553,553,Lung,2,0.25,"TACSTD2,CP",Secretory,secretory cell,CL:0000151,secretory cell,Mucous,"Basal, Proximal Basal, Differentiating Basal, Goblet, Alveolar Epithelial Type 1, Platelet/Megakaryocyte, Ciliated, Goblet, Mucous, Bronchial Vessel 2, Platelet/Megakaryocyte",Goblet,"Basal, Goblet, Alveolar Epithelial Type 1"
554,554,554,554,Lung,2,0.25,"COTL1,S100A8",Monocytes,monocyte,CL:0000576,macrophage/monocyte,Classical Monocyte,"Bronchial Vessel 1, Myofibroblast, Mesothelial, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, EREG+ Dendritic, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Basal, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte",Classical Monocyte,"Myofibroblast, Mesothelial, Classical Monocyte"
555,555,555,555,Lung,2,0.25,"AZGP1,LTF",Submucosal Secretory,,,secretory cell,"Mucous, Serous","Mucous, Serous, Ionocyte, Neuroendocrine, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Mucous, Serous",Mucous,"Mucous, Serous, Alveolar Epithelial Type 2"
556,556,556,556,Lung,2,0.25,"CDH5,TM4SF1",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell,Capillary,"Capillary Aerocyte, Capillary, Capillary Intermediate 1, Club, Basal, Alveolar Epithelial Type 1, Artery, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Mesothelial, Plasma, Platelet/Megakaryocyte",Capillary Aerocyte,"Capillary, Vascular Smooth Muscle, Plasma"
557,557,557,557,Lung,2,0.25,"CCL21,MMRN1",Lymphatic EC mature,,,endothelial cell,Lymphatic,"Lipofibroblast, Lymphatic, Vascular Smooth Muscle, Vein, Lymphatic, Platelet/Megakaryocyte",Lymphatic,"Lymphatic, Lipofibroblast"
558,558,558,558,Lung,2,0.25,"GNG11,TFF3",Lymphatic EC differentiating,,,endothelial cell,Lymphatic,"Capillary Aerocyte, Lymphatic, Pericyte, Mesothelial, Platelet/Megakaryocyte, Proximal Ciliated, Goblet, Mucous, Ionocyte, Neuroendocrine, Lymphatic",Lymphatic,"Capillary Aerocyte, Proximal Ciliated"
559,559,559,559,Lung,2,0.25,"HLA-DPB1,HLA-DRB1",Dendritic cells,dendritic cell,CL:0000451,dendritic cell,"Macrophage, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2","Club, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 2, Lipofibroblast, Mesothelial, B, Macrophage, Proliferating Macrophage, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Intermediate Monocyte, Club, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Lipofibroblast, Mesothelial, Macrophage, Proliferating Macrophage, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic",Myeloid Dendritic Type 2,"Macrophage, Proliferating Macrophage, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic"
560,560,560,560,Lung,2,0.25,"IGFBP5,CALD1",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,"Basal, Vascular Smooth Muscle","Ciliated, Basal, Vascular Smooth Muscle, Proximal Ciliated, Lymphatic, Airway Smooth Muscle",Vascular Smooth Muscle,Lymphatic
561,561,561,561,Lung,2,0.25,"CPA3,MS4A2",Mast cells,mast cell,CL:0000097,granulocyte,"Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2",Basophil/Mast 1,"Basophil/Mast 1, Basophil/Mast 2"
562,562,562,562,Lung,2,0.25,"FLNA,TPM2",Fibromyocytes,,,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Alveolar Epithelial Type 1, Artery, Airway Smooth Muscle, Vascular Smooth Muscle, Basal, Proximal Basal, Plasmacytoid Dendritic",Airway Smooth Muscle,"Alveolar Epithelial Type 1, Airway Smooth Muscle"
563,563,563,563,Lung,2,0.25,"MARCKS,HMGN2",Lymphatic EC proliferating,,,endothelial cell,Proximal Ciliated,"Ciliated, Proximal Ciliated, Proliferating Basal, Neuroendocrine, Capillary Intermediate 2, Alveolar Fibroblast, Proximal Basal, Differentiating Basal, Capillary Aerocyte, Lymphatic, Myeloid Dendritic Type 1, OLR1+ Classical Monocyte",Ciliated,"Ciliated, Proximal Ciliated"
564,564,564,564,Lung,2,0.25,"PKHD1L1,ST6GALNAC3",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Signaling Alveolar Epithelial Type 2",Lymphatic,Lymphatic
565,565,565,565,Lung,2,0.25,"LMO7,LAMA3",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Capillary Aerocyte",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
566,566,566,566,Lung,2,0.25,"AUTS2,ZNF385B",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,epithelial cell,Signaling Alveolar Epithelial Type 2,"Proximal Ciliated, Goblet, Signaling Alveolar Epithelial Type 2, Alveolar Epithelial Type 2",Signaling Alveolar Epithelial Type 2,"Goblet, Signaling Alveolar Epithelial Type 2"
567,567,567,567,Lung,2,0.25,"CACHD1,TP63",Epithelial cell (basal),basal cell,CL:0000646,stem cell,Basal,"Signaling Alveolar Epithelial Type 2, Basal, Proximal Basal",Basal,"Signaling Alveolar Epithelial Type 2, Proximal Basal"
568,568,568,568,Lung,2,0.25,"DNAH7,DNAH12",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell,"Ciliated, Proximal Ciliated","Ciliated, Proximal Ciliated",Ciliated,"Ciliated, Proximal Ciliated"
569,569,569,569,Lung,2,0.25,"KIAA1324,SFTPB",Epithelial cell (club),club cell,CL:0000158,epithelial cell,"Club, Alveolar Epithelial Type 2","Club, Differentiating Basal, Goblet,  Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Platelet/Megakaryocyte",Signaling Alveolar Epithelial Type 2,"Club, Alveolar Epithelial Type 2"
570,570,570,570,Lung,2,0.25,"ST6GAL1,MEF2C",Immune (B cell),B cell,CL:0000236,b cell,Goblet,"Goblet, B, Plasma, IGSF21+ Dendritic, Signaling Alveolar Epithelial Type 2, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte, B, Plasmacytoid Dendritic, Myeloid Dendritic Type 2, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",B,"Goblet, B, Plasma, IGSF21+ Dendritic, Proliferating Basal, B, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte"
571,571,571,571,Lung,2,0.25,"CD247,PRKCH",Immune (NK cell),natural killer cell,CL:0000623,t/nk cell,Natural Killer,"CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer, Proliferating NK/T","Natural Killer, CD8+ T","CD8+ Memory/Effector T, CD8+ Naive T, Natural Killer T, Natural Killer"
572,572,572,572,Lung,2,0.25,"PARP8,BCL2",Immune (T cell),T cell,CL:0000084,t/nk cell,CD8+ Naive T,"Ionocyte, CD4+ Naive T, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer",CD4+ Naive T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T"
573,573,573,573,Lung,2,0.25,"ZEB2,SLC11A1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte,Intermediate Monocyte,"Vascular Smooth Muscle, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Macrophage, Proliferating Macrophage, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte",Monocyte,"Vascular Smooth Muscle, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte"
