,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
20,20,20,Lung,1,0.25,"TPX2,NUSAP1",Proliferating Macrophage,,,macrophage/monocyte,Proliferating Basal,"Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Lung Proliferating Basal, Proliferating NK/T"
21,21,21,Lung,1,0.25,"KIF2C,CENPF",Proliferating NK/T,,,t/nk cell,"Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Proliferating Basal, Proliferating NK/T, Proliferating Macrophage","Lung Proliferating Basal, Proliferating NK/T"
22,22,22,Lung,1,0.25,"SPRY1,VWF",Bronchial Vessel,,,bronchial cell,Capillary,"Proximal Basal, Proliferating Basal, Bronchial Vessel 1, Bronchial Vessel 2, Pericyte, Vein","Vein, Pericyte","Lung Bronchial Vessel 1, Vein"
23,23,23,Lung,1,0.25,"RARRES1,BPIFB1",Mucous,,,mucosal cell,Mucous,"Ciliated, Mucous, Myofibroblast, Adventitial Fibroblast, Lipofibroblast, Mesothelial, Basophil/Mast 1, Basophil/Mast 2, TREM2+ Dendritic, Goblet, Mucous, Serous","Mucous, Goblet","Lung Goblet, Mucous, Ciliated"
24,24,24,Lung,1,0.25,"SELP,PTPRB",Vein,,,blood vessel cell,"Artery, Vein","Artery, Vein, Bronchial Vessel 1, Platelet/Megakaryocyte, Artery, Vein, Capillary","Vein, Artery","Lung Artery, Vein, Platelet/Megakaryocyte"
25,25,25,Lung,1,0.25,"COL4A1,COX4I2",Pericyte,pericyte,CL:0000669,pericyte,Pericyte,"Alveolar Epithelial Type 1, Capillary, Bronchial Vessel 2, Pericyte, Vascular Smooth Muscle, Pericyte",Pericyte,"Lung Alveolar Epithelial Type 1, Capillary, Pericyte"
26,26,26,Lung,1,0.25,"MYL9,CSRP1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,"Airway Smooth Muscle, Vascular Smooth Muscle","Alveolar Epithelial Type 1, Capillary Intermediate 2, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Platelet/Megakaryocyte, Basal, Neuroendocrine, Alveolar Epithelial Type 1, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte","Alveolar Epithelial Type 1, Airway Smooth Muscle","Lung Airway Smooth Muscle, Vascular Smooth Muscle, Alveolar Epithelial Type 1"
27,27,27,Lung,1,0.25,"FBLN5,HEY1",Artery,,,blood vessel cell,"Alveolar Epithelial Type 1, Artery","Alveolar Epithelial Type 1, Artery, Bronchial Vessel 2, Adventitial Fibroblast, Alveolar Fibroblast, CD4+ Naive T, Proximal Basal, Differentiating Basal, Proliferating Basal, Goblet, Neuroendocrine, Artery, Basophil/Mast 2","Artery, Adventitial Fibroblast","Lung Goblet, Proximal Basal, Basophil/Mast 1"
28,28,28,Lung,1,0.25,"CLDN5,STXBP6",Capillary Aerocyte,,,epithelial cell,"Capillary Intermediate 1, Capillary Intermediate 2","Neuroendocrine, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Platelet/Megakaryocyte, OLR1+ Classical Monocyte, Goblet, Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Capillary Intermediate 2, Myofibroblast, Basophil/Mast 1, Basophil/Mast 2","Capillary Aerocyte, Capillary Intermediate 1","Lung Ionocyte, Proliferating NK/T, Capillary, Macrophage"
29,29,29,Lung,1,0.25,"SRSF11,ACVRL1",Capillary Intermediate,,,blood vessel cell,"Capillary Intermediate 1, Capillary Aerocyte, Natural Killer T, Macrophage, Proliferating Macrophage","Ionocyte, Natural Killer T, Natural Killer, Proliferating NK/T, Capillary Aerocyte, Capillary, Capillary Intermediate 1, Adventitial Fibroblast, Macrophage, Proliferating Macrophage","Natural Killer T, Capillary Intermediate 1","Lung Capillary, Capillary Intermediate 1, Proliferating Macrophage"
30,30,30,Lung,1,0.25,"WT1,OSR1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,Mesothelial,"Mesothelial, Lipofibroblast",Mesothelial,"Lipofibroblast, Mesothelial"
31,31,31,Lung,1,0.25,"DMKN,SLPI",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,Ciliated,"Lipofibroblast, Ciliated, Proximal Ciliated, Club, Mucous, Serous, Signaling Alveolar Epithelial Type 2",Ciliated,"Ciliated, Lymphatic, Mesothelial"
32,32,32,Lung,1,0.25,"GP6,ITGA2B",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",Platelet/Megakaryocyte,Platelet/Megakaryocyte,Platelet/Megakaryocyte,Platelet/Megakaryocyte
33,33,33,Lung,1,0.25,"CCL5,CXCR4",Natural Killer T,,,t/nk cell,CD8+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Proliferating NK/T",CD8+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer, Natural Killer T, Proliferating NK/T"
34,34,34,Lung,1,0.25,"CNN1,SCX",Fibromyocyte,,,muscle cell,Fibromyocyte,"Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte",Fibromyocyte,"Airway Smooth Muscle, Fibromyocyte"
35,35,35,Lung,1,0.25,"WFDC2,PSCA",Goblet,goblet cell,CL:0000160,epithelial cell,Mucous,"Differentiating Basal, Goblet, Mucous, Serous, Mesothelial, Platelet/Megakaryocyte, Ciliated, Proximal Ciliated",Goblet,"Differentiating Basal, Goblet, Serous, Mesothelial, Platelet/Megakaryocyte"
36,36,36,Lung,1,0.25,"PHGR1,STAC2",Ionocyte,ionocyte,CL:0005006,epithelial cell,Ionocyte,Ionocyte,Ionocyte,"Ionocyte, Neuroendocrine"
37,37,37,Lung,1,0.25,"CHGA,SCGN",Neuroendocrine,neuroendocrine cell,CL:0000165,epithelial cell,Neuroendocrine,Neuroendocrine,Neuroendocrine,Neuroendocrine
38,38,38,Lung,1,0.25,"PRB4,PRR4",Serous,serous secreting cell,CL:0000313,secretory cell,Serous,Serous,Serous,Serous
39,39,39,Lung,1,0.25,"C1QA,CTSL",Macrophages,macrophage,CL:0000235,macrophage/monocyte,Macrophage,"Mesothelial, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic, Ciliated, Proximal Ciliated, Alveolar Epithelial Type 1, Capillary, Lymphatic, Adventitial Fibroblast, Lipofibroblast, EREG+ Dendritic, OLR1+ Classical Monocyte",Macrophage,"Macrophage, Proliferating Macrophage, Mesothelial"
40,40,40,Lung,1,0.25,"CCL4,CD7",Innate lymphoid cell NK,natural killer cell,CL:0000623,t/nk cell,Natural Killer,"Natural Killer, CD8+ Memory/Effector T, CD8+ Naive T, Proliferating NK/T",T cells,"Macrophage, Natural Killer T"
41,41,41,Lung,1,0.25,"SFTA3,NAPSA",AT2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Epithelial Type 2,"Alveolar Epithelial Type 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Club",Alveolar Epithelial Type 2,"Alveolar Epithelial Type 1, Alveolar Epithelial Type 2"
42,42,42,Lung,1,0.25,"PECAM1,CLEC14A",EC venous,vein endothelial cell,CL:0002543,endothelial cell,Capillary,"Capillary Aerocyte, Capillary Intermediate 1, Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Artery, Capillary, Bronchial Vessel 2",Endothelial cells,"Capillary Aerocyte, Capillary Intermediate 1"
43,43,43,Lung,1,0.25,"CD3D,TRBC2",T cell lineage,T cell,CL:0000084,t/nk cell,CD4+ Memory/Effector T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T",T cell types,"CD4+ Naive T, CD8+ Memory/Effector T"
44,44,44,Lung,1,0.25,"GIMAP7,CRIP2",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell,CD4+ Memory/Effector T,"Artery, Capillary, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer, Proliferating NK/T, Proximal Ciliated, Goblet, Alveolar Epithelial Type 1, Artery, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte, CD4+ Memory/Effector T, Myeloid Dendritic Type 1",T cells,"CD8+ Naive T, CD4+ Memory/Effector T"
45,45,45,Lung,1,0.25,"CALD1,LUM",Fibroblasts,fibroblast,CL:0000057,fibroblast,Vascular Smooth Muscle,"Basal, Proliferating Basal, Neuroendocrine, Vascular Smooth Muscle, Pericyte, Platelet/Megakaryocyte, Adventitial Fibroblast, Alveolar Fibroblast","Adventitial Fibroblast, Alveolar Fibroblast","Basal, Alveolar Fibroblast"
46,46,46,Lung,1,0.25,"HOPX,SFTA2",AT1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Club, Alveolar Epithelial Type 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Capillary Aerocyte, Capillary Intermediate 1, Vascular Smooth Muscle, Fibromyocyte, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T, Alveolar Epithelial Type 1, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Alveolar Epithelial cells,"Club, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2"
47,47,47,Lung,1,0.25,"TMEM231,RP11-295M3.4",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,epithelial cell,Ciliated,"Ciliated, Proximal Ciliated",Ciliated,"Proliferating Basal, Proximal Basal"
48,48,48,Lung,1,0.25,"TSC22D3,IGLC2",B cell lineage,B cell,CL:0000236,b cell,Alveolar Epithelial Type 1,"Proximal Basal, Proliferating Basal, Neuroendocrine, Alveolar Epithelial Type 1, Artery, Capillary Aerocyte, Capillary Intermediate 1, Alveolar Fibroblast, Pericyte, Plasma, CD4+ Memory/Effector T, Natural Killer T, Basophil/Mast 1",T cells,"Goblet, Basal"
49,49,49,Lung,1,0.25,"BPIFB1,TACSTD2",Secretory,secretory cell,CL:0000151,secretory cell,Mucous,"Goblet, Mucous, Serous, Basal, Proximal Basal, Differentiating Basal, Proliferating Basal, Goblet, Alveolar Epithelial Type 1, Platelet/Megakaryocyte, Myeloid Dendritic Type 1","Mucous, Alveolar Epithelial Type 1","Goblet, Mucous, Serous"
50,50,50,Lung,1,0.25,"FCN1,COTL1",Monocytes,monocyte,CL:0000576,macrophage/monocyte,Classical Monocyte,"EREG+ Dendritic, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Bronchial Vessel 1, Myofibroblast, Mesothelial",Monocyte,"Classical Monocyte, Intermediate Monocyte"
51,51,51,Lung,1,0.25,"CCL28,ZG16B",Submucosal Secretory,,,secretory cell,Serous,"Serous, Proximal Ciliated, Goblet, Mucous",Serous,"Proximal Ciliated, Goblet, Mucous, Serous"
52,52,52,Lung,1,0.25,"HYAL2,CLEC14A",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell,Capillary,"Vein, Capillary, Alveolar Epithelial Type 1, Artery",Capillary,"Alveolar Epithelial Type 1, Capillary, Mesothelial"
53,53,53,Lung,1,0.25,"SDPR,RAMP2",Lymphatic EC mature,,,endothelial cell,Capillary Aerocyte,"Club, Basal, Alveolar Epithelial Type 1, Capillary Aerocyte, Capillary Intermediate 1, Capillary Intermediate 2, Alveolar Fibroblast, Basophil/Mast 1, Basophil/Mast 2, Platelet/Megakaryocyte, Ionocyte",Alveolar Fibroblast,"Alveolar Fibroblast, Club, Basal, Capillary Aerocyte"
54,54,54,Lung,1,0.25,"SDPR,AKAP12",Lymphatic EC differentiating,,,endothelial cell,Airway Smooth Muscle,"Capillary, Capillary Intermediate 1, Airway Smooth Muscle, Adventitial Fibroblast, Bronchial Vessel 2, Lymphatic",Capillary Intermediate 1,"Capillary Intermediate 1, Basal, Club, Airway Smooth Muscle"
55,55,55,Lung,1,0.25,"HLA-DQA1,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,dendritic cell,Proliferating Macrophage,"Mucous, Capillary Aerocyte, Capillary Intermediate 1, Macrophage, Proliferating Macrophage, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, Intermediate Monocyte, Proliferating Macrophage, Plasmacytoid Dendritic",Dendritic,"Plasmacytoid Dendritic, Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, Proliferating Macrophage"
56,56,56,Lung,1,0.25,"CTGF,TPM2",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,Airway Smooth Muscle,"Ciliated, Proximal Ciliated, Alveolar Epithelial Type 1, Bronchial Vessel 1/2, Myofibroblast, Fibromyocyte, Alveolar Fibroblast, Basal, Airway Smooth Muscle, Vascular Smooth Muscle, Plasmacytoid Dendritic",Basal,"Ciliated, Proximal Ciliated, Airway Smooth Muscle, Alveolar Epithelial Type 1"
57,57,57,Lung,1,0.25,"VWA5A,RGS13",Mast cells,mast cell,CL:0000097,granulocyte,Basophil/Mast 2,"Proximal Ciliated, Alveolar Fibroblast, Basophil/Mast 1/2",Basophil/Mast,"Basophil/Mast 1, Basophil/Mast 2, Proliferating Macrophage"
58,58,58,Lung,1,0.25,"FLNA,SELM",Fibromyocytes,,,muscle cell,Airway Smooth Muscle,"Alveolar Epithelial Type 1, Artery, Vein, Airway Smooth Muscle, Vascular Smooth Muscle, Fibromyocyte, Platelet/Megakaryocyte, Macrophage, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Serous, Signaling Alveolar Epithelial Type 2, Bronchial Vessel 1, Lymphatic, Plasma, Basophil/Mast 2, Basophil/Mast 2",Alveolar Epithelial Type 1,"Airway Smooth Muscle, Ionocyte, Neuroendocrine"
59,59,59,Lung,1,0.25,"COX20,EID1",Lymphatic EC proliferating,,,endothelial cell,Ionocyte,"Ionocyte, Airway Smooth Muscle, Proximal Basal, Goblet, Neuroendocrine",Airway Smooth Muscle,"Alveolar Epithelial Type 1, Vascular Smooth Muscle, Fibromyocyte"
60,60,60,Lung,1,0.25,"SEMA3A,ST6GALNAC3",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic,"Lymphatic, Signaling Alveolar Epithelial Type 2",Lymphatic,"Lymphatic, Signaling Alveolar Epithelial Type 2"
61,61,61,Lung,1,0.25,"RBMS3,LIMCH1",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,"Alveolar Epithelial Type 1, Alveolar Epithelial Type 1",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
62,62,62,Lung,1,0.25,"SFTPB,LRRK2",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,epithelial cell,Alveolar Epithelial Type 2,"Club, Alveolar Epithelial Type 2, Alveolar Epithelial Type 2",Alveolar Epithelial Type 2,Alveolar Epithelial Type 2
63,63,63,Lung,1,0.25,"MACROD2,FAF1",Epithelial cell (basal),basal cell,CL:0000646,stem cell,Basal,"Basal, Basal",Basal,Proximal Basal
64,64,64,Lung,1,0.25,"CFAP54,AGBL4",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell,Ciliated,"Ciliated, Ciliated",Ciliated,Ciliated
65,65,65,Lung,1,0.25,"MACROD2,KIAA1217",Epithelial cell (club),club cell,CL:0000158,epithelial cell,Capillary,"Basal, Capillary, Capillary Intermediate 1",Basal,Capillary
66,66,66,Lung,1,0.25,"ST6GAL1,MEF2C",Immune (B cell),B cell,CL:0000236,b cell,B,"Goblet, B, Plasma, IGSF21+ Dendritic, Signaling Alveolar Epithelial Type 2, Bronchial Vessel 1, Bronchial Vessel 2, Airway Smooth Muscle, Vascular Smooth Muscle, Pericyte, B, Plasmacytoid Dendritic, Myeloid Dendritic Type 2, IGSF21+ Dendritic, Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",B,"Goblet, B, Plasma"
67,67,67,Lung,1,0.25,"ARHGAP15,PARP8",Immune (NK cell),natural killer cell,CL:0000623,t/nk cell,CD8+ Memory/Effector T,"Vascular Smooth Muscle, CD8+ Memory/Effector T, CD4+ Memory/Effector T, CD4+ Naive T, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer",CD8+ Memory/Effector T,"CD8+ Memory/Effector T, Natural Killer"
68,68,68,Lung,1,0.25,"SKAP1,BCL2",Immune (T cell),T cell,CL:0000084,t/nk cell,CD8+ Naive T,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, Natural Killer T, Natural Killer, Proliferating NK/T, Ionocyte, CD4+ Naive T",CD8+ Memory/Effector T,"Macrophage, Nonclassical Monocyte"
69,69,69,Lung,1,0.25,"GPCPD1,SLC11A1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte,Macrophage,"Platelet/Megakaryocyte, Macrophage, Proliferating Macrophage, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte, Macrophage, Proliferating Macrophage, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Macrophage,"Macrophage, Proliferating Macrophage"
70,70,70,Lung,1,0.25,"FER,SRGN",Immune (mast cell),mast cell,CL:0000097,granulocyte,Basophil/Mast,"Basophil/Mast, Artery, Vein, Basophil/Mast 2, EREG+ Dendritic, OLR1+ Classical Monocyte",Basophil/Mast 1,Basophil/Mast 1
71,71,71,Lung,1,0.25,"ACTA2,INPP4B",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell",Vascular Smooth Muscle,"Airway Smooth Muscle, Vascular Smooth Muscle, Vascular Smooth Muscle, Pericyte, CD4+ Memory/Effector T, CD4+ Naive T",Vascular Smooth Muscle,Vascular Smooth Muscle
72,72,72,Lung,1,0.25,"PTPRB,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell,Capillary,"Artery, Vein, Capillary, Capillary, Capillary Intermediate 1, Capillary Intermediate 2, Basophil/Mast 1, Platelet/Megakaryocyte",Capillary,Capillary
73,73,73,Lung,1,0.25,"LAMA2,ROBO2",Fibroblast,fibroblast,CL:0000057,fibroblast,Myofibroblast,"Pericyte, Myofibroblast, Alveolar Fibroblast",Pericyte,Pericyte
74,74,74,Lung,1,0.25,"FKBP5,SRGN",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte",Intermediate Monocyte,"Proliferating Basal, Vein, Capillary Intermediate 1, Capillary Intermediate 2, Pericyte, IGSF21+ Dendritic, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte, Artery, Vein, Bronchial Vessel 2, Alveolar Fibroblast, Basophil/Mast 1, Basophil/Mast 2, EREG+ Dendritic, OLR1+ Classical Monocyte",Basophil/Mast 2,Airway Smooth Muscle
75,75,75,Lung,1,0.25,"EBF1,ACSL1",Adipocyte,fat cell,CL:0000136,fat cell,Pericyte,"Bronchial Vessel 1, Pericyte, B, Ionocyte, Neuroendocrine, Signaling Alveolar Epithelial Type 2, Macrophage, IGSF21+ Dendritic, EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Intermediate Monocyte",B,Bronchial Vessel 1
76,76,76,Lung,1,0.25,AGER,Alveolar Type I,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
77,77,77,Lung,1,0.25,LAMP3,Alveolar Type II,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Epithelial Type 2,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Myeloid Dendritic Type 1",Signaling Alveolar Epithelial Type 2,Alveolar Epithelial Type 2
78,78,78,Lung,1,0.25,CR2,B cell_memory,memory B cell,CL:0000787,b cell,No significant match,No matches found,Unknown,Ciliated
79,79,79,Lung,1,0.25,"DNAH5,FOXJ1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,epithelial cell,Ciliated,"Ciliated, Proximal Ciliated, Ciliated, Proximal Ciliated",Ciliated,Ciliated
80,80,80,Lung,1,0.25,SCGB3A2,Club Epithelial,club cell,CL:0000158,epithelial cell,Club,"Club, Signaling Alveolar Epithelial Type 2, Bronchial Vessel 2, Plasma, Platelet/Megakaryocyte",Club,Club
