,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
25,2025,2025,2025,Lung,5,0.25,"C1QB,VSIG4",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,Macrophage,Macrophages,Macrophages,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,0,0,0,0,1.0000,1.0000,1.0000,1.0000
26,2026,2026,2026,Lung,5,0.25,"KLRD1,PYHIN1",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural killer cells,NK Cell,Natural killer (NK) cells,Natural killer cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0,1.0000,1.0000,1.0000,1.0000
27,2027,2027,2027,Lung,5,0.25,"TNFRSF17,MZB1",Plasma,plasma cell,CL:0000786,b cell,Plasma cells,Plasma Cell,Plasma cells,Plasma cells,plasma cell,CL:0000786,plasma cell,CL:0000786,plasma cell,CL:0000786,plasma cell,CL:0000786,0,0,0,0,1.0000,1.0000,1.0000,1.0000
28,2028,2028,2028,Lung,5,0.25,"LPCAT1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar epithelial cells,Alveolar Type II Cell,Alveolar type II cells,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,0,1,0,0,1.0000,1.0000,1.0000,0.8333
29,2029,2029,2029,Lung,5,0.25,"KIT,CPA3",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast cells,Mast Cell,Mast cells,Mast cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,-1,-1,-1,-1,-1,-1,-1,-1
30,2030,2030,2030,Lung,5,0.25,"IFITM2,FCGR3A",CD16+ Monocyte,,,macrophage/monocyte,Natural killer cells,Monocyte,Macrophages,Immune cells,monocyte,CL:0000576,natural killer cell,CL:0000623,macrophage,CL:0000235,leukocyte,CL:0000738,2,-1,4,4,0.5000,0.4286,0.6667,0.3333
31,2031,2031,2031,Lung,5,0.25,"CD81,CDC42EP1",Capillary,,,blood vessel cell,T cells,Hepatocyte,Epithelial Cells,B cells,hepatocyte,CL:0000182,t cell,CL:0000084,epithelial cell,CL:0000066,b cell,CL:0000236,-1,-1,6,-1,-1,-1,-1,-1
32,2032,2032,2032,Lung,5,0.25,"RPL34,NKG7",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,T cells,T Cell,Natural Killer Cells,Natural Killer (NK) cells,t cell,CL:0000084,t cell,CL:0000084,natural killer cell,CL:0000623,natural killer cell,CL:0000623,3,3,-1,-1,0.4167,0.4167,0.6667,0.6667
33,2033,2033,2033,Lung,5,0.25,"C16orf89,CTSE",Club,club cell,CL:0000158,epithelial cell,Unknown (no clear cell type association with these markers),Gastric Epithelial Cell,Alveolar Cells,Airway epithelial cells,epithelial cell,CL:0000066,clear chief cell of parathyroid gland,CL:0002147,alveolar macrophage,CL:0000583,respiratory epithelial cell,CL:0002368,2,-1,-1,3,0.2500,0.6250,0.5000,0.3636
34,2034,2034,2034,Lung,5,0.25,"COL6A3,LTBP1",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Fibroblasts,Fibroblast,Fibroblasts,Fibroblasts,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,-1,-1,-1,0.6000,0.6000,0.6000,0.6000
35,2035,2035,2035,Lung,5,0.25,"SEC61B,PPP1R14B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Endoplasmic reticulum-associated cells,Hepatocyte,Secretory Cells,Endothelial cells,hepatocyte,CL:0000182,neuron associated cell,CL:0000095,secretory cell,CL:0000151,endothelial cell,CL:0000115,-1,-1,-1,-1,0.1429,0.2857,0.2500,0.2500
36,2036,2036,2036,Lung,5,0.25,"CDK1,TPX2",Proliferating Macrophage,,,macrophage/monocyte,Cycling cells,Mitotic Cell,Mitotic Cells,Proliferating cells,basal cell,CL:0000646,cycling B cell,CL:4033068,basal cell,CL:0000646,cycling B cell,CL:4033068,-1,-1,-1,-1,0.2500,0.3636,0.2500,0.3636
37,2037,2037,2037,Lung,5,0.25,"HMGB2,TOP2A",Proliferating NK/T,,,t/nk cell,Cycling cells,Mitotic Cell,Proliferating Cells,Proliferating cells,basal cell,CL:0000646,cycling B cell,CL:4033068,cycling B cell,CL:4033068,cycling B cell,CL:4033068,-1,-1,-1,-1,0.4167,0.4167,0.1667,0.4167
38,2038,2038,2038,Lung,5,0.25,"SPRY1,ZNF385D",Bronchial Vessel,,,bronchial cell,Unknown (no clear cell type association with these markers),Fibroblast,Mesenchymal Cells,Epithelial cells,fibroblast,CL:0000057,clear chief cell of parathyroid gland,CL:0002147,mesenchymal cell,CL:0008019,epithelial cell,CL:0000066,10,-1,10,5,0.2857,0.4286,0.2500,0.3636
39,2039,2039,2039,Lung,5,0.25,"LCN2,SAA1",Mucous,,,mucosal cell,Neutrophils,Neutrophil,Inflammatory Cells,Inflammatory cells,neutrophil,CL:0000775,neutrophil,CL:0000775,inflammatory cell,CL:0009002,inflammatory cell,CL:0009002,"{'CL:0000775': 0, 'CL:0000096': 1, 'CL:0000776': 1, 'GO:0001780': 1, 'GO:0001781': 1, 'GO:0002446': 1, 'GO:0030223': 1, 'GO:0042119': 1, 'GO:0043312': 1, 'GO:1990266': 1, 'CL:0000560': 2, 'CL:0011114': 2, 'CL:0000580': 2, 'CL:0000582': 2, 'GO:0033029': 2, 'GO:0033030': 2, 'GO:0033031': 2, 'GO:0070942': 2, 'CL:0000834': 2, 'GO:0045658': 2, 'GO:0045659': 2, 'GO:0045660': 2, 'GO:0002283': 2, 'GO:1902563': 2, 'GO:1902564': 2, 'GO:1902565': 2, 'GO:0043313': 2, 'GO:0043314': 2, 'GO:0043315': 2, 'GO:0030593': 2, 'GO:1902622': 2, 'GO:1902623': 2, 'GO:1902624': 2, 'GO:0070948': 3, 'GO:0070954': 3, 'GO:0070960': 3, 'CL:0000042': 3, 'CL:0000564': 3, 'GO:0090022': 3, 'GO:0090023': 3, 'GO:0090024': 3, 'CL:0000312': 4, 'CL:0000242': 5, 'CL:0000649': 5, 'CL:0002153': 5, 'CL:0002187': 5, 'CL:0002189': 5, 'CL:0002190': 5, 'CL:0002337': 5, 'CL:1001606': 5, 'CL:2000092': 5, 'CL:4033013': 5, 'CL:4033056': 5, 'GO:0003334': 5, 'GO:0030216': 5, 'GO:0032980': 5, 'GO:0043616': 5, 'GO:0051546': 5, 'GO:0097283': 5, 'UBERON:0005941': 5, 'UBERON:0008198': 5, 'UBERON:0002025': 6, 'UBERON:0002026': 6, 'GO:0003335': 6, 'UBERON:0002027': 6, 'CL:2000033': 6, 'CL:0010000': 6, 'GO:0031424': 6, 'GO:0045616': 6, 'GO:0045617': 6, 'GO:0045618': 6, 'GO:0010837': 6, 'GO:0010838': 6, 'GO:0010839': 6, 'GO:0051547': 6, 'GO:0051548': 6, 'GO:0051549': 6, 'GO:1902172': 6, 'GO:1902173': 6, 'GO:1902174': 6, 'CL:0002560': 6, 'UBERON:0035610': 6, 'UBERON:0010402': 7, 'UBERON:0002069': 7, 'CL:0000712': 8}","{'CL:0000775': 0, 'CL:0000096': 1, 'CL:0000776': 1, 'GO:0001780': 1, 'GO:0001781': 1, 'GO:0002446': 1, 'GO:0030223': 1, 'GO:0042119': 1, 'GO:0043312': 1, 'GO:1990266': 1, 'CL:0000560': 2, 'CL:0011114': 2, 'CL:0000580': 2, 'CL:0000582': 2, 'GO:0033029': 2, 'GO:0033030': 2, 'GO:0033031': 2, 'GO:0070942': 2, 'CL:0000834': 2, 'GO:0045658': 2, 'GO:0045659': 2, 'GO:0045660': 2, 'GO:0002283': 2, 'GO:1902563': 2, 'GO:1902564': 2, 'GO:1902565': 2, 'GO:0043313': 2, 'GO:0043314': 2, 'GO:0043315': 2, 'GO:0030593': 2, 'GO:1902622': 2, 'GO:1902623': 2, 'GO:1902624': 2, 'GO:0070948': 3, 'GO:0070954': 3, 'GO:0070960': 3, 'CL:0000042': 3, 'CL:0000564': 3, 'GO:0090022': 3, 'GO:0090023': 3, 'GO:0090024': 3, 'CL:0000312': 4, 'CL:0000242': 5, 'CL:0000649': 5, 'CL:0002153': 5, 'CL:0002187': 5, 'CL:0002189': 5, 'CL:0002190': 5, 'CL:0002337': 5, 'CL:1001606': 5, 'CL:2000092': 5, 'CL:4033013': 5, 'CL:4033056': 5, 'GO:0003334': 5, 'GO:0030216': 5, 'GO:0032980': 5, 'GO:0043616': 5, 'GO:0051546': 5, 'GO:0097283': 5, 'UBERON:0005941': 5, 'UBERON:0008198': 5, 'UBERON:0002025': 6, 'UBERON:0002026': 6, 'GO:0003335': 6, 'UBERON:0002027': 6, 'CL:2000033': 6, 'CL:0010000': 6, 'GO:0031424': 6, 'GO:0045616': 6, 'GO:0045617': 6, 'GO:0045618': 6, 'GO:0010837': 6, 'GO:0010838': 6, 'GO:0010839': 6, 'GO:0051547': 6, 'GO:0051548': 6, 'GO:0051549': 6, 'GO:1902172': 6, 'GO:1902173': 6, 'GO:1902174': 6, 'CL:0002560': 6, 'UBERON:0035610': 6, 'UBERON:0010402': 7, 'UBERON:0002069': 7, 'CL:0000712': 8}",{'CL:0009002': 0},{'CL:0009002': 0},-1,-1,-1,-1
40,2040,2040,2040,Lung,5,0.25,"SLCO2A1,SRPX",Vein,,,blood vessel cell,Unknown (no clear cell type association with these markers),Endothelial Cells,Endothelial cells,Type II Alveolar Cells,endothelial cell,CL:0000115,clear chief cell of parathyroid gland,CL:0002147,endothelial cell,CL:0000115,pulmonary alveolar type 2 cell,CL:0002063,4,-1,4,-1,-1,-1,-1,-1
41,2041,2041,2041,Lung,5,0.25,"COL4A1,COX4I2",Pericyte,pericyte,CL:0000669,pericyte,Endothelial cells,Fibroblast,Type II alveolar cells,Endothelial Cells,fibroblast,CL:0000057,endothelial cell,CL:0000115,pulmonary alveolar type 2 cell,CL:0002063,endothelial cell,CL:0000115,10,8,-1,8,0.3333,0.4000,0.6000,0.4000
42,2042,2042,2042,Lung,5,0.25,"DES,PLN",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Myofibroblast,"Smooth Muscle Cells, Fibroblasts",Smooth muscle cells,Myofibroblasts,muscle fibroblast,CL:1001609,myofibroblast cell,CL:0000186,smooth muscle cell,CL:0000192,myofibroblast cell,CL:0000186,-1,-1,0,-1,1.0000,0.3333,0.2500,0.3333
43,2043,2043,2043,Lung,5,0.25,"PTPRB,GJA5",Artery,,,blood vessel cell,Smooth Muscle Cell,Endothelial Cells,Vascular endothelial cells,Endothelial Cells,endothelial cell,CL:0000115,smooth muscle cell,CL:0000192,endothelial cell of vascular tree,CL:0002139,endothelial cell,CL:0000115,4,-1,4,4,-1,-1,-1,-1
44,2044,2044,2044,Lung,5,0.25,"CLDN5,TBX2",Capillary Aerocyte,,,epithelial cell,Endothelial Cell,Endothelial Cells,Endothelial cells,Epithelial Cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,epithelial cell,CL:0000066,4,4,4,7,0.4286,0.2500,0.4286,0.4286
45,2045,2045,2045,Lung,5,0.25,"RALA,ACVRL1",Capillary Intermediate,,,blood vessel cell,Endothelial Cell,Endothelial Cells,Endothelial cells,Smooth Muscle Cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,smooth muscle cell,CL:0000192,-1,-1,-1,-1,0.3333,0.2500,0.3333,0.3333
46,2046,2046,2046,Lung,5,0.25,"WT1,C3",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,Mesothelial Cell,"Podocytes, Complement Component Cells",Mesothelial cells,Mesothelial Cells,complement component C1q receptor,PR:000002037,mesothelial cell,CL:0000077,mesothelial cell,CL:0000077,mesothelial cell,CL:0000077,-1,7,7,7,0.2500,0.2500,-1,0.2500
47,2047,2047,2047,Lung,5,0.25,"ALDH1A3,GALNT9",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,Mesenchymal Stem Cell,"Muller Glia Cells, Goblet Cells",Epithelial cells,Alveolar Macrophages,Mueller cell,CL:0000636,mesenchymal stem cell,CL:0000134,epithelial cell,CL:0000066,alveolar macrophage,CL:0000583,-1,-1,2,-1,0.6000,0.2222,0.2500,0.2857
48,2048,2048,2048,Lung,5,0.25,"GRAP2,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",Platelet,"Platelets, Megakaryocytes",Platelets,Platelets,megakaryocyte,CL:0000556,platelet,CL:0000233,platelet,CL:0000233,platelet,CL:0000233,-1,-1,-1,-1,-1,-1,-1,-1
49,2049,2049,2049,Lung,5,0.25,"CEBPB,LGALS1",Natural Killer T,,,t/nk cell,Macrophage,"Macrophages, Monocytes",Macrophages,Immune Cells,monocyte,CL:0000576,macrophage,CL:0000235,macrophage,CL:0000235,leukocyte,CL:0000738,-1,-1,-1,4,0.4000,0.3750,0.4000,0.4000
