tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-2024-08-06_myRAG_annotation,gpt-4o-2024-08-06_myRAG_Clname,gpt-4o-2024-08-06_myRAG_CLID
Lung,"PRF1, NKG7, KLRF1, CD247, GNLY, PYHIN1, KLRD1, SPON2, FCGR3A, GZMB",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural Killer Cells,natural killer cell,CL:0000623,natural killer cell,natural killer cell,CL:0000623
Lung,"MZB1, DERL3, SEC11C, XBP1, TNFRSF17, SSR4, POU2AF1, HSP90B1, PRDX4, MANF",Plasma,plasma cell,CL:0000786,b cell,Plasma Cells,plasma cell,CL:0000786,plasma cell,plasma cell,CL:0000786
Lung,"SFTPA1, SFTPA2, NAPSA, SFTPB, SFTPD, SFTPC, SLC34A2, ABCA3, LAMP3, LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar Type II Cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063
Lung,"KIT, CPA3, TPSAB1, HPGDS, VWA5A, MS4A2, HDC, CD44, GATA2, GRAP2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast Cells,mast cell,CL:0000097,basophil/mast cell,basophil mast progenitor cell,CL:0002028
Lung,"LST1, LILRB2, AIF1, COTL1, SAT1, FCN1, FCGR3A, RPS19, RHOC, IFITM2",CD16+ Monocyte,,,macrophage/monocyte,Monocytes,monocyte,CL:0000576,nonclassical monocyte,monocyte,CL:0000576
Lung,"FCN3, EPAS1, RAMP3, CDH5, PODXL, BTNL9, NOSTRIN, FLNB, CDC42EP1, CD81",Capillary,,,blood vessel cell,Endothelial Cells,endothelial cell,CL:0000115,capillary interum intermediate cell,capillary endothelial cell,CL:0002144
Lung,"CCL5, CD3D, NKG7, GZMH, CD3G, CD8A, GZMA, CD8B, RPS27, RPL34",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,Cytotoxic T Cells,cytotoxic t cell,CL:0000910,natural killer t cell,natural killer cell,CL:0000623
Lung,"SCGB3A2, CYB5A, SFTPB, PIGR, C16orf89, CTSE, KIAA1324, CEACAM6, WFDC2, DSTN",Club,club cell,CL:0000158,epithelial cell,Club Cells,club cell,CL:0000158,club cell,club cell,CL:0000158
Lung,"COL1A1, COL1A2, COL3A1, COL6A3, ASPN, LTBP1, ITGBL1, CALD1, POSTN, BGN",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Fibroblasts,fibroblast,CL:0000057,myofibroblast cell,myofibroblast cell,CL:0000186
Lung,"PPP1R14B, IRF4, GZMB, IL3RA, IRF7, PLD4, SEC61B, PTPRE, NPC2, TYROBP",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,Plasmacytoid Dendritic Cells,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784
Lung,"H2AFZ, CDK1, UBE2C, ANLN, BIRC5, NUSAP1, STMN1, TPX2, TYMS, KPNA2",Proliferating Macrophage,,,macrophage/monocyte,Proliferating Cells,cycling B cell,CL:4033068,proliferatum basal cell,basal cell,CL:0000646
Lung,"NUSAP1, TOP2A, HMGB2, BIRC5, H2AFV, SMC4, CENPF, AURKB, UBE2C, KIF2C",Proliferating NK/T,,,t/nk cell,Proliferating Cells,cycling B cell,CL:4033068,proliferating nk/t cell,mature NK T cell,CL:0000814
Lung,"PLVAP, ZNF385D, SPRY1, POSTN, SPARCL1, VWF, EMCN, COL15A1, INHBB, ENPP2",Bronchial Vessel,,,bronchial cell,Endothelial cells,endothelial cell,CL:0000115,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071
Lung,"SCGB3A1, BPIFB1, SLPI, LCN2, WFDC2, SAA1, SCGB1A1, RARRES1, MUC5B, MSMB",Mucous,,,mucosal cell,Club cells,club cell,CL:0000158,mucous cell,mucus secreting cell,CL:0000319
Lung,"VWF, SELP, SLCO2A1, LIFR, PLA1A, PTPRB, PRSS23, CPE, TGM2, SRPX",Vein,,,blood vessel cell,Endothelial cells,endothelial cell,CL:0000115,vein endothelial cell,vein endothelial cell,CL:0002543
Lung,"COX4I2, PDGFRB, TACC1, CALD1, NID1, COL4A1, COL4A2, LAMB1, LAMC3, CHN1",Pericyte,pericyte,CL:0000669,pericyte,Fibroblasts,fibroblast,CL:0000057,pericyte,pericyte,CL:0000669
Lung,"TPM2, ACTA2, MYL9, MYH11, CALD1, DSTN, CNN1, DES, PLN, CSRP1",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Smooth muscle cells,smooth muscle cell,CL:0000192,airway smooth muscle,smooth muscle cell,CL:0000192
Lung,"DKK2, PTPRB, EFNB2, EPAS1, GJA5, HEY1, ARGLU1, FBLN5, SEMA3G, BMX",Artery,,,blood vessel cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell of artery,endothelial cell of artery,CL:1000413
Lung,"HPGD, APP, EDNRB, EMCN, ESAM, STXBP6, CLDN5, CYP3A5, SOSTDC1, TBX2",Capillary Aerocyte,,,epithelial cell,Endothelial cells,endothelial cell,CL:0000115,alveolar capillary type 2 endothelial cell,alveolar capillary type 2 endothelial cell,CL:4028003
Lung,"EPAS1, SH3BP5, RALA, PECAM1, WWTR1, GALNT18, ACVRL1, SRSF11, VAT1, IPO7",Capillary Intermediate,,,blood vessel cell,Endothelial cells,endothelial cell,CL:0000115,capillary interum intermediate cell,capillary endothelial cell,CL:0002144
Lung,"WT1, STEAP1, MEDAG, OSR1, CPXM1, FGF7, CCDC71L, HAS1, C3, C7",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,fibroblast,Mesothelial cells,mesothelial cell,CL:0000077,mesothelial cell,mesothelial cell,CL:0000077
Lung,"GALNT9, ITLN1, WT1, PRG4, MGARP, C3, ALDH1A3, DMKN, SLPI, DSC3",Mesothelial,mesothelial cell,CL:0000077,epithelial cell,Mesothelial cells,mesothelial cell,CL:0000077,mesothelial cell,mesothelial cell,CL:0000077
Lung,"TUBB1, CMTM5, ACRBP, PF4, GP9, TMEM40, ITGA2B, GRAP2, GP6, CABP5",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556","platelet,megakaryocyte",Megakaryocytes,megakaryocyte,CL:0000556,"platelet,megakaryocyte",megakaryocyte,CL:0000556
Lung,"GNLY, CD7, CTSW, CCL5, CD2, ZFP36L2, CXCR4, LGALS1, CEBPB, S100A6",Natural Killer T,,,t/nk cell,T-cells,T cell,CL:0000084,"natural killer t cell,cd8+ memory/effector t cell,proliferating nk/t cell,natural killer cell,cd8+ naive t cell",natural T-regulatory cell,CL:0000903
Lung,"SCX, FAM150A, HSPB3, RAMP1, CSRP1, CNN1, CST5, IGF1, CLU, MET",Fibromyocyte,,,muscle cell,Fibroblasts,fibroblast,CL:0000057,fibromyocyte,,
Lung,"S100P, FAM3D, CXCL17, GABRP, WFDC2, PSCA, AGR2, TXN, CLIC1, COX5A",Goblet,goblet cell,CL:0000160,epithelial cell,Club cells,club cell,CL:0000158,"goblet cell,serous cell,differentiatum basal cell",goblet cell,CL:0000160
Lung,"PHGR1, ASCL3, HEPACAM2, FOXI1, TMPRSS11E, ATP6V1B1, BSND, TFF3, STAC2, MFSD6L",Ionocyte,ionocyte,CL:0005006,epithelial cell,Goblet cells,goblet cell,CL:0000160,ionocyte cell,ionocyte,CL:0005006
Lung,"PCSK1N, BEX1, SEC11C, CPE, NENF, PRDX2, CHGA, EGR1, FAM46A, SCGN",Neuroendocrine,neuroendocrine cell,CL:0000165,epithelial cell,Neuroendocrine cells,neuroendocrine cell,CL:0000165,neuroendocrine cell,neuroendocrine cell,CL:0000165
Lung,"ZG16B, LYZ, PRB4, PRB3, PRH2, PRR4, TCN1, LPO, PHB, TESC",Serous,serous secreting cell,CL:0000313,secretory cell,Serous cells,serous secreting cell,CL:0000313,serous cell,serous secreting cell,CL:0000313
Lung,"C1QB, C1QA, HLA-DRB1, AIF1, LYZ, CTSZ, CTSL, FCER1G, C1QC, LAPTM5",Macrophages,macrophage,CL:0000235,macrophage/monocyte,Macrophages,macrophage,CL:0000235,macrophage,macrophage,CL:0000235
Lung,"GZMA, CD7, CCL4, CST7, NKG7, GNLY, CTSW, CCL5, GZMB, PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,t/nk cell,Natural Killer cells,natural killer cell,CL:0000623,natural killer cell,natural killer cell,CL:0000623
Lung,"NAPSA, SFTPD, PEBP4, SLC39A8, SLC34A2, CYB5A, MUC1, S100A14, SFTA2, SFTA3",AT2,type II pneumocyte,CL:0002063,epithelial cell,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063
Lung,"VWF, MGP, RAMP3, GNG11, RAMP2, SPARCL1, IGFBP7, CLEC14A, ACKR1, PECAM1",EC venous,vein endothelial cell,CL:0002543,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071
Lung,"CD69, CORO1A, CXCR4, CD3E, TRBC2, TRAC, CD2, CCL5, IL32, CD3D",T cell lineage,T cell,CL:0000084,t/nk cell,T cells,t cell,CL:0000084,cd4+ memory/effector t cell,"effector memory CD4-positive, alpha-beta T cell",CL:0000905
Lung,"SPARCL1, SOX17, IFI27, TM4SF1, A2M, CLEC14A, GIMAP7, CRIP2, CLDN5, PECAM1",EC arterial,endothelial cell of artery,CL:1000413,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071
Lung,"BGN, DCN, MGP, SPARC, CALD1, LUM, COL6A1, IGFBP7, COL1A2, C1S",Fibroblasts,fibroblast,CL:0000057,fibroblast,Fibroblasts,fibroblast,CL:0000057,adventitial fum fibroblast,alveolar adventitial fibroblast,CL:4028006
Lung,"SFTA2, CEACAM6, FXYD3, CAV1, TSPAN13, KRT7, ADIRF, HOPX, AGER, EMP2",AT1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar type I and type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062
Lung,"SNTN, FAM229B, TMEM231, C5orf49, C12orf75, GSTA1, C11orf97, RP11-356K23.1, CD24, RP11-295M3.4",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,epithelial cell,Club cells or Clara cells,club cell,CL:0000158,ciliated cell,ciliated cell,CL:0000064
Lung,"TSC22D3, ISG20, IGHA1, CORO1A, IGKC, IGLC2, LTB, CD79A, CD37, MS4A1",B cell lineage,B cell,CL:0000236,b cell,B cells,b cell,CL:0000236,cd4+ memory/effector t cell,"effector memory CD4-positive, alpha-beta T cell",CL:0000905
Lung,"KRT19, CEACAM6, WFDC2, TACSTD2, CXCL17, BPIFB1, MUC1, CP, KRT7, PIGR",Secretory,secretory cell,CL:0000151,secretory cell,Epithelial cells,epithelial cell,CL:0000066,goblet cell,goblet cell,CL:0000160
Lung,"FCER1G, S100A9, S100A12, VCAN, COTL1, S100A8, CD14, LST1, FCN1, AIF1",Monocytes,monocyte,CL:0000576,macrophage/monocyte,Macrophages,macrophage,CL:0000235,classical monocyte,classical monocyte,CL:0000860
Lung,"CCL28, PIP, ZG16B, PIGR, SEC11C, MARCKSL1, SELM, LTF, TCN1, AZGP1",Submucosal Secretory,,,secretory cell,Secretory cells,secretory cell,CL:0000151,mucous cell,mucus secreting cell,CL:0000319
Lung,"IFI27, TM4SF1, CLEC14A, CDH5, PECAM1, HYAL2, SPARCL1, EGFL7, CLDN5, AQP1",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071
Lung,"PPFIBP1, GNG11, RAMP2, CCL21, MMRN1, IGFBP7, SDPR, TM4SF1, CLDN5, ECSCR",Lymphatic EC mature,,,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138
Lung,"AKAP12, TFF3, SDPR, CLDN5, TCF4, TFPI, TIMP3, GNG11, CCL21, IGFBP7",Lymphatic EC differentiating,,,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,ionocyte cell,ionocyte,CL:0005006
Lung,"CORO1A, MS4A6A, ITGB2, GPR183, HLA-DRB1, HLA-DPB1, HLA-DPA1, HLA-DQB1, HLA-DQA1, HLA-DMA",Dendritic cells,dendritic cell,CL:0000451,dendritic cell,Dendritic cells,dendritic cell,CL:0000451,nonclassical monocyte,monocyte,CL:0000576
Lung,"CALD1, CYR61, TAGLN, MT1X, PRELP, TPM2, GPX3, CTGF, IGFBP5, SPARCL1",Myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell,Fibroblasts,fibroblast,CL:0000057,fibromyocyte,,
Lung,"VWA5A, RGS13, C1orf186, HPGDS, CPA3, GATA2, MS4A2, KIT, TPSAB1, TPSB2",Mast cells,mast cell,CL:0000097,granulocyte,Mast cells,mast cell,CL:0000097,basophil/mast cell,basophil mast progenitor cell,CL:0002028
Lung,"NEXN, ACTG2, LMOD1, IGFBP7, PPP1R14A, DES, FLNA, TPM2, PLN, SELM",Fibromyocytes,,,muscle cell,Smooth muscle cells,smooth muscle cell,CL:0000192,pericyte,pericyte,CL:0000669
Lung,"S100A16, TUBB, HMGN2, COX20, LSM2, HMGN1, ARPC1A, ECSCR, EID1, MARCKS",Lymphatic EC proliferating,,,endothelial cell,Epithelial cells,epithelial cell,CL:0000066,proliferatum basal cell,basal cell,CL:0000646
Lung,"PKHD1L1, KALRN, ST6GALNAC3, PPFIBP1, MMRN1, CD36, TSHZ2, SEMA3A, LDB2, FBXL7",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Macrophages,macrophage,CL:0000235,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138
Lung,"NCKAP5, EMP2, LIMCH1, KHDRBS2, RBMS3, NTM, LAMA3, LMO7, RAB11FIP1, ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,epithelial cell,Fibroblasts,fibroblast,CL:0000057,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062
Lung,"ZNF385B, LRRK2, MACROD2, SFTPB, PDE4D, SFTPC, ANK3, ERBB4, AUTS2, ABCA3",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,epithelial cell,Alveolar Type II Cells,pulmonary alveolar type 2 cell,CL:0002063,signaling alveolar epithelium type 2,pulmonary alveolar type 2 cell,CL:0002063
Lung,"MACROD2, EYA2, RBMS3, CACHD1, GLIS3, TP63, FAF1, XPR1, SSBP2, KRT17",Epithelial cell (basal),basal cell,CL:0000646,stem cell,Epithelial Cells,epithelial cell,CL:0000066,signaling alveolar epithelium type 2,pulmonary alveolar type 2 cell,CL:0002063
Lung,"C4orf22, AGBL4, LRRIQ1, DNAH12, HYDIN, STK33, TMEM232, CDHR3, CFAP54, DNAH7",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell,Ciliated Epithelial Cells,ciliated epithelial cell,CL:0000067,ciliated cell,ciliated cell,CL:0000064
Lung,"SFTPB, MACROD2, KIAA1217, NEDD4L, MECOM, SCGB3A2, ERBB4, BMPR1B, KIAA1324, CDK14",Epithelial cell (club),club cell,CL:0000158,epithelial cell,Alveolar Type II Cells,pulmonary alveolar type 2 cell,CL:0002063,signaling alveolar epithelium type 2,pulmonary alveolar type 2 cell,CL:0002063
Lung,"ST6GAL1, MEF2C, RALGPS2, ARHGAP15, FCHSD2, PLCG2, FBXW7, DENND5B, CREB3L2, PDK1",Immune (B cell),B cell,CL:0000236,b cell,Fibroblasts,fibroblast,CL:0000057,B cell,b cell,CL:0000236
Lung,"AOAH, SKAP1, ARHGAP15, B2M, CD247, FYN, KLRD1, PRKCH, PIP4K2A, PARP8",Immune (NK cell),natural killer cell,CL:0000623,t/nk cell,T-cells,T cell,CL:0000084,natural killer cell,natural killer cell,CL:0000623
Lung,"ARHGAP15, PARP8, SKAP1, THEMIS, FKBP5, PTPRC, FYN, BCL2, SYTL3, ITK",Immune (T cell),T cell,CL:0000084,t/nk cell,T-cells,T cell,CL:0000084,proliferating nk/t cell,mature NK T cell,CL:0000814
Lung,"PLXDC2, SLC11A1, PPARG, MSR1, FMNL2, RNF149, TFRC, DOCK8, GPCPD1, ZEB2",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte,Macrophages,macrophage,CL:0000235,macrophage,macrophage,CL:0000235
Lung,"TPSB2, TPSAB1, SLC24A3, ARHGAP15, IL18R1, SAMSN1, KIT, SRGN, SYTL3, FER",Immune (mast cell),mast cell,CL:0000097,granulocyte,Mast Cells,mast cell,CL:0000097,basophil/mast cell,basophil mast progenitor cell,CL:0002028
Lung,"PRKG1, CALD1, LPP, INPP4B, CACNA1C, EBF1, TPM1, MYH11, DMD, ACTA2",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell",Smooth Muscle Cells,smooth muscle cell,CL:0000192,vascular smooth muscle,vascular associated smooth muscle cell,CL:0000359
Lung,"LDB2, EPAS1, TIMP3, PECAM1, PTPRB, TCF4, CALCRL, PTPRM, EGFL7, ST6GALNAC3",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,capillary interum intermediate cell,capillary endothelial cell,CL:0002144
Lung,"PRKG1, SLIT2, LSAMP, RBMS3, LAMA2, ARHGAP6, ROBO2, RORA, PLEKHH2, PLXDC2",Fibroblast,fibroblast,CL:0000057,fibroblast,Mesenchymal cells,mesenchymal cell,CL:0008019,adventitial fum fibroblast,alveolar adventitial fibroblast,CL:4028006
Lung,"PLXDC2, ZEB2, SLC8A1, TBXAS1, FKBP5, SRGN, CD74, PIK3R5, CTSB, CHST11",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte",Mesenchymal cells,mesenchymal cell,CL:0008019,myeloid dendritic cell type 2,myeloid dendritic cell,CL:0000782
Lung,"G0S2, ACSL1, ADIPOQ, EBF1, PLIN2, PLIN1, GHR, LPIN1, FOXO1, PPARG",Adipocyte,fat cell,CL:0000136,fat cell,Adipocytes,adipocyte,CL:0000136,alveolar fum fibroblast,alveolar adventitial fibroblast,CL:4028006
Lung,"AGER, PDPN, HOPX, EMP2, CAV1",Alveolar Type I,type I pneumocyte,CL:0002062,epithelial cell,Alveolar epithelial cells,pulmonary alveolar epithelial cell,CL:0000322,alveolar fum fibroblast,alveolar adventitial fibroblast,CL:4028006
Lung,"SFTPB, SFTPC, LAMP3, SLC34A2, NKX2-1",Alveolar Type II,type II pneumocyte,CL:0002063,epithelial cell,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062
Lung,"CR2, CD24, FAS, CXCR3, CD1c",B cell_memory,memory B cell,CL:0000787,b cell,Dendritic cells,dendritic cell,CL:0000451,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063
Lung,"FOXJ1, TUBA1A, CDHR3, HYDIN, FAM92B, DNAH5, DNAI2, DNAI1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,epithelial cell,Ciliated epithelial cells,ciliated epithelial cell,CL:0000067,ciliated cell,ciliated cell,CL:0000064
Lung,"BPIFA1, SCGB1A1, SCGB3A1, SCGB3A2, MUC5B, SLPI, CYP2F2",Club Epithelial,club cell,CL:0000158,epithelial cell,Club cells,club cell,CL:0000158,mucous cell,mucus secreting cell,CL:0000319
Lung,"COL6A1, COL1A1, COL3A1, COL5A1, NEGR1, CCN2, FN1, DCN, SLIT2, COL6A6, HGF, COL18A1, IL6, IL33, IGFBP3, IGFBP5, COL1A2, DDR2, COL5A2, COL6A2, COL6A3, FBLN1, COL4A1, FBN1, VIM",Fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblasts,fibroblast,CL:0000057,fibroblast cell,fibroblast,CL:0000057
Lung,"MMRN1, FLT4, RELN, CCL21, PROX1, LYVE1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,Lymphatic endothelial cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138
Lung,"CD163, MS4A4A, RBPJ, MS4A6A, MRC1, C1QA, MR1, LYVE1, CSF1R, PTPRC, SLC11A1, LYZ, CD74, CD36, MERTK, MSR1, CPM, MS4A6A, CD163, CD68",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,macrophage,CL:0000235,macrophage,macrophage,CL:0000235
Lung,"TPSAB1, FCER1A, TPSB2, KIT, CD69, HDC",Mast Cell,mast cell,CL:0000097,granulocyte,Mast cells,mast cell,CL:0000097,basophil/mast cell,basophil mast progenitor cell,CL:0002028
Lung,"PDGFRB, ACTA2, MYO1B, ACTA2, ANPEP, DES, MCAM, PDGFRB, CSPG4",Pericyte,pericyte,CL:0000669,pericyte,Pericytes,pericyte,CL:0000669,smooth muscle,smooth muscle cell,CL:0000192
Lung,"TAGLN, ACTA2, MYH11, MYOCD, SMTN, VCL, CNN1, ACTG2, MYL9, PALLD, GUCY1A3, GUCY1B3, ACTN1, DES",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell,Smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle,smooth muscle cell,CL:0000192
Lung,"CD96, PTPRC, CD247, SKAP1, THEMIS, CD69, IL7R, NKG7, TRAC, CD3D, CD3E, CD3G, TRBC1",T cell,T cell,CL:0000084,t/nk cell,T cells,t cell,CL:0000084,natural killer t cell,natural killer cell,CL:0000623
Lung,"VWF, PECAM1, RAMP3, CD300LG, BACE2, EPHB4, NOSTRIN, LDB2, PTPRB, CLDN5",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,vein endothelial cell,vein endothelial cell,CL:0002543
Lung,"NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,epithelial cell,Alveolar type II cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063
Lung,"IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,granulocyte,Neutrophils,neutrophil,CL:0000775,classical monocyte,classical monocyte,CL:0000860
Lung,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,t cell,CL:0000084,cd4+ memory/effector t cell,"effector memory CD4-positive, alpha-beta T cell",CL:0000905
Lung,"CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,T cells,t cell,CL:0000084,cd8+ memory/effector t cell,"effector memory CD8-positive, alpha-beta T cell",CL:0000913
Lung,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1",nk cell,natural killer cell,CL:0000623,t/nk cell,Cytotoxic T cells,cytotoxic t cell,CL:0000910,natural killer cell,natural killer cell,CL:0000623
Lung,"RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,vein endothelial cell,vein endothelial cell,CL:0002543
Lung,"ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell,Smooth muscle cells,smooth muscle cell,CL:0000192,airway smooth muscle,smooth muscle cell,CL:0000192
Lung,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP",adventitial cell,adventitial cell,CL:0002503,adventitial cell,Fibroblasts,fibroblast,CL:0000057,adventitial fum fibroblast,alveolar adventitial fibroblast,CL:4028006
