,Unnamed: 0.1,Unnamed: 0,dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_CLname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_CLname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_CLname,gpt-4o-mini-2024-07-18_CLID,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-2024-08-06_clid,gpt-4o-2024-08-06_clname,manual_clid,manual_clname,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4o-mini-2024-07-18_clid,gpt-4o-mini-2024-07-18_clname,gpt-4-0613_aggrement_modified,gpt-4-0613_aggrement_modified_new,gpt-4-0613_clid,gpt-4-0613_clname,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified_new,gpt-4-turbo-2024-04-09_clid,gpt-4-turbo-2024-04-09_clname
10,10,10,GOSH,neuroblastoma tissue,"RP11-71G12.1,RFPL4A,RFPL4AL1,SPACA3,RP11-476B1.1,RP11-164P12.3,AC005307.1,RP11-731D1.4,CLEC9A,LINC01531,NLRP7,KRT5,SCT,RP11-73G16.2,XCR1,LLNLR-304G9.1,LRRC26,RP11-798K3.3,SLC12A3,CTB-50L17.9,CLEC4C,PTCRA,IDO1,SMIM6,IL22RA2,MIR4432HG,PROC,LILRA4,ASIP,LAD1",myeloid cell,myeloid cell,CL:0000763,myeloid cell,"Neuroblasts, Glial cells",neuroblastoma cells,Neuroblastoma cells,neuroblastoma,glial cell,CL:0000125,cell,CL:0000000,cell,CL:0000000,neural crest cell,CL:0011012,2,0.3333,CL:0000763,myeloid cell,CL:0000000,cell,-1,0.3333,CL:0000763,myeloid cell,-1,0.3333,CL:0000763,myeloid cell,2,0.3333,CL:0000763,myeloid cell
11,11,11,GOSH,neuroblastoma tissue,"C6orf141,RP11-567J20.2,TM4SF1-AS1,GJA5,GDF3,SELE,CCL14,EMCN,STAB2,FCN3,ESM1,SOX18,ADGRL4,MMRN2,RP11-327L3.3,RP11-286H15.1,HOXB8,SLCO2A1,AP005530.2,ANO2,FRMPD4,LINC01546,SOX17,SSTR1,ECSCR.1,CLEC14A,KDR,GPIHBP1,HID1-AS1,CD300LG",endothelial cell,endothelial cell,CL:0000115,endothelial cell,"Neuroblasts, Glial cells",neuroblastoma cells,Neuroblastoma cells,neuroblastoma,glial cell,CL:0000125,cell,CL:0000000,cell,CL:0000000,neural crest cell,CL:0011012,2,0.3333,CL:0000115,endothelial cell,CL:0000000,cell,-1,0.3333,CL:0000115,endothelial cell,-1,0.3333,CL:0000115,endothelial cell,2,0.3333,CL:0000115,endothelial cell
12,12,12,GOSH,neuroblastoma tissue,"TPSAB1,TPSB2,TPSD1,MTTP,KRT25,AC005780.1,HDC,AC004791.2,AC024704.2,KRT83,RP11-264I13.2,RP11-187E13.1,FAM53B-AS1,PMCH,CALB2,TRBV4-1,TRAV41,IL13,FGG,CPA3,CTD-2287O16.4,GC,RP11-723D22.3,RP11-231E6.1,TRDV1,TM4SF5,RP11-103C16.2,GSTA1,SLC35G3,HPN",,T cell,CL:0000084,t/nk cell,"Mast cells, Neuroblasts",mast cells,Mast cells,mast cells,mucosal type mast cell,CL:0000485,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,-1,0.3750,CL:0000084,T cell,CL:0000097,mast cell,-1,0.3750,CL:0000084,T cell,-1,0.3333,CL:0000084,T cell,-1,0.3750,CL:0000084,T cell
13,13,13,GOSH,neuroblastoma tissue,"RP11-402G3.3,KIRREL2,TEX13D,CTD-2616J11.14,PKLR,CTC-338M12.6,AF064858.6,RP11-356I2.1,HIST1H1B,RP11-20B24.2,RP11-1035H13.3,RP11-489D6.2,HIST1H3G,NMU,E2F8,HIST1H2AJ,CTA-392E5.1,DLGAP5,CENPA,CENPE,KLF1,ASPM,YBX2,HIST1H3F,CDCA8,AC000036.4,CDKN3,GAD1,AHSP,CEP55",T cell,T cell,CL:0000084,t/nk cell,"Endothelial cells, Neuroblasts",neuroblastoma cells,Neuroblastoma cells,neuroblastoma,colon endothelial cell,CL:1001572,cell,CL:0000000,cell,CL:0000000,neural crest cell,CL:0011012,5,0.1667,CL:0000084,T cell,CL:0000000,cell,-1,0.2222,CL:0000084,T cell,-1,0.2500,CL:0000084,T cell,5,0.1667,CL:0000084,T cell
14,14,14,GOSH,neuroblastoma tissue,"DSC3,SGCG,LINC01048,MASP1,LINC01564,SCARA5,RP11-125O18.1,SPRR2F,ITIH3,RP11-17A4.3,C1QTNF7,MATN4,CSN3,RP11-262A16.1,VGLL3,GLP2R,KRT24,LINC01028,LMO7DN,PCOLCE2,KRT13,TCF21,PAMR1,SPRR2B,LINC00578,AP001627.1,CTD-2298J14.2,PPP1R1B,KCTD8,ADAMTS16",fibroblast,fibroblast,CL:0000057,fibroblast,"Epithelial cells, Neuroblasts","Schwann cells, muscle cells",Neuroblastoma cells,epithelial cells,nasopharyngeal epithelial cell,CL:1001573,Schwann cell,CL:0002573,cell,CL:0000000,epithelial cell,CL:0000066,3,0.2500,CL:0000057,fibroblast,CL:0002573,Schwann cell,14,0.4000,CL:0000057,fibroblast,-1,0.2500,CL:0000057,fibroblast,-1,0.2500,CL:0000057,fibroblast
15,15,15,GOSH,neuroblastoma tissue,"RP11-865I6.2,C4B,RP11-598F7.5,JPH2,RERGL,COL10A1,TDO2,FHL5,RP11-91J3.3,CHAD,MYOD1,BMP5,WWC2-AS2,GSTA3,C4A,BHLHE22,THBS4,EN1,SIX2,HSD3B2,MYOG,RP11-118A3.1,RP11-25I15.3,RP11-297J22.1,RP11-394O4.5,REM1,FOXS1,SFRP5,SIX1,MYOCD",fibroblast,fibroblast,CL:0000057,fibroblast,"Endothelial cells, Neuroblasts",neuroblastoma cells,Neuroblastoma cells,neuroblastoma,colon endothelial cell,CL:1001572,cell,CL:0000000,cell,CL:0000000,neural crest cell,CL:0011012,3,0.2500,CL:0000057,fibroblast,CL:0000000,cell,-1,0.2857,CL:0000057,fibroblast,-1,0.3333,CL:0000057,fibroblast,3,0.2500,CL:0000057,fibroblast
16,16,16,GOSH,neuroblastoma tissue,"GRHL2,RP11-167J8.3,LINC01511,RP5-1092A11.5,RP11-127L20.5,RP11-24I21.1,AC093627.7,RP11-35G22.1,RP3-441A12.1,RP4-813D12.3,RP11-157E21.1,RP11-736N17.10,AC005197.2,RP11-23F23.2,ALKBH3-AS1,RP11-138I17.1,PRR15,CTC-435M10.3,PLIN4,RGS8,CYP1A1,RP11-217B7.2,RP11-256L6.3,MTRNR2L13,RP11-321E2.3,ZAR1L,RP11-318K12.2,AC084082.3,AC073257.2,RP11-1082L8.3",myeloid cell,myeloid cell,CL:0000763,myeloid cell,"Epithelial cells, Neuroblasts",neuroblastoma cells,Neuroblastoma cells,neuroblastoma,nasopharyngeal epithelial cell,CL:1001573,cell,CL:0000000,cell,CL:0000000,neural crest cell,CL:0011012,2,0.3333,CL:0000763,myeloid cell,CL:0000000,cell,-1,0.3333,CL:0000763,myeloid cell,-1,0.2857,CL:0000763,myeloid cell,2,0.3333,CL:0000763,myeloid cell
17,17,17,GOSH,neuroblastoma tissue,"IGHG2,IGHGP,IGHG3,IGHG4,RP11-768B22.2,IGHG1,FA2H,OR4C6,AC233755.2,IGHV4-28,RP11-686F15.2,LINC01485,PRSS16,RP11-567J20.3,PANDAR,RP11-625L16.3,SAMD7,RP1-148H17.1,CFAP57,FCRL4,IL12B,CTD-2342N23.3,LINC00582,AC096579.13,WNT5A-AS1,IGLV5-48,MEF2B,UGT2B17,AC233755.1,IGKV1D-13",B cell,B cell,CL:0000236,B cell,"B cells, Plasma cells",plasma cells,B cells,B cells,plasma cell,CL:0000786,plasma cell,CL:0000786,b cell,CL:0000236,b cell,CL:0000236,0,1.0000,CL:0000236,B cell,CL:0000786,plasma cell,0,1.0000,CL:0000236,B cell,-1,0.6667,CL:0000236,B cell,-1,0.6667,CL:0000236,B cell
18,18,18,GOSH,neuroblastoma tissue,"LIM2,FGFBP2,KLRF1,NCR1,SPON2,LRRC43,S1PR5,SH2D1B,DTHD1,SLC1A7,PRF1,KLRC1,KRT72,B3GNT7,GNLY,MYOM2,LGALS9B,KIR2DL3,CLIC3,LGR6,NKG7,GZMB,SYTL3,RP11-308N19.1,PTGDR,CD160,RP11-81H14.2,RP11-121A8.1,TBX21,FASLG",natural killer cell,natural killer cell,CL:0000623,t/nk cell,"Natural Killer cells, Neuroblasts",natural killer cells,Natural Killer (NK) cells,NK cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell
19,19,19,GOSH,neuroblastoma tissue,"RP11-265P11.1,CTD-2215E18.1,LINC01013,RP11-524N5.1,IGHD,RP11-553K8.2,RP5-887A10.1,RP3-416J7.4,BEST3,RP11-693J15.5,GYLTL1B,RP3-431P23.5,LINC00926,FCER2,SLC23A1,TCL1B,CLLU1,MS4A1,COL19A1,RP11-164H13.1,VPREB3,FCRLA,OSBPL10-AS1,PAX5,AP001059.5,BMP3,LINC01374,TCL1A,CCDC191,RP11-297B17.3",B cell,B cell,CL:0000236,B cell,"Epithelial cells, Neuroblasts",neuroblastoma cells,Neuroblastoma cells,neuroblastoma,nasopharyngeal epithelial cell,CL:1001573,cell,CL:0000000,cell,CL:0000000,neural crest cell,CL:0011012,6,0.1429,CL:0000236,B cell,CL:0000000,cell,-1,0.2000,CL:0000236,B cell,-1,0.1818,CL:0000236,B cell,6,0.1429,CL:0000236,B cell
20,20,20,GOSH,neuroblastoma tissue,"LINC00211,RP11-552D4.1,OLIG1,RP11-362F19.3,CTC-490G23.2,RP11-561P12.5,CLEC6A,PPP1R17,RP11-737O24.5,RP11-362F19.1,S100A12,IRG1,HAL,VSTM1,RP11-764K9.1,LIPN,S100A9,CLEC4D,S100A8,SLC24A4,FPR1,VNN1,PROK2,SIGLEC5,SERPINB10,ACPP,MEFV,C19orf35,FCN1,HP",myeloid cell,myeloid cell,CL:0000763,myeloid cell,Neuroblastoma Cells,neuroblastoma,neuroblastoma cells,neuroblastoma cells,cell,CL:0000000,neural crest cell,CL:0011012,cell,CL:0000000,cell,CL:0000000,2,0.3333,CL:0000763,myeloid cell,CL:0011012,neural crest cell,2,0.3333,CL:0000763,myeloid cell,2,0.3333,CL:0000763,myeloid cell,-1,0.3333,CL:0000763,myeloid cell
21,21,21,GOSH,neuroblastoma tissue,"DBX2,LINC01351,LRRC71,ENOX1-AS1,NPFF,RP4-753F5.1,NKX6-2,TSPY2,AC105402.4,RP11-49P4.7,RP11-29B2.6,AC007250.4,CIDEA,POF1B,UNC5B-AS1,CTD-2313P7.1,RP11-403A21.1,RP11-62H20.1,RP11-147C23.1,CTD-2523D13.2,CARTPT,SGCZ,ASIC2,UCN3,C1QL4,IGF2-AS,SORCS3,ADCY8,PROKR1,CTA-796E4.4",neuroblastoma cell,neuroendocrine cell,CL:0000165,neuron,Neuroblastoma Cells,neuroblastoma,neuroblastoma progenitor cells,neuroblastoma cells,cell,CL:0000000,neural crest cell,CL:0011012,progenitor cell,CL:0011026,cell,CL:0000000,-1,0.4000,CL:0000165,neuroendocrine cell,CL:0011012,neural crest cell,3,0.2500,CL:0000165,neuroendocrine cell,3,0.2500,CL:0000165,neuroendocrine cell,-1,0.2857,CL:0000165,neuroendocrine cell
22,22,22,GOSH,neuroblastoma tissue,"MDGA2,RALYL,RP11-746B8.1,CTC-575N7.1,HCRTR2,WNT6,SST,NPAS4,TMEM132D,RP11-446H18.6,LINC00951,RP11-168K9.2,TMEM132E,RP11-1109F11.5,GRIN2A,TENM2,VIP,RP11-283G6.4,LRFN2,ADCY5,AC003986.5,RP11-161D15.2,CTD-2240J17.1,DKK1,CDH20,RP5-1102E8.3,RP11-1102P16.1,U91319.1,TRBVB,BRINP1",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblastoma Cells,neuroblastoma,neuroblastoma-associated neurons,neuroblastoma cells,cell,CL:0000000,neural crest cell,CL:0011012,neuron associated cell,CL:0000095,cell,CL:0000000,-1,0.4286,CL:0000166,neuroendocrine cell,CL:0011012,neural crest cell,5,0.2000,CL:0000166,neuroendocrine cell,5,0.2000,CL:0000166,neuroendocrine cell,4,0.2222,CL:0000166,neuroendocrine cell
23,23,23,GOSH,neuroblastoma tissue,"KRT73-AS1,KRT1,ST6GALNAC1,ANKRD55,RP11-664D1.1,HBE1,TSPO2,GCNT4,NOG,REG4,PASK,C9orf135,PRKG2,RP1-187B23.1,ERVH48-1,AC097713.4,ADTRP,TRBV28,MDS2,CELA1,HBG2,LEF1,IL7R,GYPB,ALAS2,CCR7,UNC45B,LYPD3,TDRD12,CD28",T cell,T cell,CL:0000084,t/nk cell,"Keratinocytes, Neuroblastoma Cells",neuroblastoma,keratinized epithelial cells or cancer stem-like neuroblast cells,keratinocytes,cell,CL:0000000,neural crest cell,CL:0011012,stratified keratinized epithelial stem cell,CL:1000083,keratinocyte,CL:0000312,-1,0.1667,CL:0000084,T cell,CL:0011012,neural crest cell,-1,0.2222,CL:0000084,T cell,5,0.1667,CL:0000084,T cell,-1,0.2222,CL:0000084,T cell
24,24,24,GOSH,neuroblastoma tissue,"RSPO4,GABRA5,RP11-91P17.1,RP11-546B8.6,HAPLN4,AGXT,RP5-968D22.1,RP11-1038A11.3,FEV,ALX3,ABCA12,ZNF560,ASCL1,LINC01563,AC093375.1,RP11-197K6.1,ARL9,MUC4,RP11-129M6.1,AC002076.10,CRYGD,RP11-328K4.1,LLNLR-249E10.1,DDN,RP11-132A1.4,RP5-1096J16.1,CPLX3,AC097468.4,PAGE2,SELV",neuroblastoma cell,neuroendocrine cell,CL:0000166,neuron,Neuroblastoma Cells,neuroblastoma,neuroblastoma cells with neural crest derivatives,neuroblastoma cells,cell,CL:0000000,neural crest cell,CL:0011012,neural crest cell,CL:0011012,cell,CL:0000000,4,0.2222,CL:0000166,neuroendocrine cell,CL:0011012,neural crest cell,5,0.2000,CL:0000166,neuroendocrine cell,5,0.2000,CL:0000166,neuroendocrine cell,4,0.2222,CL:0000166,neuroendocrine cell
25,25,25,GOSH,neuroblastoma tissue,"CCL18,RP11-20G13.3,RP11-489O18.1,APOC4-APOC2,SIGLEC8,RP11-202G18.1,TREM2,RP3-369A17.4,DNASE2B,CTB-138E5.1,BIRC7,ADAMDEC1,RP11-212I21.5,RP11-10J5.1,MMP12,TNFSF18,MMP1,LINC01305,APOC2,SDS,L3MBTL4-AS1,RP3-460G2.2,APOC1,MT1H,AC004988.1,SPP1,CHI3L1,OTOA,NT5DC4,UBD",myeloid cell,myeloid cell,CL:0000763,myeloid cell,"Immune Cells (possibly T-cells or macrophages), Neuroblastoma Cells",neuroblastoma,macrophage-like neuroblastoma cells,immune cells,mucosal type mast cell,CL:0000485,neural crest cell,CL:0011012,macrophage derived foam cell,CL:0000517,leukocyte,CL:0000738,-1,0.5000,CL:0000763,myeloid cell,CL:0011012,neural crest cell,-1,0.5000,CL:0000763,myeloid cell,-1,0.5000,CL:0000763,myeloid cell,-1,0.3333,CL:0000763,myeloid cell
26,26,26,GOSH,neuroblastoma tissue,"RP5-997D24.3,TRAV27,CCL1,RP11-357H14.17,UNQ6494,CTD-3195I5.3,AP001171.1,LINC00880,IL26,CXCL13,TRBV18,FOXP3,RP11-764E7.1,TRAV36DV7,GBP7,PVALB,RP11-403B2.7,PCAT29,GML,AC017002.1,TNIP3,ZBED2,FAM9B,RP11-223C24.1,AC133644.2,RP11-73M14.1,C2CD4D,ZBTB32,ZFP57,C15orf53",T cell,T cell,CL:0000084,t/nk cell,"Immune Cells (possibly T-cells or macrophages), Neuroblastoma Cells",neuroblastoma,T cell-influenced neuroblastoma cells,T cells,mucosal type mast cell,CL:0000485,neural crest cell,CL:0011012,T cell,CL:0000084,t cell,CL:0000084,0,1.0000,CL:0000084,T cell,CL:0011012,neural crest cell,0,1.0000,CL:0000084,T cell,-1,0.3333,CL:0000084,T cell,-1,0.2222,CL:0000084,T cell
