,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
10,10,10,10,10,1,Lung,0.25,"KLRF1,GENE47,GNLY,GZMB,GENE20,FCGR3A,NKG7,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,Natural Killer Cells,CL:0000623,NK cells,CL:0000623,Natural Killer Cells,Natural killer cells,CL:0000623,CL:0000623,natural killer cell,natural killer cell,natural killer cell,natural killer cell,0,0,0,0
11,11,11,11,11,1,Lung,0.25,"PRDX4,MANF,SSR4,XBP1,POU2AF1,TNFRSF17,GENE93,GENE24,HSP90B1,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,Plasma Cells,CL:0000786,B cells,CL:0000236,Plasma cells,Plasma cells,CL:0000786,CL:0000786,plasma cell,plasma cell,plasma cell,b cell,0,0,0,4
12,12,12,12,12,1,Lung,0.25,"SFTPA2,GENE27,SLC34A2,SFTPC,LAMP3,ABCA3,SFTPA1,SFTPD,GENE23,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,Type II Alveolar Cells,CL:0002063,Alveolar epithelial cells,CL:0000322,Type II alveolar cells,Alveolar cells (Type II pneumocytes),CL:0002063,CL:0002062,pulmonary alveolar type 2 cell,pulmonary alveolar type 1 cell,pulmonary alveolar type 2 cell,pulmonary alveolar epithelial cell,0,3,0,1
13,13,13,13,13,1,Lung,0.25,"KIT,VWA5A,CPA3,HPGDS,GRAP2,HDC,GENE69,CD44,MS4A2,TPSAB1,GATA2,GENE59",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",Mast Cells,CL:0000097,Mast cells,CL:0000097,Mast cells,Mast cells,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,mast cell,-1,-1,-1,-1
14,14,14,14,14,1,Lung,0.25,"LILRB2,COTL1,RPS19,GENE70,LST1,AIF1,FCGR3A,GENE77,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,Macrophages,CL:0000235,Monocytes/macrophages,CL:0000235,Macrophages,Myeloid cells,CL:0000235,CL:0000763,macrophage,myeloid cell,macrophage,macrophage,-1,-1,-1,-1
15,15,15,15,15,1,Lung,0.25,"GENE82,CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,GENE88,CD81,FCN3,EPAS1,FLNB",Capillary,,,Endothelial Cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,-1,-1,-1,-1
16,16,16,16,16,1,Lung,0.25,"CD3D,GZMH,GENE78,CD3G,CD8B,GENE44,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,CD8+ T Cells,CL:0000625,Cytotoxic T cells,CL:0000910,CD8+ T cells,Cytotoxic T cells,CL:0000625,CL:0000910,"CD8-positive, alpha-beta T cell",cytotoxic t cell,"CD8-positive, alpha-beta T cell",cytotoxic t cell,0,-1,0,-1
17,17,17,17,17,1,Lung,0.25,"GENE19,SCGB3A2,GENE8,DSTN,CYB5A,CEACAM6,PIGR,CTSE,SFTPB,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,Club Cells,CL:0000158,Clara cells,CL:0000158,Club cells,Club cells,CL:0000158,CL:0000158,club cell,club cell,club cell,club cell,0,0,0,0
18,18,18,18,18,1,Lung,0.25,"CALD1,GENE15,ASPN,COL6A3,POSTN,LTBP1,BGN,COL3A1,COL1A1,COL1A2,GENE85,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,-1,-1,-1,-1
19,19,19,19,19,1,Lung,0.25,"PTPRE,GZMB,IRF7,GENE30,TYROBP,PLD4,NPC2,PPP1R14B,IL3RA,GENE81,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,Dendritic Cells,CL:0000451,Dendritic cells,CL:0000451,Dendritic cells,Dendritic cells,CL:0000451,CL:0000451,dendritic cell,dendritic cell,dendritic cell,dendritic cell,1,1,1,1
20,20,20,20,20,1,Lung,0.25,"TPX2,BIRC5,NUSAP1,STMN1,UBE2C,TYMS,GENE34,ANLN,KPNA2,CDK1,GENE42,H2AFZ",Proliferating Macrophage,,,Proliferating Cells,CL:4033068,Tumor cells,CL:0001063,Proliferating Cells (possibly Cancer Cells),Mitotic cells,CL:0000228,CL:0000646,multinucleate cell,basal cell,cycling B cell,neoplastic cell,-1,-1,-1,-1
21,21,21,21,21,1,Lung,0.25,"BIRC5,GENE97,NUSAP1,KIF2C,SMC4,UBE2C,H2AFV,GENE56,AURKB,CENPF,HMGB2,TOP2A",Proliferating NK/T,,,Proliferating Cells,CL:4033068,Tumor cells,CL:0001063,Proliferating Cells (possibly Cancer Cells),Mitotic cells,CL:0000228,CL:0000646,multinucleate cell,basal cell,cycling B cell,neoplastic cell,-1,-1,-1,-1
22,22,22,22,22,1,Lung,0.25,"GENE62,GENE36,POSTN,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,Endothelial Cells,CL:0000115,Fibroblasts,CL:0000057,Endothelial Cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,fibroblast,-1,-1,-1,-1
23,23,23,23,23,1,Lung,0.25,"GENE57,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,SLPI,LCN2,GENE16,WFDC2,MUC5B",Mucous,,,Club Cells,CL:0000158,Clara cells,CL:0000158,Club Cells,Epithelial cells,CL:0000158,CL:0000066,club cell,epithelial cell,club cell,club cell,-1,-1,-1,-1
24,24,24,24,24,1,Lung,0.25,"PTPRB,PRSS23,TGM2,VWF,LIFR,SELP,PLA1A,CPE,GENE46,SRPX,SLCO2A1,GENE41",Vein,,,Endothelial Cells,CL:0000115,Endothelial cells,CL:0000115,Platelets,Endothelial cells,CL:0000233,CL:0000115,platelet,endothelial cell,endothelial cell,endothelial cell,-1,-1,-1,-1
25,25,25,25,25,1,Lung,0.25,"CHN1,CALD1,COL4A2,GENE36,NID1,COL4A1,LAMB1,COX4I2,GENE84,TACC1,PDGFRB,LAMC3",Pericyte,pericyte,CL:0000669,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Fibroblast Cells,Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,10,10,10,10
26,26,26,26,26,1,Lung,0.25,"GENE97,CALD1,TPM2,PLN,DSTN,GENE17,CSRP1,ACTA2,CNN1,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,Muscle cells,CL:0000187,Muscle Cells,Smooth muscle cells,CL:0000187,CL:0000192,muscle cell,smooth muscle cell,smooth muscle cell,muscle cell,2,0,0,2
27,27,27,27,27,1,Lung,0.25,"PTPRB,DKK2,HEY1,GENE89,GJA5,FBLN5,SEMA3G,GENE17,EFNB2,BMX,EPAS1,ARGLU1",Artery,,,Endothelial Cells,CL:0000115,Endothelial cells,CL:0000115,Endothelial Cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,-1,-1,-1,-1
28,28,28,28,28,1,Lung,0.25,"HPGD,CYP3A5,CLDN5,GENE41,APP,STXBP6,GENE17,TBX2,EMCN,SOSTDC1,ESAM,EDNRB",Capillary Aerocyte,,,Epithelial Cells,CL:0000066,Alveolar epithelial cells,CL:0000322,Epithelial Cells,Endothelial cells,CL:0000066,CL:0000115,epithelial cell,endothelial cell,epithelial cell,pulmonary alveolar epithelial cell,-1,-1,-1,-1
29,29,29,29,29,1,Lung,0.25,"IPO7,SH3BP5,RALA,GALNT18,GENE24,GENE86,SRSF11,PECAM1,ACVRL1,EPAS1,VAT1,WWTR1",Capillary Intermediate,,,Fibroblasts,CL:0000057,Immune cells,CL:0000738,Fibroblast Cells,Epithelial cells,CL:0000057,CL:0000066,fibroblast,epithelial cell,fibroblast,leukocyte,-1,-1,-1,-1
30,30,30,30,30,1,Lung,0.25,"C7,FGF7,C3,WT1,MEDAG,STEAP1,OSR1,CCDC71L,CPXM1,GENE71,HAS1,GENE31",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,Mesothelial cells,CL:0000077,Alveolar type II cells,CL:0002063,Mesothelial cells,Mesothelial cells,CL:0000077,CL:0000077,mesothelial cell,mesothelial cell,mesothelial cell,pulmonary alveolar type 2 cell,7,7,7,-1
31,31,31,31,31,1,Lung,0.25,"ALDH1A3,PRG4,GALNT9,C3,DSC3,ITLN1,MGARP,WT1,DMKN,GENE25,GENE6,SLPI",Mesothelial,mesothelial cell,CL:0000077,Airway epithelial cells,CL:0002368,Secretory cells,CL:0000151,Secretory cells,Respiratory epithelial cells,CL:0000151,CL:0002368,secretory cell,respiratory epithelial cell,respiratory epithelial cell,secretory cell,-1,-1,-1,-1
32,32,32,32,32,1,Lung,0.25,"CMTM5,GENE47,TUBB1,GRAP2,ITGA2B,CABP5,GENE48,PF4,ACRBP,GP6,TMEM40,GP9",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",Platelets,CL:0000233,Hemoglobin-expressing cells,CL:4023065,Platelets,Platelets,CL:0000233,CL:0000233,platelet,platelet,platelet,meis2 expressing cortical GABAergic cell,-1,-1,-1,-1
33,33,33,33,33,1,Lung,0.25,"CD2,GNLY,CTSW,S100A6,GENE90,CCL5,CEBPB,CXCR4,CD7,LGALS1,GENE16,ZFP36L2",Natural Killer T,,,Cytotoxic T cells or NK cells,CL:0000910,T cells,CL:0000084,Cytotoxic T cells,T lymphocytes,CL:0000910,CL:0000084,cytotoxic t cell,T cell,cytotoxic T cell,t cell,-1,-1,-1,-1
34,34,34,34,34,1,Lung,0.25,"CLU,GENE7,CST5,MET,GENE60,FAM150A,HSPB3,RAMP1,CSRP1,IGF1,SCX,CNN1",Fibromyocyte,,,Fibroblasts,CL:0000057,Clara cells,CL:0000158,Cancer cells or Tumor cells,Epithelial cells,CL:0001063,CL:0000066,neoplastic cell,epithelial cell,fibroblast,club cell,-1,-1,-1,-1
35,35,35,35,35,1,Lung,0.25,"CXCL17,S100P,PSCA,COX5A,TXN,AGR2,GENE86,GENE60,FAM3D,GABRP,CLIC1,WFDC2",Goblet,goblet cell,CL:0000160,Club cells,CL:0000158,Goblet cells,CL:0000160,Ductal cells,Goblet cells,CL:0002079,CL:0000160,pancreatic ductal cell,goblet cell,club cell,goblet cell,-1,0,-1,0
36,36,36,36,36,1,Lung,0.25,"TFF3,TMPRSS11E,GENE94,PHGR1,BSND,GENE62,FOXI1,HEPACAM2,ATP6V1B1,STAC2,MFSD6L,ASCL3",Ionocyte,ionocyte,CL:0005006,Goblet cells,CL:0000160,Immune cells,CL:0000738,Goblet cells,Mucous cells,CL:0000160,CL:0000319,goblet cell,mucus secreting cell,goblet cell,leukocyte,-1,-1,-1,-1
37,37,37,37,37,1,Lung,0.25,"GENE82,PCSK1N,EGR1,FAM46A,PRDX2,CHGA,SEC11C,GENE29,SCGN,CPE,BEX1,NENF",Neuroendocrine,neuroendocrine cell,CL:0000165,Neuroendocrine cells,CL:0000165,Neuroendocrine cells,CL:0000165,Neuroendocrine cells,Neuroendocrine cells,CL:0000165,CL:0000165,neuroendocrine cell,neuroendocrine cell,neuroendocrine cell,neuroendocrine cell,0,0,0,0
38,38,38,38,38,1,Lung,0.25,"TCN1,LPO,PHB,LYZ,GENE67,GENE12,TESC,ZG16B,PRR4,PRB3,PRH2,PRB4",Serous,serous secreting cell,CL:0000313,Mature neutrophils,CL:0000096,Alveolar macrophages,CL:0000583,Granular cells,Mucosal-associated invariant T (MAIT) cells,CL:0000648,CL:0000940,kidney granular cell,mucosal invariant T cell,mature neutrophil,alveolar macrophage,-1,-1,-1,-1
39,39,39,39,39,1,Lung,0.25,"GENE50,C1QB,LYZ,FCER1G,C1QA,LAPTM5,AIF1,C1QC,HLA-DRB1,CTSZ,GENE2,CTSL",Macrophages,macrophage,CL:0000235,Macrophages and Neutrophils,CL:0000775,Mast cells,CL:0000097,Macrophages,Alveolar macrophages,CL:0000235,CL:0000583,macrophage,alveolar macrophage,neutrophil,mast cell,0,-1,-1,-1
40,40,40,40,40,1,Lung,0.25,"GNLY,GZMB,GENE78,CTSW,GENE57,CST7,CD7,CCL5,NKG7,GZMA,CCL4,PRF1",Innate lymphoid cell NK,natural killer cell,CL:0000623,Cytotoxic T cell,CL:0000910,Cytotoxic T cells,CL:0000910,Cytotoxic T cells,Cytotoxic T lymphocytes,CL:0000910,CL:0000910,cytotoxic t cell,cytotoxic T cell,cytotoxic t cell,cytotoxic t cell,-1,-1,-1,-1
41,41,41,41,41,1,Lung,0.25,"S100A14,SLC34A2,CYB5A,SLC39A8,SFTA2,GENE70,SFTPD,NAPSA,MUC1,SFTA3,PEBP4,GENE16",AT2,type II pneumocyte,CL:0002063,Alveolar epithelial cell type II,CL:0002063,Clara cells,CL:0000158,Alveolar type II cells,Alveolar epithelial type II cells,CL:0002063,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,club cell,0,0,0,-1
42,42,42,42,42,1,Lung,0.25,"CLEC14A,ACKR1,GENE3,MGP,RAMP3,RAMP2,GENE86,IGFBP7,VWF,GNG11,PECAM1,SPARCL1",EC venous,vein endothelial cell,CL:0002543,Endothelial cell,CL:0000115,Endothelial cells,CL:0000115,Endothelial cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3
43,43,43,43,43,1,Lung,0.25,"CD2,CD3D,IL32,GENE36,GENE61,CD69,CCL5,TRAC,CXCR4,CD3E,TRBC2,CORO1A",T cell lineage,T cell,CL:0000084,T cell,CL:0000084,T cells,CL:0000084,T cells,T lymphocytes,CL:0000084,CL:0000084,t cell,T cell,t cell,t cell,0,0,0,0
44,44,44,44,44,1,Lung,0.25,"CLEC14A,TM4SF1,CLDN5,IFI27,SOX17,GENE92,A2M,CRIP2,PECAM1,SPARCL1,GIMAP7,GENE16",EC arterial,endothelial cell of artery,CL:1000413,Endothelial cell,CL:0000115,Endothelial cells,CL:0000115,Endothelial cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,3,3,3,3
45,45,45,45,45,1,Lung,0.25,"GENE82,CALD1,LUM,C1S,BGN,MGP,IGFBP7,GENE5,COL6A1,DCN,COL1A2,SPARC",Fibroblasts,fibroblast,CL:0000057,Fibroblast,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,0,0,0,0
46,46,46,46,46,1,Lung,0.25,"GENE35,AGER,EMP2,GENE67,FXYD3,SFTA2,CEACAM6,ADIRF,CAV1,KRT7,HOPX,TSPAN13",AT1,type I pneumocyte,CL:0002062,Alveolar epithelial cell type II,CL:0002063,Alveolar type II cells,CL:0002063,Alveolar type II cells,Alveolar epithelial type II cells,CL:0002063,CL:0002063,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,-1,-1,-1,-1
47,47,47,47,47,1,Lung,0.25,"RP11-356K23.1,GENE50,C12orf75,GSTA1,CD24,GENE35,FAM229B,TMEM231,RP11-295M3.4,C11orf97,C5orf49,SNTN",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,Macrophage,CL:0000235,Unknown,CL:0000747,Dendritic cells,Hepatocytes,CL:0000451,CL:0000182,dendritic cell,hepatocyte,macrophage,cyanophore,-1,-1,-1,-1
48,48,48,48,48,1,Lung,0.25,"LTB,MS4A1,IGHA1,GENE68,IGLC2,CD79A,GENE96,TSC22D3,IGKC,CORO1A,CD37,ISG20",B cell lineage,B cell,CL:0000236,B cell,CL:0000236,B cells,CL:0000236,B cells,B lymphocytes,CL:0000236,CL:0000236,b cell,B cell,b cell,b cell,0,0,0,0
49,49,49,49,49,1,Lung,0.25,"CXCL17,GENE62,GENE78,KRT7,BPIFB1,CEACAM6,TACSTD2,PIGR,MUC1,WFDC2,CP,KRT19",Secretory,secretory cell,CL:0000151,Goblet cell,CL:0000160,Club cells,CL:0000158,Mucosal cells,Mucous cells,CL:0000485,CL:0000319,mucosal type mast cell,mucus secreting cell,goblet cell,club cell,-1,-1,-1,-1
50,50,50,50,50,1,Lung,0.25,"CD14,S100A9,S100A8,GENE15,FCER1G,COTL1,LST1,AIF1,VCAN,S100A12,GENE43,FCN1",Monocytes,monocyte,CL:0000576,Monocytes,CL:0000576,Monocytes/Macrophages,CL:0000235,Monocytes or Macrophages,Macrophages,CL:0000235,CL:0000235,macrophage,macrophage,monocyte,macrophage,2,2,0,2
51,51,51,51,51,1,Lung,0.25,"TCN1,SELM,MARCKSL1,LTF,ZG16B,GENE84,PIP,PIGR,GENE49,CCL28,SEC11C,AZGP1",Submucosal Secretory,,,Secretory cells,CL:0000151,Granulocytes,CL:0000094,Club Cells,Epithelial cells,CL:0000158,CL:0000066,club cell,epithelial cell,secretory cell,granulocyte,-1,-1,-1,-1
52,52,52,52,52,1,Lung,0.25,"GENE94,CLEC14A,TM4SF1,CLDN5,AQP1,GENE36,CDH5,IFI27,PECAM1,SPARCL1,EGFL7,HYAL2",EC capillary,capillary endothelial cell,CL:0002144,Endothelial cells,CL:0000115,Endothelial Cells,CL:0000115,Endothelial Cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell,2,2,2,2
53,53,53,53,53,1,Lung,0.25,"SDPR,TM4SF1,CLDN5,CCL21,RAMP2,ECSCR,IGFBP7,MMRN1,GNG11,PPFIBP1,GENE74,GENE2",Lymphatic EC mature,,,Endothelial cells,CL:0000115,Lymphatic Endothelial Cells,CL:0002138,Endothelial Cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,endothelial cell of lymphatic vessel,-1,-1,-1,-1
54,54,54,54,54,1,Lung,0.25,"TFF3,SDPR,AKAP12,CLDN5,TCF4,CCL21,IGFBP7,GENE32,GNG11,GENE88,TIMP3,TFPI",Lymphatic EC differentiating,,,Endothelial cells,CL:0000115,Goblet Cells,CL:0000160,Endothelial or Epithelial Cells,Endothelial cells,CL:0000115,CL:0000115,endothelial cell,endothelial cell,endothelial cell,goblet cell,-1,-1,-1,-1
55,55,55,55,55,1,Lung,0.25,"HLA-DQB1,HLA-DQA1,HLA-DPA1,ITGB2,GPR183,HLA-DPB1,GENE88,HLA-DRB1,HLA-DMA,GENE4,CORO1A,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,Antigen-presenting cells,CL:0000145,Dendritic Cells,CL:0000451,B cells or Dendritic Cells,B cells,CL:0000442,CL:0000236,follicular dendritic cell,b cell,professional antigen presenting cell,dendritic cell,-1,-1,1,0
56,56,56,56,56,1,Lung,0.25,"CALD1,TPM2,CYR61,MT1X,CTGF,GPX3,IGFBP5,GENE42,GENE84,SPARCL1,PRELP,TAGLN",Myofibroblasts,myofibroblast cell,CL:0000186,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,Fibroblasts,CL:0000057,CL:0000057,fibroblast,fibroblast,fibroblast,fibroblast,-1,-1,-1,-1
57,57,57,57,57,1,Lung,0.25,"KIT,VWA5A,C1orf186,CPA3,HPGDS,MS4A2,TPSB2,GENE71,GENE88,TPSAB1,RGS13,GATA2",Mast cells,mast cell,CL:0000097,Mast cells,CL:0000097,Mast Cells,CL:0000097,Mast Cells,Mast cells,CL:0000097,CL:0000097,mast cell,mast cell,mast cell,mast cell,0,0,0,0
58,58,58,58,58,1,Lung,0.25,"TPM2,PLN,GENE79,LMOD1,IGFBP7,FLNA,ACTG2,SELM,PPP1R14A,DES,GENE51,NEXN",Fibromyocytes,,,Smooth muscle cells,CL:0000192,Smooth Muscle Cells,CL:0000192,Smooth Muscle Cells,Smooth muscle cells,CL:0000192,CL:0000192,smooth muscle cell,smooth muscle cell,smooth muscle cell,smooth muscle cell,-1,-1,-1,-1
59,59,59,59,59,1,Lung,0.25,"S100A16,EID1,GENE63,ECSCR,MARCKS,TUBB,ARPC1A,GENE92,HMGN1,LSM2,COX20,HMGN2",Lymphatic EC proliferating,,,Epithelial cells,CL:0000066,Alveolar Type II Cells,CL:0002063,Fibroblasts or Endothelial Cells,Epithelial cells,CL:0000115,CL:0000066,endothelial cell,epithelial cell,epithelial cell,pulmonary alveolar type 2 cell,-1,-1,-1,-1
60,60,60,60,60,1,Lung,0.25,"FBXL7,LDB2,TSHZ2,MMRN1,PKHD1L1,SEMA3A,KALRN,ST6GALNAC3,PPFIBP1,CD36,GENE71,GENE74",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,Mesenchymal cells,CL:0008019,Fibroblast,CL:0000057,Fibroblasts,Alveolar type II cells,CL:0000057,CL:0002063,fibroblast,pulmonary alveolar type 2 cell,mesenchymal cell,fibroblast,8,-1,9,8
61,61,61,61,61,1,Lung,0.25,"LMO7,RAB11FIP1,EMP2,GENE11,NCKAP5,RBMS3,NTM,KHDRBS2,GENE49,LIMCH1,LAMA3,ST6GALNAC5",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Fibroblasts,CL:0000057,Lung epithelial cells,CL:0000082,Epithelial Cells,Fibroblasts,CL:0000066,CL:0000057,epithelial cell,fibroblast,fibroblast,epithelial cell of lung,3,9,9,2
